"Step","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_s__MAX"
"0","19.243141174316406","19.243141174316406","19.243141174316406","19.238786697387695","19.238786697387695","19.238786697387695","19.230030059814453","19.230030059814453","19.230030059814453","6.5384721755981445","6.5384721755981445","6.5384721755981445","17.03189468383789","17.03189468383789","17.03189468383789","18.65257453918457","18.65257453918457","18.65257453918457","19.21309471130371","19.21309471130371","19.21309471130371"
"2","24.14431381225586","24.14431381225586","24.14431381225586","24.111248016357422","24.111248016357422","24.111248016357422","24.044334411621094","24.044334411621094","24.044334411621094","4.291584014892578","4.291584014892578","4.291584014892578","18.11208724975586","18.11208724975586","18.11208724975586","22.16586685180664","22.16586685180664","22.16586685180664","23.910358428955078","23.910358428955078","23.910358428955078"
"4","26.396875381469727","26.396875381469727","26.396875381469727","26.299102783203125","26.299102783203125","26.299102783203125","26.116973876953125","26.116973876953125","26.116973876953125","1.8770833015441895","1.8770833015441895","1.8770833015441895","16.37005043029785","16.37005043029785","16.37005043029785","22.89990997314453","22.89990997314453","22.89990997314453","25.74634552001953","25.74634552001953","25.74634552001953"
"6","28.083168029785156","28.083168029785156","28.083168029785156","27.91541290283203","27.91541290283203","27.91541290283203","27.532026290893555","27.532026290893555","27.532026290893555","1.829255223274231","1.829255223274231","1.829255223274231","11.145439147949219","11.145439147949219","11.145439147949219","22.344528198242188","22.344528198242188","22.344528198242188","26.754030227661133","26.754030227661133","26.754030227661133"
"8","30.17123031616211","30.17123031616211","30.17123031616211","29.855819702148438","29.855819702148438","29.855819702148438","29.13677406311035","29.13677406311035","29.13677406311035","1.5635262727737427","1.5635262727737427","1.5635262727737427","7.914223670959473","7.914223670959473","7.914223670959473","20.996623992919922","20.996623992919922","20.996623992919922","27.77582550048828","27.77582550048828","27.77582550048828"
"10","31.150602340698242","31.150602340698242","31.150602340698242","30.575925827026367","30.575925827026367","30.575925827026367","29.435129165649414","29.435129165649414","29.435129165649414","1.3382562398910522","1.3382562398910522","1.3382562398910522","5.895418167114258","5.895418167114258","5.895418167114258","17.925626754760742","17.925626754760742","17.925626754760742","27.3922119140625","27.3922119140625","27.3922119140625"
"12","31.6141414642334","31.6141414642334","31.6141414642334","30.870624542236328","30.870624542236328","30.870624542236328","29.31376838684082","29.31376838684082","29.31376838684082","1.5418593883514404","1.5418593883514404","1.5418593883514404","5.3936920166015625","5.3936920166015625","5.3936920166015625","15.225371360778809","15.225371360778809","15.225371360778809","26.73781394958496","26.73781394958496","26.73781394958496"
"14","33.108882904052734","33.108882904052734","33.108882904052734","31.965091705322266","31.965091705322266","31.965091705322266","29.70553970336914","29.70553970336914","29.70553970336914","1.5168185234069824","1.5168185234069824","1.5168185234069824","4.525491714477539","4.525491714477539","4.525491714477539","12.662405014038086","12.662405014038086","12.662405014038086","26.25450897216797","26.25450897216797","26.25450897216797"
"16","34.008026123046875","34.008026123046875","34.008026123046875","32.335304260253906","32.335304260253906","32.335304260253906","29.28717613220215","29.28717613220215","29.28717613220215","1.2943366765975952","1.2943366765975952","1.2943366765975952","4.195047378540039","4.195047378540039","4.195047378540039","10.475257873535156","10.475257873535156","10.475257873535156","24.937328338623047","24.937328338623047","24.937328338623047"
"18","34.011390686035156","34.011390686035156","34.011390686035156","31.83547592163086","31.83547592163086","31.83547592163086","28.131677627563477","28.131677627563477","28.131677627563477","1.1998083591461182","1.1998083591461182","1.1998083591461182","3.8170688152313232","3.8170688152313232","3.8170688152313232","8.295177459716797","8.295177459716797","8.295177459716797","23.121944427490234","23.121944427490234","23.121944427490234"
"20","34.18342208862305","34.18342208862305","34.18342208862305","31.59843635559082","31.59843635559082","31.59843635559082","27.465837478637695","27.465837478637695","27.465837478637695","1.529986023902893","1.529986023902893","1.529986023902893","4.597873210906982","4.597873210906982","4.597873210906982","7.873938083648682","7.873938083648682","7.873938083648682","22.07927703857422","22.07927703857422","22.07927703857422"
"22","34.28854751586914","34.28854751586914","34.28854751586914","31.082237243652344","31.082237243652344","31.082237243652344","26.3541202545166","26.3541202545166","26.3541202545166","1.3364346027374268","1.3364346027374268","1.3364346027374268","3.9169366359710693","3.9169366359710693","3.9169366359710693","6.3311567306518555","6.3311567306518555","6.3311567306518555","20.0228271484375","20.0228271484375","20.0228271484375"
"24","34.21630096435547","34.21630096435547","34.21630096435547","30.28498077392578","30.28498077392578","30.28498077392578","24.855588912963867","24.855588912963867","24.855588912963867","1.2281770706176758","1.2281770706176758","1.2281770706176758","3.5439765453338623","3.5439765453338623","3.5439765453338623","5.579801082611084","5.579801082611084","5.579801082611084","17.590538024902344","17.590538024902344","17.590538024902344"
"26","33.14727783203125","33.14727783203125","33.14727783203125","28.656099319458008","28.656099319458008","28.656099319458008","22.650325775146484","22.650325775146484","22.650325775146484","1.2335469722747803","1.2335469722747803","1.2335469722747803","2.864346504211426","2.864346504211426","2.864346504211426","4.757321834564209","4.757321834564209","4.757321834564209","14.352349281311035","14.352349281311035","14.352349281311035"
"28","33.16117858886719","33.16117858886719","33.16117858886719","28.145971298217773","28.145971298217773","28.145971298217773","21.466983795166016","21.466983795166016","21.466983795166016","1.1803522109985352","1.1803522109985352","1.1803522109985352","2.88559889793396","2.88559889793396","2.88559889793396","4.939299583435059","4.939299583435059","4.939299583435059","12.745683670043945","12.745683670043945","12.745683670043945"
"30","32.56813049316406","32.56813049316406","32.56813049316406","26.93906021118164","26.93906021118164","26.93906021118164","19.356914520263672","19.356914520263672","19.356914520263672","1.1536121368408203","1.1536121368408203","1.1536121368408203","2.4490532875061035","2.4490532875061035","2.4490532875061035","4.565338134765625","4.565338134765625","4.565338134765625","10.85853385925293","10.85853385925293","10.85853385925293"
"32","31.930082321166992","31.930082321166992","31.930082321166992","25.747764587402344","25.747764587402344","25.747764587402344","17.694400787353516","17.694400787353516","17.694400787353516","1.156736135482788","1.156736135482788","1.156736135482788","2.4088306427001953","2.4088306427001953","2.4088306427001953","4.759459495544434","4.759459495544434","4.759459495544434","9.62993049621582","9.62993049621582","9.62993049621582"
"34","30.382143020629883","30.382143020629883","30.382143020629883","23.494415283203125","23.494415283203125","23.494415283203125","15.240022659301758","15.240022659301758","15.240022659301758","1.1572256088256836","1.1572256088256836","1.1572256088256836","2.0379133224487305","2.0379133224487305","2.0379133224487305","4.319890022277832","4.319890022277832","4.319890022277832","8.095514297485352","8.095514297485352","8.095514297485352"
"36","29.681596755981445","29.681596755981445","29.681596755981445","22.173370361328125","22.173370361328125","22.173370361328125","14.259191513061523","14.259191513061523","14.259191513061523","1.169378638267517","1.169378638267517","1.169378638267517","2.0108513832092285","2.0108513832092285","2.0108513832092285","4.414682388305664","4.414682388305664","4.414682388305664","7.6845269203186035","7.6845269203186035","7.6845269203186035"
"38","28.675203323364258","28.675203323364258","28.675203323364258","21.296598434448242","21.296598434448242","21.296598434448242","14.026124000549316","14.026124000549316","14.026124000549316","1.1760451793670654","1.1760451793670654","1.1760451793670654","2.2279844284057617","2.2279844284057617","2.2279844284057617","4.833780288696289","4.833780288696289","4.833780288696289","8.015335083007812","8.015335083007812","8.015335083007812"
"40","27.62580108642578","27.62580108642578","27.62580108642578","19.92916488647461","19.92916488647461","19.92916488647461","12.720500946044922","12.720500946044922","12.720500946044922","1.2388893365859985","1.2388893365859985","1.2388893365859985","2.021536111831665","2.021536111831665","2.021536111831665","4.420475959777832","4.420475959777832","4.420475959777832","7.078548908233643","7.078548908233643","7.078548908233643"
