"Step","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_z__MAX"
"0","9.67623519897461","9.67623519897461","9.67623519897461","9.67587661743164","9.67587661743164","9.67587661743164","9.675145149230957","9.675145149230957","9.675145149230957","8.413653373718262","8.413653373718262","8.413653373718262","9.166677474975586","9.166677474975586","9.166677474975586","9.57608413696289","9.57608413696289","9.57608413696289","9.673748016357422","9.673748016357422","9.673748016357422"
"2","10.954225540161133","10.954225540161133","10.954225540161133","10.950661659240723","10.950661659240723","10.950661659240723","10.943936347961426","10.943936347961426","10.943936347961426","5.987452507019043","5.987452507019043","5.987452507019043","9.525484085083008","9.525484085083008","9.525484085083008","10.463619232177734","10.463619232177734","10.463619232177734","10.929975509643555","10.929975509643555","10.929975509643555"
"4","12.392128944396973","12.392128944396973","12.392128944396973","12.37165355682373","12.37165355682373","12.37165355682373","12.33499526977539","12.33499526977539","12.33499526977539","2.346968650817871","2.346968650817871","2.346968650817871","9.289020538330078","9.289020538330078","9.289020538330078","11.382757186889648","11.382757186889648","11.382757186889648","12.259791374206543","12.259791374206543","12.259791374206543"
"6","13.306292533874512","13.306292533874512","13.306292533874512","13.244861602783203","13.244861602783203","13.244861602783203","13.10444164276123","13.10444164276123","13.10444164276123","3.547872543334961","3.547872543334961","3.547872543334961","2.1001176834106445","2.1001176834106445","2.1001176834106445","10.999923706054688","10.999923706054688","10.999923706054688","12.787612915039062","12.787612915039062","12.787612915039062"
"8","14.186491012573242","14.186491012573242","14.186491012573242","13.940329551696777","13.940329551696777","13.940329551696777","13.350738525390625","13.350738525390625","13.350738525390625","1.968218207359314","1.968218207359314","1.968218207359314","1.055111050605774","1.055111050605774","1.055111050605774","7.222463607788086","7.222463607788086","7.222463607788086","11.864377975463867","11.864377975463867","11.864377975463867"
"10","14.483333587646484","14.483333587646484","14.483333587646484","13.706940650939941","13.706940650939941","13.706940650939941","11.817514419555664","11.817514419555664","11.817514419555664","1.503838300704956","1.503838300704956","1.503838300704956","0.8761720657348633","0.8761720657348633","0.8761720657348633","2.184901475906372","2.184901475906372","2.184901475906372","9.106163024902344","9.106163024902344","9.106163024902344"
"12","14.218297958374023","14.218297958374023","14.218297958374023","12.25408935546875","12.25408935546875","12.25408935546875","9.693483352661133","9.693483352661133","9.693483352661133","1.0904595851898193","1.0904595851898193","1.0904595851898193","0.8464018106460571","0.8464018106460571","0.8464018106460571","1.2100601196289062","1.2100601196289062","1.2100601196289062","7.255519866943359","7.255519866943359","7.255519866943359"
"14","13.078880310058594","13.078880310058594","13.078880310058594","10.748875617980957","10.748875617980957","10.748875617980957","8.530881881713867","8.530881881713867","8.530881881713867","0.9926693439483643","0.9926693439483643","0.9926693439483643","0.8026532530784607","0.8026532530784607","0.8026532530784607","1.1333458423614502","1.1333458423614502","1.1333458423614502","6.083559036254883","6.083559036254883","6.083559036254883"
"16","12.120285034179688","12.120285034179688","12.120285034179688","9.944698333740234","9.944698333740234","9.944698333740234","7.762777328491211","7.762777328491211","7.762777328491211","0.9842627644538879","0.9842627644538879","0.9842627644538879","0.9149256944656372","0.9149256944656372","0.9149256944656372","1.108747124671936","1.108747124671936","1.108747124671936","5.13079833984375","5.13079833984375","5.13079833984375"
"18","11.366150856018066","11.366150856018066","11.366150856018066","9.187841415405273","9.187841415405273","9.187841415405273","6.972036361694336","6.972036361694336","6.972036361694336","0.6466588973999023","0.6466588973999023","0.6466588973999023","0.46306636929512024","0.46306636929512024","0.46306636929512024","0.6149630546569824","0.6149630546569824","0.6149630546569824","4.174875259399414","4.174875259399414","4.174875259399414"
