"Step","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MAX"
"0","0.011109324172139168","0.011109324172139168","0.011109324172139168","0.01111678034067154","0.01111678034067154","0.01111678034067154","0.011130616068840027","0.011130616068840027","0.011130616068840027","0.20913943648338318","0.20913943648338318","0.20913943648338318","0.021718233823776245","0.021718233823776245","0.021718233823776245","0.012949234806001186","0.012949234806001186","0.012949234806001186","0.011157872155308723","0.011157872155308723","0.011157872155308723"
"2","0.00284888269379735","0.00284888269379735","0.00284888269379735","0.00286167417652905","0.00286167417652905","0.00286167417652905","0.002885204739868641","0.002885204739868641","0.002885204739868641","0.4686773717403412","0.4686773717403412","0.4686773717403412","0.01244912575930357","0.01244912575930357","0.01244912575930357","0.004423870239406824","0.004423870239406824","0.004423870239406824","0.002933694049715996","0.002933694049715996","0.002933694049715996"
"4","0.001217021606862545","0.001217021606862545","0.001217021606862545","0.001230650581419468","0.001230650581419468","0.001230650581419468","0.0012583350762724876","0.0012583350762724876","0.0012583350762724876","0.8927695751190186","0.8927695751190186","0.8927695751190186","0.011400831863284111","0.011400831863284111","0.011400831863284111","0.002343290951102972","0.002343290951102972","0.002343290951102972","0.001315017812885344","0.001315017812885344","0.001315017812885344"
"6","0.0007987217977643013","0.0007987217977643013","0.0007987217977643013","0.0008083533030003309","0.0008083533030003309","0.0008083533030003309","0.000849116244353354","0.000849116244353354","0.000849116244353354","0.977419376373291","0.977419376373291","0.977419376373291","0.048869337886571884","0.048869337886571884","0.048869337886571884","0.0021979850716888905","0.0021979850716888905","0.0021979850716888905","0.0009325597784481943","0.0009325597784481943","0.0009325597784481943"
"8","0.000394839997170493","0.000394839997170493","0.000394839997170493","0.00040963958599604666","0.00040963958599604666","0.00040963958599604666","0.00043695620843209326","0.00043695620843209326","0.00043695620843209326","0.9927495718002319","0.9927495718002319","0.9927495718002319","0.12083575129508972","0.12083575129508972","0.12083575129508972","0.00217190058901906","0.00217190058901906","0.00217190058901906","0.0005227646906860173","0.0005227646906860173","0.0005227646906860173"
"10","0.00024246676184702665","0.00024246676184702665","0.00024246676184702665","0.00025557292974554","0.00025557292974554","0.00025557292974554","0.00028701452538371086","0.00028701452538371086","0.00028701452538371086","1.0908325910568237","1.0908325910568237","1.0908325910568237","0.24204227328300476","0.24204227328300476","0.24204227328300476","0.004346004221588373","0.004346004221588373","0.004346004221588373","0.00038442673394456506","0.00038442673394456506","0.00038442673394456506"
"12","0.00018680897483136505","0.00018680897483136505","0.00018680897483136505","0.00020355911692604423","0.00020355911692604423","0.00020355911692604423","0.00025219484814442694","0.00025219484814442694","0.00025219484814442694","1.1018543243408203","1.1018543243408203","1.1018543243408203","0.35460230708122253","0.35460230708122253","0.35460230708122253","0.01187893096357584","0.01187893096357584","0.01187893096357584","0.00040769478073343635","0.00040769478073343635","0.00040769478073343635"
"14","0.00010451174603076652","0.00010451174603076652","0.00010451174603076652","0.00012147932284278795","0.00012147932284278795","0.00012147932284278795","0.00016893116116989404","0.00016893116116989404","0.00016893116116989404","1.1213527917861938","1.1213527917861938","1.1213527917861938","0.4330810606479645","0.4330810606479645","0.4330810606479645","0.024096017703413963","0.024096017703413963","0.024096017703413963","0.0003663146635517478","0.0003663146635517478","0.0003663146635517478"
"16","0.00006959683378227055","0.00006959683378227055","0.00006959683378227055","0.00008776822505751625","0.00008776822505751625","0.00008776822505751625","0.00015088921645656228","0.00015088921645656228","0.00015088921645656228","1.1236791610717773","1.1236791610717773","1.1236791610717773","0.48536235094070435","0.48536235094070435","0.48536235094070435","0.048459988087415695","0.048459988087415695","0.048459988087415695","0.00046901628957130015","0.00046901628957130015","0.00046901628957130015"
"18","0.00005706481169909239","0.00005706481169909239","0.00005706481169909239","0.00007958992500789464","0.00007958992500789464","0.00007958992500789464","0.0001779991143848747","0.0001779991143848747","0.0001779991143848747","1.1446893215179443","1.1446893215179443","1.1446893215179443","0.5403157472610474","0.5403157472610474","0.5403157472610474","0.09760557115077972","0.09760557115077972","0.09760557115077972","0.0007599815144203603","0.0007599815144203603","0.0007599815144203603"
