"Step","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_z__MAX"
"0","0.13337038457393646","0.13337038457393646","0.13337038457393646","0.1333809643983841","0.1333809643983841","0.1333809643983841","0.13340383768081665","0.13340383768081665","0.13340383768081665","0.18129053711891174","0.18129053711891174","0.18129053711891174","0.15305127203464508","0.15305127203464508","0.15305127203464508","0.13722848892211914","0.13722848892211914","0.13722848892211914","0.1334482729434967","0.1334482729434967","0.1334482729434967"
"2","0.0901976227760315","0.0901976227760315","0.0901976227760315","0.09027079492807388","0.09027079492807388","0.09027079492807388","0.09040644764900208","0.09040644764900208","0.09040644764900208","0.34661003947257996","0.34661003947257996","0.34661003947257996","0.13631214201450348","0.13631214201450348","0.13631214201450348","0.10368604212999344","0.10368604212999344","0.10368604212999344","0.09069515764713287","0.09069515764713287","0.09069515764713287"
"4","0.06126784533262253","0.06126784533262253","0.06126784533262253","0.06151684746146202","0.06151684746146202","0.06151684746146202","0.06194455176591873","0.06194455176591873","0.06194455176591873","1.4543918371200562","1.4543918371200562","1.4543918371200562","0.13329575955867767","0.13329575955867767","0.13329575955867767","0.07869791984558105","0.07869791984558105","0.07869791984558105","0.06281927973031998","0.06281927973031998","0.06281927973031998"
"6","0.046571046113967896","0.046571046113967896","0.046571046113967896","0.04705202206969261","0.04705202206969261","0.04705202206969261","0.048226162791252136","0.048226162791252136","0.048226162791252136","0.7593487501144409","0.7593487501144409","0.7593487501144409","1.081352949142456","1.081352949142456","1.081352949142456","0.07621157169342041","0.07621157169342041","0.07621157169342041","0.050982121378183365","0.050982121378183365","0.050982121378183365"
"8","0.03658616915345192","0.03658616915345192","0.03658616915345192","0.03803128004074097","0.03803128004074097","0.03803128004074097","0.04193924367427826","0.04193924367427826","0.04193924367427826","1.3905125856399536","1.3905125856399536","1.3905125856399536","1.6160744428634644","1.6160744428634644","1.6160744428634644","0.18536409735679626","0.18536409735679626","0.18536409735679626","0.05563700199127197","0.05563700199127197","0.05563700199127197"
"10","0.0323997400701046","0.0323997400701046","0.0323997400701046","0.03692808002233505","0.03692808002233505","0.03692808002233505","0.053978610783815384","0.053978610783815384","0.053978610783815384","1.82907235622406","1.82907235622406","1.82907235622406","1.732846736907959","1.732846736907959","1.732846736907959","1.0508966445922852","1.0508966445922852","1.0508966445922852","0.10755343735218048","0.10755343735218048","0.10755343735218048"
"12","0.03097626194357872","0.03097626194357872","0.03097626194357872","0.046165455132722855","0.046165455132722855","0.046165455132722855","0.0886203944683075","0.0886203944683075","0.0886203944683075","1.8336460590362549","1.8336460590362549","1.8336460590362549","1.7450501918792725","1.7450501918792725","1.7450501918792725","1.5187554359436035","1.5187554359436035","1.5187554359436035","0.1823662519454956","0.1823662519454956","0.1823662519454956"
"14","0.0377611368894577","0.0377611368894577","0.0377611368894577","0.06850504875183105","0.06850504875183105","0.06850504875183105","0.13034825026988983","0.13034825026988983","0.13034825026988983","8.044257164001465","8.044257164001465","8.044257164001465","1.7665150165557861","1.7665150165557861","1.7665150165557861","7.690898895263672","7.690898895263672","7.690898895263672","0.28288939595222473","0.28288939595222473","0.28288939595222473"
"16","0.04657916724681854","0.04657916724681854","0.04657916724681854","0.08451028913259506","0.08451028913259506","0.08451028913259506","0.162684366106987","0.162684366106987","0.162684366106987","1.772141695022583","1.772141695022583","1.772141695022583","1.664397954940796","1.664397954940796","1.664397954940796","1.5473785400390625","1.5473785400390625","1.5473785400390625","0.3801647424697876","0.3801647424697876","0.3801647424697876"
"18","0.05737317353487015","0.05737317353487015","0.05737317353487015","0.10879893600940704","0.10879893600940704","0.10879893600940704","0.21799340844154358","0.21799340844154358","0.21799340844154358","1.8622772693634033","1.8622772693634033","1.8622772693634033","2.0273611545562744","2.0273611545562744","2.0273611545562744","1.8281558752059937","1.8281558752059937","1.8281558752059937","0.5577297210693359","0.5577297210693359","0.5577297210693359"
"20","0.06057465076446533","0.06057465076446533","0.06057465076446533","0.11667183041572571","0.11667183041572571","0.11667183041572571","0.24423018097877502","0.24423018097877502","0.24423018097877502","1.7843873500823975","1.7843873500823975","1.7843873500823975","1.6623752117156982","1.6623752117156982","1.6623752117156982","1.5920943021774292","1.5920943021774292","1.5920943021774292","0.6323193311691284","0.6323193311691284","0.6323193311691284"
"22","0.07178682088851929","0.07178682088851929","0.07178682088851929","0.13940811157226562","0.13940811157226562","0.13940811157226562","0.2999621331691742","0.2999621331691742","0.2999621331691742","1.8399029970169067","1.8399029970169067","1.8399029970169067","1.7688602209091187","1.7688602209091187","1.7688602209091187","1.6517951488494873","1.6517951488494873","1.6517951488494873","0.7965244650840759","0.7965244650840759","0.7965244650840759"
"24","0.07136997580528259","0.07136997580528259","0.07136997580528259","0.13717105984687805","0.13717105984687805","0.13717105984687805","0.32972627878189087","0.32972627878189087","0.32972627878189087","1.7505383491516113","1.7505383491516113","1.7505383491516113","1.874722957611084","1.874722957611084","1.874722957611084","1.718179702758789","1.718179702758789","1.718179702758789","0.8483567237854004","0.8483567237854004","0.8483567237854004"
"26","0.08077871799468994","0.08077871799468994","0.08077871799468994","0.15684819221496582","0.15684819221496582","0.15684819221496582","0.39087530970573425","0.39087530970573425","0.39087530970573425","1.8010895252227783","1.8010895252227783","1.8010895252227783","1.7966976165771484","1.7966976165771484","1.7966976165771484","1.6764837503433228","1.6764837503433228","1.6764837503433228","0.9738460779190063","0.9738460779190063","0.9738460779190063"
"28","0.08607160300016403","0.08607160300016403","0.08607160300016403","0.16316811740398407","0.16316811740398407","0.16316811740398407","0.39127445220947266","0.39127445220947266","0.39127445220947266","1.8189231157302856","1.8189231157302856","1.8189231157302856","1.8260760307312012","1.8260760307312012","1.8260760307312012","1.797908067703247","1.797908067703247","1.797908067703247","0.9654619693756104","0.9654619693756104","0.9654619693756104"
"30","0.08173470944166183","0.08173470944166183","0.08173470944166183","0.15624573826789856","0.15624573826789856","0.15624573826789856","0.4032962918281555","0.4032962918281555","0.4032962918281555","1.6895642280578613","1.6895642280578613","1.6895642280578613","1.7751550674438477","1.7751550674438477","1.7751550674438477","1.618667721748352","1.618667721748352","1.618667721748352","0.9079999327659607","0.9079999327659607","0.9079999327659607"
"32","0.08582668751478195","0.08582668751478195","0.08582668751478195","0.19317948818206787","0.19317948818206787","0.19317948818206787","0.40509355068206787","0.40509355068206787","0.40509355068206787","1.6685396432876587","1.6685396432876587","1.6685396432876587","1.6920151710510254","1.6920151710510254","1.6920151710510254","1.550972819328308","1.550972819328308","1.550972819328308","0.8787918090820312","0.8787918090820312","0.8787918090820312"
"34","0.0948270708322525","0.0948270708322525","0.0948270708322525","0.17835378646850586","0.17835378646850586","0.17835378646850586","0.511147677898407","0.511147677898407","0.511147677898407","1.7227771282196045","1.7227771282196045","1.7227771282196045","1.8951716423034668","1.8951716423034668","1.8951716423034668","1.7671871185302734","1.7671871185302734","1.7671871185302734","1.1439299583435059","1.1439299583435059","1.1439299583435059"
"36","0.09578795731067657","0.09578795731067657","0.09578795731067657","0.207078218460083","0.207078218460083","0.207078218460083","0.40130773186683655","0.40130773186683655","0.40130773186683655","1.667074203491211","1.667074203491211","1.667074203491211","1.5476371049880981","1.5476371049880981","1.5476371049880981","1.4541049003601074","1.4541049003601074","1.4541049003601074","0.7757700085639954","0.7757700085639954","0.7757700085639954"
"38","0.10829559713602066","0.10829559713602066","0.10829559713602066","0.24861642718315125","0.24861642718315125","0.24861642718315125","0.5582789778709412","0.5582789778709412","0.5582789778709412","1.6594343185424805","1.6594343185424805","1.6594343185424805","1.657547950744629","1.657547950744629","1.657547950744629","1.7437844276428223","1.7437844276428223","1.7437844276428223","1.0111687183380127","1.0111687183380127","1.0111687183380127"
