"Step","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s__MAX"
"0","6.4174418449401855","6.4174418449401855","6.4174418449401855","6.415992736816406","6.415992736816406","6.415992736816406","6.413078784942627","6.413078784942627","6.413078784942627","2.248979091644287","2.248979091644287","2.248979091644287","5.683969497680664","5.683969497680664","5.683969497680664","6.221219062805176","6.221219062805176","6.221219062805176","6.407443046569824","6.407443046569824","6.407443046569824"
"2","8.048248291015625","8.048248291015625","8.048248291015625","8.037232398986816","8.037232398986816","8.037232398986816","8.014938354492188","8.014938354492188","8.014938354492188","1.586595058441162","1.586595058441162","1.586595058441162","6.040907382965088","6.040907382965088","6.040907382965088","7.389357566833496","7.389357566833496","7.389357566833496","7.970300197601318","7.970300197601318","7.970300197601318"
"4","8.798484802246094","8.798484802246094","8.798484802246094","8.765900611877441","8.765900611877441","8.765900611877441","8.705205917358398","8.705205917358398","8.705205917358398","0.923192024230957","0.923192024230957","0.923192024230957","5.459938049316406","5.459938049316406","5.459938049316406","7.6333208084106445","7.6333208084106445","7.6333208084106445","8.581694602966309","8.581694602966309","8.581694602966309"
"6","9.36038589477539","9.36038589477539","9.36038589477539","9.304476737976074","9.304476737976074","9.304476737976074","9.17670726776123","9.17670726776123","9.17670726776123","0.9354646801948547","0.9354646801948547","0.9354646801948547","3.7310631275177","3.7310631275177","3.7310631275177","7.4481635093688965","7.4481635093688965","7.4481635093688965","8.917428970336914","8.917428970336914","8.917428970336914"
"8","10.05620288848877","10.05620288848877","10.05620288848877","9.951081275939941","9.951081275939941","9.951081275939941","9.711432456970215","9.711432456970215","9.711432456970215","0.8520066738128662","0.8520066738128662","0.8520066738128662","2.6780850887298584","2.6780850887298584","2.6780850887298584","6.998898983001709","6.998898983001709","6.998898983001709","9.257857322692871","9.257857322692871","9.257857322692871"
"10","10.382576942443848","10.382576942443848","10.382576942443848","10.191041946411133","10.191041946411133","10.191041946411133","9.810824394226074","9.810824394226074","9.810824394226074","0.8096152544021606","0.8096152544021606","0.8096152544021606","2.0456156730651855","2.0456156730651855","2.0456156730651855","5.976059913635254","5.976059913635254","5.976059913635254","9.129951477050781","9.129951477050781","9.129951477050781"
"12","10.537055015563965","10.537055015563965","10.537055015563965","10.289246559143066","10.289246559143066","10.289246559143066","9.770362854003906","9.770362854003906","9.770362854003906","0.8811497688293457","0.8811497688293457","0.8811497688293457","1.915906548500061","1.915906548500061","1.915906548500061","5.078575134277344","5.078575134277344","5.078575134277344","8.911849975585938","8.911849975585938","8.911849975585938"
"14","11.035225868225098","11.035225868225098","11.035225868225098","10.65400505065918","10.65400505065918","10.65400505065918","9.90091323852539","9.90091323852539","9.90091323852539","0.8793025016784668","0.8793025016784668","0.8793025016784668","1.652692198753357","1.652692198753357","1.652692198753357","4.228410243988037","4.228410243988037","4.228410243988037","8.750749588012695","8.750749588012695","8.750749588012695"
"16","11.334897994995117","11.334897994995117","11.334897994995117","10.777386665344238","10.777386665344238","10.777386665344238","9.761466026306152","9.761466026306152","9.761466026306152","0.805924654006958","0.805924654006958","0.805924654006958","1.5599803924560547","1.5599803924560547","1.5599803924560547","3.5075550079345703","3.5075550079345703","3.5075550079345703","8.311767578125","8.311767578125","8.311767578125"
"18","11.336015701293945","11.336015701293945","11.336015701293945","10.610790252685547","10.610790252685547","10.610790252685547","9.376348495483398","9.376348495483398","9.376348495483398","0.7814210653305054","0.7814210653305054","0.7814210653305054","1.4523162841796875","1.4523162841796875","1.4523162841796875","2.7973146438598633","2.7973146438598633","2.7973146438598633","7.706797122955322","7.706797122955322","7.706797122955322"
