"Step","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_z__MAX"
"0","3.2695417404174805","3.2695417404174805","3.2695417404174805","3.269425392150879","3.269425392150879","3.269425392150879","3.2691891193389893","3.2691891193389893","3.2691891193389893","2.864694595336914","2.864694595336914","2.864694595336914","3.1062655448913574","3.1062655448913574","3.1062655448913574","3.2374470233917236","3.2374470233917236","3.2374470233917236","3.268738269805908","3.268738269805908","3.268738269805908"
"2","3.6811063289642334","3.6811063289642334","3.6811063289642334","3.6799426078796387","3.6799426078796387","3.6799426078796387","3.677746534347534","3.677746534347534","3.677746534347534","2.111143112182617","2.111143112182617","2.111143112182617","3.2202765941619873","3.2202765941619873","3.2202765941619873","3.522082805633545","3.522082805633545","3.522082805633545","3.673189401626587","3.673189401626587","3.673189401626587"
"4","4.150717258453369","4.150717258453369","4.150717258453369","4.143976211547852","4.143976211547852","4.143976211547852","4.131899833679199","4.131899833679199","4.131899833679199","1.2669934034347534","1.2669934034347534","1.2669934034347534","3.14045786857605","3.14045786857605","3.14045786857605","3.8201026916503906","3.8201026916503906","3.8201026916503906","4.107125759124756","4.107125759124756","4.107125759124756"
"6","4.450509071350098","4.450509071350098","4.450509071350098","4.430194854736328","4.430194854736328","4.430194854736328","4.38378381729126","4.38378381729126","4.38378381729126","1.4355968236923218","1.4355968236923218","1.4355968236923218","1.0603841543197632","1.0603841543197632","1.0603841543197632","3.691675901412964","3.691675901412964","3.691675901412964","4.279103755950928","4.279103755950928","4.279103755950928"
"8","4.740551471710205","4.740551471710205","4.740551471710205","4.658987522125244","4.658987522125244","4.658987522125244","4.463779449462891","4.463779449462891","4.463779449462891","1.1194648742675781","1.1194648742675781","1.1194648742675781","0.8903061151504517","0.8903061151504517","0.8903061151504517","2.469028949737549","2.469028949737549","2.469028949737549","3.9729409217834473","3.9729409217834473","3.9729409217834473"
"10","4.838093280792236","4.838093280792236","4.838093280792236","4.580831527709961","4.580831527709961","4.580831527709961","3.95676851272583","3.95676851272583","3.95676851272583","1.1108590364456177","1.1108590364456177","1.1108590364456177","0.8695859909057617","0.8695859909057617","0.8695859909057617","1.0784915685653687","1.0784915685653687","1.0784915685653687","3.0709314346313477","3.0709314346313477","3.0709314346313477"
"12","4.749283313751221","4.749283313751221","4.749283313751221","4.099675178527832","4.099675178527832","4.099675178527832","3.2603752613067627","3.2603752613067627","3.2603752613067627","0.9746043682098389","0.9746043682098389","0.9746043682098389","0.8637309670448303","0.8637309670448303","0.8637309670448303","0.9095142483711243","0.9095142483711243","0.9095142483711243","2.4790472984313965","2.4790472984313965","2.4790472984313965"
"14","4.371776580810547","4.371776580810547","4.371776580810547","3.6054329872131348","3.6054329872131348","3.6054329872131348","2.8867878913879395","2.8867878913879395","2.8867878913879395","3.012007474899292","3.012007474899292","3.012007474899292","0.8563038110733032","0.8563038110733032","0.8563038110733032","2.9411206245422363","2.9411206245422363","2.9411206245422363","2.1219370365142822","2.1219370365142822","2.1219370365142822"
"16","4.055215358734131","4.055215358734131","4.055215358734131","3.3427352905273438","3.3427352905273438","3.3427352905273438","2.6415562629699707","2.6415562629699707","2.6415562629699707","0.9187096357345581","0.9187096357345581","0.9187096357345581","0.8596885800361633","0.8596885800361633","0.8596885800361633","0.8852866291999817","0.8852866291999817","0.8852866291999817","1.836803913116455","1.836803913116455","1.836803913116455"
"18","3.807460308074951","3.807460308074951","3.807460308074951","3.0985701084136963","3.0985701084136963","3.0985701084136963","2.3964366912841797","2.3964366912841797","2.3964366912841797","0.8362283706665039","0.8362283706665039","0.8362283706665039","0.8300595283508301","0.8300595283508301","0.8300595283508301","0.8142915964126587","0.8142915964126587","0.8142915964126587","1.5773773193359375","1.5773773193359375","1.5773773193359375"
"20","3.7227137088775635","3.7227137088775635","3.7227137088775635","3.015892267227173","3.015892267227173","3.015892267227173","2.285464286804199","2.285464286804199","2.285464286804199","0.8369684219360352","0.8369684219360352","0.8369684219360352","0.8110401630401611","0.8110401630401611","0.8110401630401611","0.8414292335510254","0.8414292335510254","0.8414292335510254","1.4846785068511963","1.4846785068511963","1.4846785068511963"
"22","3.5238037109375","3.5238037109375","3.5238037109375","2.8184704780578613","2.8184704780578613","2.8184704780578613","2.074833631515503","2.074833631515503","2.074833631515503","0.7888422012329102","0.7888422012329102","0.7888422012329102","0.8104625940322876","0.8104625940322876","0.8104625940322876","0.8329883813858032","0.8329883813858032","0.8329883813858032","1.296554446220398","1.296554446220398","1.296554446220398"
"24","3.531437873840332","3.531437873840332","3.531437873840332","2.850743532180786","2.850743532180786","2.850743532180786","1.991218090057373","1.991218090057373","1.991218090057373","0.7667860984802246","0.7667860984802246","0.7667860984802246","0.7986926436424255","0.7986926436424255","0.7986926436424255","0.830670952796936","0.830670952796936","0.830670952796936","1.236745834350586","1.236745834350586","1.236745834350586"
"26","3.405616283416748","3.405616283416748","3.405616283416748","2.7285871505737305","2.7285871505737305","2.7285871505737305","1.866037130355835","1.866037130355835","1.866037130355835","0.7732129693031311","0.7732129693031311","0.7732129693031311","0.802546501159668","0.802546501159668","0.802546501159668","0.8252079486846924","0.8252079486846924","0.8252079486846924","1.1665940284729004","1.1665940284729004","1.1665940284729004"
"28","3.344304323196411","3.344304323196411","3.344304323196411","2.67716383934021","2.67716383934021","2.67716383934021","1.8480513095855713","1.8480513095855713","1.8480513095855713","0.7336973547935486","0.7336973547935486","0.7336973547935486","0.8318098187446594","0.8318098187446594","0.8318098187446594","0.8524750471115112","0.8524750471115112","0.8524750471115112","1.1329002380371094","1.1329002380371094","1.1329002380371094"
"30","3.4326090812683105","3.4326090812683105","3.4326090812683105","2.7863614559173584","2.7863614559173584","2.7863614559173584","1.8674572706222534","1.8674572706222534","1.8674572706222534","0.7256151437759399","0.7256151437759399","0.7256151437759399","0.835689902305603","0.835689902305603","0.835689902305603","0.8668938875198364","0.8668938875198364","0.8668938875198364","1.1805899143218994","1.1805899143218994","1.1805899143218994"
