"Step","VOWELS_FILTER_b40_DUAL_bs16 - div_0_2_z","VOWELS_FILTER_b40_DUAL_bs16 - div_0_2_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - div_0_2_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - div_0_2_z","VOWELS_FILTER_b20_DUAL_bs16 - div_0_2_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - div_0_2_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - div_0_2_z","VOWELS_FILTER_b10_DUAL_bs16 - div_0_2_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - div_0_2_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - div_0_2_z","VOWELS_FILTER_b0_DUAL_bs16 - div_0_2_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - div_0_2_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - div_0_2_z","VOWELS_FILTER_b0.1_DUAL_bs16 - div_0_2_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - div_0_2_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - div_0_2_z","VOWELS_FILTER_b1_DUAL_bs16 - div_0_2_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - div_0_2_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_0_2_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_0_2_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_0_2_z__MAX"
"0","0.043741803616285324","0.043741803616285324","0.043741803616285324","0.043745286762714386","0.043745286762714386","0.043745286762714386","0.043752409517765045","0.043752409517765045","0.043752409517765045","0.059035975486040115","0.059035975486040115","0.059035975486040115","0.04996901750564575","0.04996901750564575","0.04996901750564575","0.04494437575340271","0.04494437575340271","0.04494437575340271","0.043766673654317856","0.043766673654317856","0.043766673654317856"
"2","0.029601195827126503","0.029601195827126503","0.029601195827126503","0.02962503954768181","0.02962503954768181","0.02962503954768181","0.02966848947107792","0.02966848947107792","0.02966848947107792","0.1136263906955719","0.1136263906955719","0.1136263906955719","0.04456636682152748","0.04456636682152748","0.04456636682152748","0.03391547128558159","0.03391547128558159","0.03391547128558159","0.029762068763375282","0.029762068763375282","0.029762068763375282"
"4","0.020223107188940048","0.020223107188940048","0.020223107188940048","0.020305149257183075","0.020305149257183075","0.020305149257183075","0.0204458087682724","0.0204458087682724","0.0204458087682724","0.3781459331512451","0.3781459331512451","0.3781459331512451","0.043879419565200806","0.043879419565200806","0.043879419565200806","0.025874875485897064","0.025874875485897064","0.025874875485897064","0.020733289420604706","0.020733289420604706","0.020733289420604706"
"6","0.01548430509865284","0.01548430509865284","0.01548430509865284","0.015642354264855385","0.015642354264855385","0.015642354264855385","0.01602916605770588","0.01602916605770588","0.01602916605770588","0.23258841037750244","0.23258841037750244","0.23258841037750244","0.3006454408168793","0.3006454408168793","0.3006454408168793","0.025296026840806007","0.025296026840806007","0.025296026840806007","0.016936741769313812","0.016936741769313812","0.016936741769313812"
"8","0.012055380269885063","0.012055380269885063","0.012055380269885063","0.012533183209598064","0.012533183209598064","0.012533183209598064","0.013828439638018608","0.013828439638018608","0.013828439638018608","0.34573596715927124","0.34573596715927124","0.34573596715927124","0.41140106320381165","0.41140106320381165","0.41140106320381165","0.061255671083927155","0.061255671083927155","0.061255671083927155","0.01836472749710083","0.01836472749710083","0.01836472749710083"
"10","0.01066891010850668","0.01066891010850668","0.01066891010850668","0.012129094451665878","0.012129094451665878","0.012129094451665878","0.017658226191997528","0.017658226191997528","0.017658226191997528","0.4427616000175476","0.4427616000175476","0.4427616000175476","0.428445428609848","0.428445428609848","0.428445428609848","0.2970166802406311","0.2970166802406311","0.2970166802406311","0.03499004989862442","0.03499004989862442","0.03499004989862442"
"12","0.01038943137973547","0.01038943137973547","0.01038943137973547","0.015598366037011147","0.015598366037011147","0.015598366037011147","0.029998932033777237","0.029998932033777237","0.029998932033777237","0.43584734201431274","0.43584734201431274","0.43584734201431274","0.42992696166038513","0.42992696166038513","0.42992696166038513","0.3773871064186096","0.3773871064186096","0.3773871064186096","0.060979172587394714","0.060979172587394714","0.060979172587394714"
"14","0.012589102610945702","0.012589102610945702","0.012589102610945702","0.02267715148627758","0.02267715148627758","0.02267715148627758","0.04242873564362526","0.04242873564362526","0.04242873564362526","0.437441349029541","0.437441349029541","0.437441349029541","0.42401522397994995","0.42401522397994995","0.42401522397994995","0.38513800501823425","0.38513800501823425","0.38513800501823425","0.08884184062480927","0.08884184062480927","0.08884184062480927"
"16","0.015114730224013329","0.015114730224013329","0.015114730224013329","0.02712966687977314","0.02712966687977314","0.02712966687977314","0.05155631899833679","0.05155631899833679","0.05155631899833679","0.43599846959114075","0.43599846959114075","0.43599846959114075","0.4441850781440735","0.4441850781440735","0.4441850781440735","0.4185735881328583","0.4185735881328583","0.4185735881328583","0.11704592406749725","0.11704592406749725","0.11704592406749725"
"18","0.01893872395157814","0.01893872395157814","0.01893872395157814","0.03575558960437775","0.03575558960437775","0.03575558960437775","0.07052229344844818","0.07052229344844818","0.07052229344844818","0.431703120470047","0.431703120470047","0.431703120470047","0.508354127407074","0.508354127407074","0.508354127407074","0.46727100014686584","0.46727100014686584","0.46727100014686584","0.17064833641052246","0.17064833641052246","0.17064833641052246"
