"Step","VOWELS_FILTER_b40_DUAL_bs16 - div_3_1_s","VOWELS_FILTER_b40_DUAL_bs16 - div_3_1_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - div_3_1_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - div_3_1_s","VOWELS_FILTER_b20_DUAL_bs16 - div_3_1_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - div_3_1_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - div_3_1_s","VOWELS_FILTER_b10_DUAL_bs16 - div_3_1_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - div_3_1_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - div_3_1_s","VOWELS_FILTER_b0_DUAL_bs16 - div_3_1_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - div_3_1_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_1_s","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_1_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_1_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - div_3_1_s","VOWELS_FILTER_b1_DUAL_bs16 - div_3_1_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - div_3_1_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_1_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_1_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_1_s__MAX"
"0","0.0018751368625089526","0.0018751368625089526","0.0018751368625089526","0.0018786709988489747","0.0018786709988489747","0.0018786709988489747","0.001885904697701335","0.001885904697701335","0.001885904697701335","0.28124988079071045","0.28124988079071045","0.28124988079071045","0.003955683670938015","0.003955683670938015","0.003955683670938015","0.0023061353713274","0.0023061353713274","0.0023061353713274","0.001900022616609931","0.001900022616609931","0.001900022616609931"
"2","0.000429829815402627","0.000429829815402627","0.000429829815402627","0.0004362726758699864","0.0004362726758699864","0.0004362726758699864","0.00044970953604206443","0.00044970953604206443","0.00044970953604206443","0.5618342757225037","0.5618342757225037","0.5618342757225037","0.003974155988544226","0.003974155988544226","0.003974155988544226","0.0009208372212015092","0.0009208372212015092","0.0009208372212015092","0.0004778385045938194","0.0004778385045938194","0.0004778385045938194"
"4","0.00020095444051548839","0.00020095444051548839","0.00020095444051548839","0.0002099598932545632","0.0002099598932545632","0.0002099598932545632","0.00022835141862742603","0.00022835141862742603","0.00022835141862742603","0.6113949418067932","0.6113949418067932","0.6113949418067932","0.009274911135435104","0.009274911135435104","0.009274911135435104","0.0008387588895857334","0.0008387588895857334","0.0008387588895857334","0.00027077796403318644","0.00027077796403318644","0.00027077796403318644"
"6","0.00010996889614034444","0.00010996889614034444","0.00010996889614034444","0.00011846705456264317","0.00011846705456264317","0.00011846705456264317","0.00014210173685569316","0.00014210173685569316","0.00014210173685569316","0.654142439365387","0.654142439365387","0.654142439365387","0.06861735135316849","0.06861735135316849","0.06861735135316849","0.001205185311846435","0.001205185311846435","0.001205185311846435","0.00020309050159994513","0.00020309050159994513","0.00020309050159994513"
"8","0.00005918447277508676","0.00005918447277508676","0.00005918447277508676","0.00006842018046882004","0.00006842018046882004","0.00006842018046882004","0.0000955737050389871","0.0000955737050389871","0.0000955737050389871","0.6544837951660156","0.6544837951660156","0.6544837951660156","0.19158896803855896","0.19158896803855896","0.19158896803855896","0.0023315080907195807","0.0023315080907195807","0.0023315080907195807","0.00017425083206035197","0.00017425083206035197","0.00017425083206035197"
"10","0.000047296118282247335","0.000047296118282247335","0.000047296118282247335","0.000058955276472261176","0.000058955276472261176","0.000058955276472261176","0.0000927825749386102","0.0000927825749386102","0.0000927825749386102","0.6628899574279785","0.6628899574279785","0.6628899574279785","0.3475413918495178","0.3475413918495178","0.3475413918495178","0.006712446920573711","0.006712446920573711","0.006712446920573711","0.00021038131671957672","0.00021038131671957672","0.00021038131671957672"
"12","0.000026117624656762928","0.000026117624656762928","0.000026117624656762928","0.0000375529307348188","0.0000375529307348188","0.0000375529307348188","0.00007878555334173143","0.00007878555334173143","0.00007878555334173143","0.6779143810272217","0.6779143810272217","0.6779143810272217","0.43124476075172424","0.43124476075172424","0.43124476075172424","0.017970656976103783","0.017970656976103783","0.017970656976103783","0.00024729082360863686","0.00024729082360863686","0.00024729082360863686"
"14","0.000020439947547856718","0.000020439947547856718","0.000020439947547856718","0.000035292061511427164","0.000035292061511427164","0.000035292061511427164","0.00009582129860064015","0.00009582129860064015","0.00009582129860064015","0.657784640789032","0.657784640789032","0.657784640789032","0.526518702507019","0.526518702507019","0.526518702507019","0.041243210434913635","0.041243210434913635","0.041243210434913635","0.00037602666998282075","0.00037602666998282075","0.00037602666998282075"
"16","0.00001743161556078121","0.00001743161556078121","0.00001743161556078121","0.00003791181370615959","0.00003791181370615959","0.00003791181370615959","0.0001334088883595541","0.0001334088883595541","0.0001334088883595541","0.6760435104370117","0.6760435104370117","0.6760435104370117","0.5854133367538452","0.5854133367538452","0.5854133367538452","0.0865027979016304","0.0865027979016304","0.0865027979016304","0.0006592940771952271","0.0006592940771952271","0.0006592940771952271"
"18","0.000016221023543039337","0.000016221023543039337","0.000016221023543039337","0.00004340395753388293","0.00004340395753388293","0.00004340395753388293","0.0001879092160379514","0.0001879092160379514","0.0001879092160379514","0.6819325685501099","0.6819325685501099","0.6819325685501099","0.5958171486854553","0.5958171486854553","0.5958171486854553","0.15690815448760986","0.15690815448760986","0.15690815448760986","0.0011154350358992815","0.0011154350358992815","0.0011154350358992815"
"20","0.000016916339518502355","0.000016916339518502355","0.000016916339518502355","0.00005157108898856677","0.00005157108898856677","0.00005157108898856677","0.00026043292018584907","0.00026043292018584907","0.00026043292018584907","0.6473180651664734","0.6473180651664734","0.6473180651664734","0.5459910035133362","0.5459910035133362","0.5459910035133362","0.23835524916648865","0.23835524916648865","0.23835524916648865","0.0018197073368355632","0.0018197073368355632","0.0018197073368355632"
