"Step","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s__MAX"
"0","0.00263175624422729","0.00263175624422729","0.00263175624422729","0.00263477535918355","0.00263477535918355","0.00263477535918355","0.002640667837113142","0.002640667837113142","0.002640667837113142","0.15676242113113403","0.15676242113113403","0.15676242113113403","0.005082381423562765","0.005082381423562765","0.005082381423562765","0.003097464796155691","0.003097464796155691","0.003097464796155691","0.002651937073096633","0.002651937073096633","0.002651937073096633"
"2","0.0003397391992621124","0.0003397391992621124","0.0003397391992621124","0.0003437614068388939","0.0003437614068388939","0.0003437614068388939","0.000352098373696208","0.000352098373696208","0.000352098373696208","0.312801718711853","0.312801718711853","0.312801718711853","0.0027231439016759396","0.0027231439016759396","0.0027231439016759396","0.0006740146200172603","0.0006740146200172603","0.0006740146200172603","0.0003694633487612009","0.0003694633487612009","0.0003694633487612009"
"4","0.00015821022680029273","0.00015821022680029273","0.00015821022680029273","0.00016377690189983696","0.00016377690189983696","0.00016377690189983696","0.00017481084796600044","0.00017481084796600044","0.00017481084796600044","0.552905261516571","0.552905261516571","0.552905261516571","0.005413790699094534","0.005413790699094534","0.005413790699094534","0.0005461302935145795","0.0005461302935145795","0.0005461302935145795","0.0001998628576984629","0.0001998628576984629","0.0001998628576984629"
"6","0.00010411470429971814","0.00010411470429971814","0.00010411470429971814","0.00011007623834302649","0.00011007623834302649","0.00011007623834302649","0.00012471350783016533","0.00012471350783016533","0.00012471350783016533","0.5774141550064087","0.5774141550064087","0.5774141550064087","0.036752358078956604","0.036752358078956604","0.036752358078956604","0.0007500493666157126","0.0007500493666157126","0.0007500493666157126","0.00016201831749640405","0.00016201831749640405","0.00016201831749640405"
"8","0.000045937325921840966","0.000045937325921840966","0.000045937325921840966","0.0000514957464474719","0.0000514957464474719","0.0000514957464474719","0.00006712969479849562","0.00006712969479849562","0.00006712969479849562","0.6052169799804688","0.6052169799804688","0.6052169799804688","0.10168592631816864","0.10168592631816864","0.10168592631816864","0.00126469018869102","0.00126469018869102","0.00126469018869102","0.00011117756366729736","0.00011117756366729736","0.00011117756366729736"
"10","0.00003710706005222164","0.00003710706005222164","0.00003710706005222164","0.00004427281237440184","0.00004427281237440184","0.00004427281237440184","0.00006427105836337432","0.00006427105836337432","0.00006427105836337432","0.6448749303817749","0.6448749303817749","0.6448749303817749","0.19288024306297302","0.19288024306297302","0.19288024306297302","0.0035691335797309875","0.0035691335797309875","0.0035691335797309875","0.00013066759856883436","0.00013066759856883436","0.00013066759856883436"
"12","0.00003540138277458027","0.00003540138277458027","0.00003540138277458027","0.00004395242649479769","0.00004395242649479769","0.00004395242649479769","0.00007139845547499135","0.00007139845547499135","0.00007139845547499135","0.616418719291687","0.616418719291687","0.616418719291687","0.2405310571193695","0.2405310571193695","0.2405310571193695","0.009432658553123474","0.009432658553123474","0.009432658553123474","0.00016928811965044588","0.00016928811965044588","0.00016928811965044588"
"14","0.00001913337837322615","0.00001913337837322615","0.00001913337837322615","0.00002786265940812882","0.00002786265940812882","0.00002786265940812882","0.00006165063678054139","0.00006165063678054139","0.00006165063678054139","0.6181589365005493","0.6181589365005493","0.6181589365005493","0.2962619662284851","0.2962619662284851","0.2962619662284851","0.021310169249773026","0.021310169249773026","0.021310169249773026","0.00021098300931043923","0.00021098300931043923","0.00021098300931043923"
"16","0.000012943950423505157","0.000012943950423505157","0.000012943950423505157","0.000024522767489543185","0.000024522767489543185","0.000024522767489543185","0.0000762400304665789","0.0000762400304665789","0.0000762400304665789","0.6529435515403748","0.6529435515403748","0.6529435515403748","0.3358413577079773","0.3358413577079773","0.3358413577079773","0.0454375296831131","0.0454375296831131","0.0454375296831131","0.00035444810055196285","0.00035444810055196285","0.00035444810055196285"
"18","0.000015186028576863464","0.000015186028576863464","0.000015186028576863464","0.00003153423313051462","0.00003153423313051462","0.00003153423313051462","0.00011565751628950238","0.00011565751628950238","0.00011565751628950238","0.6718035936355591","0.6718035936355591","0.6718035936355591","0.35732364654541016","0.35732364654541016","0.35732364654541016","0.08843936771154404","0.08843936771154404","0.08843936771154404","0.0006401182617992163","0.0006401182617992163","0.0006401182617992163"
