"Step","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_z__MAX"
"0","0.04014100134372711","0.04014100134372711","0.04014100134372711","0.04014584422111511","0.04014584422111511","0.04014584422111511","0.04015554487705231","0.04015554487705231","0.04015554487705231","0.061187222599983215","0.061187222599983215","0.061187222599983215","0.04764888435602188","0.04764888435602188","0.04764888435602188","0.041524358093738556","0.041524358093738556","0.041524358093738556","0.04017428308725357","0.04017428308725357","0.04017428308725357"
"2","0.026049740612506866","0.026049740612506866","0.026049740612506866","0.026080643758177757","0.026080643758177757","0.026080643758177757","0.026139024645090103","0.026139024645090103","0.026139024645090103","0.14348666369915009","0.14348666369915009","0.14348666369915009","0.04200802370905876","0.04200802370905876","0.04200802370905876","0.03067619726061821","0.03067619726061821","0.03067619726061821","0.02626064233481884","0.02626064233481884","0.02626064233481884"
"4","0.016225704923272133","0.016225704923272133","0.016225704923272133","0.016336876899003983","0.016336876899003983","0.016336876899003983","0.016537707298994064","0.016537707298994064","0.016537707298994064","0.5310396552085876","0.5310396552085876","0.5310396552085876","0.045527391135692596","0.045527391135692596","0.045527391135692596","0.022691577672958374","0.022691577672958374","0.022691577672958374","0.01695697009563446","0.01695697009563446","0.01695697009563446"
"6","0.011928613297641277","0.011928613297641277","0.011928613297641277","0.01217749621719122","0.01217749621719122","0.01217749621719122","0.012765638530254364","0.012765638530254364","0.012765638530254364","0.31771719455718994","0.31771719455718994","0.31771719455718994","0.5339933633804321","0.5339933633804321","0.5339933633804321","0.02587151899933815","0.02587151899933815","0.02587151899933815","0.014202545396983624","0.014202545396983624","0.014202545396983624"
"8","0.008903266862034798","0.008903266862034798","0.008903266862034798","0.009669270366430283","0.009669270366430283","0.009669270366430283","0.011785331182181835","0.011785331182181835","0.011785331182181835","0.5367791652679443","0.5367791652679443","0.5367791652679443","0.7300031185150146","0.7300031185150146","0.7300031185150146","0.09397169947624207","0.09397169947624207","0.09397169947624207","0.019426992163062096","0.019426992163062096","0.019426992163062096"
"10","0.008111884817481041","0.008111884817481041","0.008111884817481041","0.010511403903365135","0.010511403903365135","0.010511403903365135","0.019741764292120934","0.019741764292120934","0.019741764292120934","0.6417630910873413","0.6417630910873413","0.6417630910873413","0.7637211680412292","0.7637211680412292","0.7637211680412292","0.5127254724502563","0.5127254724502563","0.5127254724502563","0.048832714557647705","0.048832714557647705","0.048832714557647705"
"12","0.008839256130158901","0.008839256130158901","0.008839256130158901","0.017038892954587936","0.017038892954587936","0.017038892954587936","0.040093570947647095","0.040093570947647095","0.040093570947647095","0.7133549451828003","0.7133549451828003","0.7133549451828003","0.7747703790664673","0.7747703790664673","0.7747703790664673","0.7024911642074585","0.7024911642074585","0.7024911642074585","0.09073479473590851","0.09073479473590851","0.09073479473590851"
"14","0.012911325320601463","0.012911325320601463","0.012911325320601463","0.02816125378012657","0.02816125378012657","0.02816125378012657","0.05914419889450073","0.05914419889450073","0.05914419889450073","0.7391731142997742","0.7391731142997742","0.7391731142997742","0.7788114547729492","0.7788114547729492","0.7788114547729492","0.7057706117630005","0.7057706117630005","0.7057706117630005","0.13460257649421692","0.13460257649421692","0.13460257649421692"
"16","0.017847508192062378","0.017847508192062378","0.017847508192062378","0.03692076355218887","0.03692076355218887","0.03692076355218887","0.0764840692281723","0.0764840692281723","0.0764840692281723","0.7364482879638672","0.7364482879638672","0.7364482879638672","0.755385160446167","0.755385160446167","0.755385160446167","0.7166041135787964","0.7166041135787964","0.7166041135787964","0.1849091500043869","0.1849091500043869","0.1849091500043869"
"18","0.022838130593299866","0.022838130593299866","0.022838130593299866","0.047229357063770294","0.047229357063770294","0.047229357063770294","0.09903441369533539","0.09903441369533539","0.09903441369533539","0.8152419924736023","0.8152419924736023","0.8152419924736023","0.8666696548461914","0.8666696548461914","0.8666696548461914","0.8280674815177917","0.8280674815177917","0.8280674815177917","0.2543516755104065","0.2543516755104065","0.2543516755104065"
"20","0.0248329546302557","0.0248329546302557","0.0248329546302557","0.05137401446700096","0.05137401446700096","0.05137401446700096","0.11150822043418884","0.11150822043418884","0.11150822043418884","0.7971329092979431","0.7971329092979431","0.7971329092979431","0.7859453558921814","0.7859453558921814","0.7859453558921814","0.7500583529472351","0.7500583529472351","0.7500583529472351","0.28455984592437744","0.28455984592437744","0.28455984592437744"
"22","0.0304679274559021","0.0304679274559021","0.0304679274559021","0.06315243244171143","0.06315243244171143","0.06315243244171143","0.1402844786643982","0.1402844786643982","0.1402844786643982","0.8443279266357422","0.8443279266357422","0.8443279266357422","0.8125409483909607","0.8125409483909607","0.8125409483909607","0.7698273658752441","0.7698273658752441","0.7698273658752441","0.36249643564224243","0.36249643564224243","0.36249643564224243"
"24","0.03017720952630043","0.03017720952630043","0.03017720952630043","0.0609029158949852","0.0609029158949852","0.0609029158949852","0.1537209153175354","0.1537209153175354","0.1537209153175354","0.8390278816223145","0.8390278816223145","0.8390278816223145","0.8512372970581055","0.8512372970581055","0.8512372970581055","0.7876520156860352","0.7876520156860352","0.7876520156860352","0.3909847140312195","0.3909847140312195","0.3909847140312195"
