"Step","VOWELS_FILTER_b40_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b40_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b20_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s__MAX"
"0","0.003688052762299776","0.003688052762299776","0.003688052762299776","0.0036905198357999325","0.0036905198357999325","0.0036905198357999325","0.003695103107020259","0.003695103107020259","0.003695103107020259","0.06602002680301666","0.06602002680301666","0.06602002680301666","0.007185400929301977","0.007185400929301977","0.007185400929301977","0.0042967163026332855","0.0042967163026332855","0.0042967163026332855","0.0037041245959699154","0.0037041245959699154","0.0037041245959699154"
"2","0.0009491543169133365","0.0009491543169133365","0.0009491543169133365","0.0009534138953313231","0.0009534138953313231","0.0009534138953313231","0.0009612495778128505","0.0009612495778128505","0.0009612495778128505","0.13796931505203247","0.13796931505203247","0.13796931505203247","0.004140693694353104","0.004140693694353104","0.004140693694353104","0.0014734817668795586","0.0014734817668795586","0.0014734817668795586","0.0009773962665349245","0.0009773962665349245","0.0009773962665349245"
"4","0.0004055839963257313","0.0004055839963257313","0.0004055839963257313","0.0004101249505765736","0.0004101249505765736","0.0004101249505765736","0.00041934900218620896","0.00041934900218620896","0.00041934900218620896","0.2518824338912964","0.2518824338912964","0.2518824338912964","0.003791432362049818","0.003791432362049818","0.003791432362049818","0.0007807596120983362","0.0007807596120983362","0.0007807596120983362","0.0004382343904580921","0.0004382343904580921","0.0004382343904580921"
"6","0.0002661990583874285","0.0002661990583874285","0.0002661990583874285","0.00026940854149870574","0.00026940854149870574","0.00026940854149870574","0.00028299164841882885","0.00028299164841882885","0.00028299164841882885","0.27211469411849976","0.27211469411849976","0.27211469411849976","0.016093216836452484","0.016093216836452484","0.016093216836452484","0.0007323349709622562","0.0007323349709622562","0.0007323349709622562","0.00031079616746865213","0.00031079616746865213","0.00031079616746865213"
"8","0.00013160411617718637","0.00013160411617718637","0.00013160411617718637","0.00013653660425916314","0.00013653660425916314","0.00013653660425916314","0.00014564073353540152","0.00014564073353540152","0.00014564073353540152","0.2771325707435608","0.2771325707435608","0.2771325707435608","0.03900226578116417","0.03900226578116417","0.03900226578116417","0.0007236110395751894","0.0007236110395751894","0.0007236110395751894","0.00017423839017283171","0.00017423839017283171","0.00017423839017283171"
"10","0.00008081874693743885","0.00008081874693743885","0.00008081874693743885","0.00008518707181792706","0.00008518707181792706","0.00008518707181792706","0.00009566657536197454","0.00009566657536197454","0.00009566657536197454","0.300704687833786","0.300704687833786","0.300704687833786","0.07583402097225189","0.07583402097225189","0.07583402097225189","0.0014470343012362719","0.0014470343012362719","0.0014470343012362719","0.0001281331351492554","0.0001281331351492554","0.0001281331351492554"
"12","0.000062267150497064","0.000062267150497064","0.000062267150497064","0.00006785008008591831","0.00006785008008591831","0.00006785008008591831","0.00008406032429775223","0.00008406032429775223","0.00008406032429775223","0.3001691699028015","0.3001691699028015","0.3001691699028015","0.10769036412239075","0.10769036412239075","0.10769036412239075","0.0039467159658670425","0.0039467159658670425","0.0039467159658670425","0.00013588604633696377","0.00013588604633696377","0.00013588604633696377"
"14","0.0000348365974787157","0.0000348365974787157","0.0000348365974787157","0.00004049222116009332","0.00004049222116009332","0.00004049222116009332","0.00005630857413052581","0.00005630857413052581","0.00005630857413052581","0.299007773399353","0.299007773399353","0.299007773399353","0.12952201068401337","0.12952201068401337","0.12952201068401337","0.00797930359840393","0.00797930359840393","0.00797930359840393","0.00012209490523673594","0.00012209490523673594","0.00012209490523673594"
"16","0.000023198659619083628","0.000023198659619083628","0.000023198659619083628","0.000029255610570544377","0.000029255610570544377","0.000029255610570544377","0.00005029487510910258","0.00005029487510910258","0.00005029487510910258","0.30805352330207825","0.30805352330207825","0.30805352330207825","0.1431368887424469","0.1431368887424469","0.1431368887424469","0.015952493995428085","0.015952493995428085","0.015952493995428085","0.0001563213882036507","0.0001563213882036507","0.0001563213882036507"
"18","0.00001902131953102071","0.00001902131953102071","0.00001902131953102071","0.000026529456590651534","0.000026529456590651534","0.000026529456590651534","0.00005933034117333591","0.00005933034117333591","0.00005933034117333591","0.3139292597770691","0.3139292597770691","0.3139292597770691","0.15710213780403137","0.15710213780403137","0.15710213780403137","0.03168971836566925","0.03168971836566925","0.03168971836566925","0.00025327326147817075","0.00025327326147817075","0.00025327326147817075"
