"Step","VOWELS_FILTER_b40_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b40_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b20_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_z__MAX"
"0","0.04347116872668266","0.04347116872668266","0.04347116872668266","0.04347453638911247","0.04347453638911247","0.04347453638911247","0.04348182678222656","0.04348182678222656","0.04348182678222656","0.05860019847750664","0.05860019847750664","0.05860019847750664","0.04971599206328392","0.04971599206328392","0.04971599206328392","0.04469902440905571","0.04469902440905571","0.04469902440905571","0.04349597916007042","0.04349597916007042","0.04349597916007042"
"2","0.02961573377251625","0.02961573377251625","0.02961573377251625","0.02963939867913723","0.02963939867913723","0.02963939867913723","0.029683267697691917","0.029683267697691917","0.029683267697691917","0.10836005210876465","0.10836005210876465","0.10836005210876465","0.04441168159246445","0.04441168159246445","0.04441168159246445","0.0339682474732399","0.0339682474732399","0.0339682474732399","0.029776636511087418","0.029776636511087418","0.029776636511087418"
"4","0.02021145261824131","0.02021145261824131","0.02021145261824131","0.02029275894165039","0.02029275894165039","0.02029275894165039","0.020432397723197937","0.020432397723197937","0.020432397723197937","0.34656673669815063","0.34656673669815063","0.34656673669815063","0.043449319899082184","0.043449319899082184","0.043449319899082184","0.025887174531817436","0.025887174531817436","0.025887174531817436","0.020717930048704147","0.020717930048704147","0.020717930048704147"
"6","0.015402558259665966","0.015402558259665966","0.015402558259665966","0.015560386702418327","0.015560386702418327","0.015560386702418327","0.015945574268698692","0.015945574268698692","0.015945574268698692","0.22100216150283813","0.22100216150283813","0.22100216150283813","0.292302668094635","0.292302668094635","0.292302668094635","0.025080977007746696","0.025080977007746696","0.025080977007746696","0.016849078238010406","0.016849078238010406","0.016849078238010406"
"8","0.012119477614760399","0.012119477614760399","0.012119477614760399","0.01259516179561615","0.01259516179561615","0.01259516179561615","0.01388037484139204","0.01388037484139204","0.01388037484139204","0.36409085988998413","0.36409085988998413","0.36409085988998413","0.3998529613018036","0.3998529613018036","0.3998529613018036","0.05980312079191208","0.05980312079191208","0.05980312079191208","0.01837160997092724","0.01837160997092724","0.01837160997092724"
"10","0.010739605873823166","0.010739605873823166","0.010739605873823166","0.012231292203068733","0.012231292203068733","0.012231292203068733","0.017827145755290985","0.017827145755290985","0.017827145755290985","0.4230090379714966","0.4230090379714966","0.4230090379714966","0.4185976982116699","0.4185976982116699","0.4185976982116699","0.285863995552063","0.285863995552063","0.285863995552063","0.03519642725586891","0.03519642725586891","0.03519642725586891"
"12","0.010270696133375168","0.010270696133375168","0.010270696133375168","0.01526835560798645","0.01526835560798645","0.01526835560798645","0.029099829494953156","0.029099829494953156","0.029099829494953156","0.4433012008666992","0.4433012008666992","0.4433012008666992","0.4247087836265564","0.4247087836265564","0.4247087836265564","0.3805079162120819","0.3805079162120819","0.3805079162120819","0.05893086642026901","0.05893086642026901","0.05893086642026901"
"14","0.012506633996963501","0.012506633996963501","0.012506633996963501","0.022572239860892296","0.022572239860892296","0.022572239860892296","0.04250159114599228","0.04250159114599228","0.04250159114599228","0.45547789335250854","0.45547789335250854","0.45547789335250854","0.42726048827171326","0.42726048827171326","0.42726048827171326","0.3898966312408447","0.3898966312408447","0.3898966312408447","0.08985655754804611","0.08985655754804611","0.08985655754804611"
"16","0.01540420949459076","0.01540420949459076","0.01540420949459076","0.02776959538459778","0.02776959538459778","0.02776959538459778","0.052753955125808716","0.052753955125808716","0.052753955125808716","0.42929622530937195","0.42929622530937195","0.42929622530937195","0.4105320870876312","0.4105320870876312","0.4105320870876312","0.3858303427696228","0.3858303427696228","0.3858303427696228","0.11878077685832977","0.11878077685832977","0.11878077685832977"
"18","0.018940288573503494","0.018940288573503494","0.018940288573503494","0.03560842573642731","0.03560842573642731","0.03560842573642731","0.07004912197589874","0.07004912197589874","0.07004912197589874","0.45431384444236755","0.45431384444236755","0.45431384444236755","0.4743911623954773","0.4743911623954773","0.4743911623954773","0.4419706463813782","0.4419706463813782","0.4419706463813782","0.16917800903320312","0.16917800903320312","0.16917800903320312"
