"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_s__MAX"
"0","17.018356323242188","17.018356323242188","17.018356323242188","16.202808380126953","16.202808380126953","16.202808380126953","13.39468765258789","13.39468765258789","13.39468765258789","3.9218130111694336","3.9218130111694336","3.9218130111694336","6.5384721755981445","6.5384721755981445","6.5384721755981445","17.03189468383789","17.03189468383789","17.03189468383789","18.65257453918457","18.65257453918457","18.65257453918457","19.21309471130371","19.21309471130371","19.21309471130371"
"2","21.71660041809082","21.71660041809082","21.71660041809082","19.40997314453125","19.40997314453125","19.40997314453125","15.021388053894043","15.021388053894043","15.021388053894043","2.103203773498535","2.103203773498535","2.103203773498535","4.291584014892578","4.291584014892578","4.291584014892578","18.11208724975586","18.11208724975586","18.11208724975586","22.16586685180664","22.16586685180664","22.16586685180664","23.910358428955078","23.910358428955078","23.910358428955078"
"4","23.437576293945312","23.437576293945312","23.437576293945312","20.0843505859375","20.0843505859375","20.0843505859375","14.03891372680664","14.03891372680664","14.03891372680664","1.9414424896240234","1.9414424896240234","1.9414424896240234","1.8770833015441895","1.8770833015441895","1.8770833015441895","16.37005043029785","16.37005043029785","16.37005043029785","22.89990997314453","22.89990997314453","22.89990997314453","25.74634552001953","25.74634552001953","25.74634552001953"
"6","24.41629981994629","24.41629981994629","24.41629981994629","19.916156768798828","19.916156768798828","19.916156768798828","11.718496322631836","11.718496322631836","11.718496322631836","1.9465992450714111","1.9465992450714111","1.9465992450714111","1.829255223274231","1.829255223274231","1.829255223274231","11.145439147949219","11.145439147949219","11.145439147949219","22.344528198242188","22.344528198242188","22.344528198242188","26.754030227661133","26.754030227661133","26.754030227661133"
"8","24.764339447021484","24.764339447021484","24.764339447021484","18.854305267333984","18.854305267333984","18.854305267333984","7.893858909606934","7.893858909606934","7.893858909606934","1.564362645149231","1.564362645149231","1.564362645149231","1.5635262727737427","1.5635262727737427","1.5635262727737427","7.914223670959473","7.914223670959473","7.914223670959473","20.996623992919922","20.996623992919922","20.996623992919922","27.77582550048828","27.77582550048828","27.77582550048828"
"10","23.970582962036133","23.970582962036133","23.970582962036133","16.71347427368164","16.71347427368164","16.71347427368164","5.17613410949707","5.17613410949707","5.17613410949707","1.2737107276916504","1.2737107276916504","1.2737107276916504","1.3382562398910522","1.3382562398910522","1.3382562398910522","5.895418167114258","5.895418167114258","5.895418167114258","17.925626754760742","17.925626754760742","17.925626754760742","27.3922119140625","27.3922119140625","27.3922119140625"
"12","23.633602142333984","23.633602142333984","23.633602142333984","14.899625778198242","14.899625778198242","14.899625778198242","4.439023971557617","4.439023971557617","4.439023971557617","1.2759606838226318","1.2759606838226318","1.2759606838226318","1.5418593883514404","1.5418593883514404","1.5418593883514404","5.3936920166015625","5.3936920166015625","5.3936920166015625","15.225371360778809","15.225371360778809","15.225371360778809","26.73781394958496","26.73781394958496","26.73781394958496"
"14","22.399215698242188","22.399215698242188","22.399215698242188","11.748775482177734","11.748775482177734","11.748775482177734","3.805934429168701","3.805934429168701","3.805934429168701","1.4086393117904663","1.4086393117904663","1.4086393117904663","1.5168185234069824","1.5168185234069824","1.5168185234069824","4.525491714477539","4.525491714477539","4.525491714477539","12.662405014038086","12.662405014038086","12.662405014038086","26.25450897216797","26.25450897216797","26.25450897216797"
"16","21.34735107421875","21.34735107421875","21.34735107421875","8.936509132385254","8.936509132385254","8.936509132385254","3.099410057067871","3.099410057067871","3.099410057067871","1.2109233140945435","1.2109233140945435","1.2109233140945435","1.2943366765975952","1.2943366765975952","1.2943366765975952","4.195047378540039","4.195047378540039","4.195047378540039","10.475257873535156","10.475257873535156","10.475257873535156","24.937328338623047","24.937328338623047","24.937328338623047"
"18","19.347862243652344","19.347862243652344","19.347862243652344","6.33821439743042","6.33821439743042","6.33821439743042","2.437377452850342","2.437377452850342","2.437377452850342","1.1918009519577026","1.1918009519577026","1.1918009519577026","1.1998083591461182","1.1998083591461182","1.1998083591461182","3.8170688152313232","3.8170688152313232","3.8170688152313232","8.295177459716797","8.295177459716797","8.295177459716797","23.121944427490234","23.121944427490234","23.121944427490234"
"20","18.652666091918945","18.652666091918945","18.652666091918945","6.2432050704956055","6.2432050704956055","6.2432050704956055","3.458677291870117","3.458677291870117","3.458677291870117","2.0224297046661377","2.0224297046661377","2.0224297046661377","1.529986023902893","1.529986023902893","1.529986023902893","4.597873210906982","4.597873210906982","4.597873210906982","7.873938083648682","7.873938083648682","7.873938083648682","22.07927703857422","22.07927703857422","22.07927703857422"
"22","17.316730499267578","17.316730499267578","17.316730499267578","5.34714412689209","5.34714412689209","5.34714412689209","2.8150277137756348","2.8150277137756348","2.8150277137756348","1.3002943992614746","1.3002943992614746","1.3002943992614746","1.3364346027374268","1.3364346027374268","1.3364346027374268","3.9169366359710693","3.9169366359710693","3.9169366359710693","6.3311567306518555","6.3311567306518555","6.3311567306518555","20.0228271484375","20.0228271484375","20.0228271484375"
"24","15.522673606872559","15.522673606872559","15.522673606872559","4.579533100128174","4.579533100128174","4.579533100128174","2.267224073410034","2.267224073410034","2.267224073410034","1.1991022825241089","1.1991022825241089","1.1991022825241089","1.2281770706176758","1.2281770706176758","1.2281770706176758","3.5439765453338623","3.5439765453338623","3.5439765453338623","5.579801082611084","5.579801082611084","5.579801082611084","17.590538024902344","17.590538024902344","17.590538024902344"
"26","14.64592170715332","14.64592170715332","14.64592170715332","4.54949426651001","4.54949426651001","4.54949426651001","2.606674909591675","2.606674909591675","2.606674909591675","1.2768199443817139","1.2768199443817139","1.2768199443817139","1.2335469722747803","1.2335469722747803","1.2335469722747803","2.864346504211426","2.864346504211426","2.864346504211426","4.757321834564209","4.757321834564209","4.757321834564209","14.352349281311035","14.352349281311035","14.352349281311035"
"28","12.764410018920898","12.764410018920898","12.764410018920898","3.9119296073913574","3.9119296073913574","3.9119296073913574","1.9986252784729004","1.9986252784729004","1.9986252784729004","1.1871135234832764","1.1871135234832764","1.1871135234832764","1.1803522109985352","1.1803522109985352","1.1803522109985352","2.88559889793396","2.88559889793396","2.88559889793396","4.939299583435059","4.939299583435059","4.939299583435059","12.745683670043945","12.745683670043945","12.745683670043945"
"30","11.705961227416992","11.705961227416992","11.705961227416992","3.6557374000549316","3.6557374000549316","3.6557374000549316","1.8500499725341797","1.8500499725341797","1.8500499725341797","1.1883372068405151","1.1883372068405151","1.1883372068405151","1.1536121368408203","1.1536121368408203","1.1536121368408203","2.4490532875061035","2.4490532875061035","2.4490532875061035","4.565338134765625","4.565338134765625","4.565338134765625","10.85853385925293","10.85853385925293","10.85853385925293"
"32","10.71877384185791","10.71877384185791","10.71877384185791","3.702072858810425","3.702072858810425","3.702072858810425","1.915256381034851","1.915256381034851","1.915256381034851","1.171886920928955","1.171886920928955","1.171886920928955","1.156736135482788","1.156736135482788","1.156736135482788","2.4088306427001953","2.4088306427001953","2.4088306427001953","4.759459495544434","4.759459495544434","4.759459495544434","9.62993049621582","9.62993049621582","9.62993049621582"
"34","9.991405487060547","9.991405487060547","9.991405487060547","3.710508346557617","3.710508346557617","3.710508346557617","2.075925350189209","2.075925350189209","2.075925350189209","1.1867377758026123","1.1867377758026123","1.1867377758026123","1.1572256088256836","1.1572256088256836","1.1572256088256836","2.0379133224487305","2.0379133224487305","2.0379133224487305","4.319890022277832","4.319890022277832","4.319890022277832","8.095514297485352","8.095514297485352","8.095514297485352"
"36","8.932690620422363","8.932690620422363","8.932690620422363","3.5543439388275146","3.5543439388275146","3.5543439388275146","1.9384634494781494","1.9384634494781494","1.9384634494781494","1.1705456972122192","1.1705456972122192","1.1705456972122192","1.169378638267517","1.169378638267517","1.169378638267517","2.0108513832092285","2.0108513832092285","2.0108513832092285","4.414682388305664","4.414682388305664","4.414682388305664","7.6845269203186035","7.6845269203186035","7.6845269203186035"
"38","8.378520011901855","8.378520011901855","8.378520011901855","3.3711841106414795","3.3711841106414795","3.3711841106414795","1.8140989542007446","1.8140989542007446","1.8140989542007446","1.147521734237671","1.147521734237671","1.147521734237671","1.1760451793670654","1.1760451793670654","1.1760451793670654","2.2279844284057617","2.2279844284057617","2.2279844284057617","4.833780288696289","4.833780288696289","4.833780288696289","8.015335083007812","8.015335083007812","8.015335083007812"
"40","7.203293800354004","7.203293800354004","7.203293800354004","3.238165855407715","3.238165855407715","3.238165855407715","1.7926504611968994","1.7926504611968994","1.7926504611968994","1.1669940948486328","1.1669940948486328","1.1669940948486328","1.2388893365859985","1.2388893365859985","1.2388893365859985","2.021536111831665","2.021536111831665","2.021536111831665","4.420475959777832","4.420475959777832","4.420475959777832","7.078548908233643","7.078548908233643","7.078548908233643"
"42","6.398987293243408","6.398987293243408","6.398987293243408","3.000812530517578","3.000812530517578","3.000812530517578","1.446445107460022","1.446445107460022","1.446445107460022","1.1270841360092163","1.1270841360092163","1.1270841360092163","1.1405656337738037","1.1405656337738037","1.1405656337738037","1.7669918537139893","1.7669918537139893","1.7669918537139893","4.134926795959473","4.134926795959473","4.134926795959473","6.292173385620117","6.292173385620117","6.292173385620117"
"44","6.20939826965332","6.20939826965332","6.20939826965332","3.0355300903320312","3.0355300903320312","3.0355300903320312","1.6685930490493774","1.6685930490493774","1.6685930490493774","1.1376042366027832","1.1376042366027832","1.1376042366027832","1.1645430326461792","1.1645430326461792","1.1645430326461792","1.6827895641326904","1.6827895641326904","1.6827895641326904","3.9220898151397705","3.9220898151397705","3.9220898151397705","5.9469146728515625","5.9469146728515625","5.9469146728515625"
"46","5.669261932373047","5.669261932373047","5.669261932373047","2.657663345336914","2.657663345336914","2.657663345336914","1.2910044193267822","1.2910044193267822","1.2910044193267822","1.1252613067626953","1.1252613067626953","1.1252613067626953","1.12721586227417","1.12721586227417","1.12721586227417","1.5168699026107788","1.5168699026107788","1.5168699026107788","3.945627212524414","3.945627212524414","3.945627212524414","5.834214687347412","5.834214687347412","5.834214687347412"
"48","5.643673896789551","5.643673896789551","5.643673896789551","2.6947689056396484","2.6947689056396484","2.6947689056396484","1.4233492612838745","1.4233492612838745","1.4233492612838745","1.1742238998413086","1.1742238998413086","1.1742238998413086","1.1827776432037354","1.1827776432037354","1.1827776432037354","1.6574246883392334","1.6574246883392334","1.6574246883392334","4.049655437469482","4.049655437469482","4.049655437469482","5.681605815887451","5.681605815887451","5.681605815887451"
"50","5.680888652801514","5.680888652801514","5.680888652801514","2.843654155731201","2.843654155731201","2.843654155731201","1.5137711763381958","1.5137711763381958","1.5137711763381958","1.1444494724273682","1.1444494724273682","1.1444494724273682","1.1613713502883911","1.1613713502883911","1.1613713502883911","1.749995231628418","1.749995231628418","1.749995231628418","4.2107367515563965","4.2107367515563965","4.2107367515563965","5.7586588859558105","5.7586588859558105","5.7586588859558105"
"52","5.061918258666992","5.061918258666992","5.061918258666992","2.5214149951934814","2.5214149951934814","2.5214149951934814","1.3487176895141602","1.3487176895141602","1.3487176895141602","1.1163560152053833","1.1163560152053833","1.1163560152053833","1.1222532987594604","1.1222532987594604","1.1222532987594604","1.4467365741729736","1.4467365741729736","1.4467365741729736","3.839726209640503","3.839726209640503","3.839726209640503","5.117916107177734","5.117916107177734","5.117916107177734"
"54","5.365149021148682","5.365149021148682","5.365149021148682","2.7836856842041016","2.7836856842041016","2.7836856842041016","1.4485244750976562","1.4485244750976562","1.4485244750976562","1.1450546979904175","1.1450546979904175","1.1450546979904175","1.140087604522705","1.140087604522705","1.140087604522705","1.5691347122192383","1.5691347122192383","1.5691347122192383","3.9248604774475098","3.9248604774475098","3.9248604774475098","5.187883377075195","5.187883377075195","5.187883377075195"
"56","5.280827522277832","5.280827522277832","5.280827522277832","2.709721565246582","2.709721565246582","2.709721565246582","1.7742414474487305","1.7742414474487305","1.7742414474487305","1.141926884651184","1.141926884651184","1.141926884651184","1.1562625169754028","1.1562625169754028","1.1562625169754028","1.7642266750335693","1.7642266750335693","1.7642266750335693","5.09990930557251","5.09990930557251","5.09990930557251","5.680791854858398","5.680791854858398","5.680791854858398"
