"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_negative_z__MAX"
"0","9.722896575927734","9.722896575927734","9.722896575927734","9.589213371276855","9.589213371276855","9.589213371276855","9.113601684570312","9.113601684570312","9.113601684570312","7.824822425842285","7.824822425842285","7.824822425842285","8.413653373718262","8.413653373718262","8.413653373718262","9.166677474975586","9.166677474975586","9.166677474975586","9.57608413696289","9.57608413696289","9.57608413696289","9.673748016357422","9.673748016357422","9.673748016357422"
"2","11.638338088989258","11.638338088989258","11.638338088989258","10.861716270446777","10.861716270446777","10.861716270446777","9.665155410766602","9.665155410766602","9.665155410766602","3.4162776470184326","3.4162776470184326","3.4162776470184326","5.987452507019043","5.987452507019043","5.987452507019043","9.525484085083008","9.525484085083008","9.525484085083008","10.463619232177734","10.463619232177734","10.463619232177734","10.929975509643555","10.929975509643555","10.929975509643555"
"4","13.098489761352539","13.098489761352539","13.098489761352539","11.950796127319336","11.950796127319336","11.950796127319336","10.095229148864746","10.095229148864746","10.095229148864746","2.147024393081665","2.147024393081665","2.147024393081665","2.346968650817871","2.346968650817871","2.346968650817871","9.289020538330078","9.289020538330078","9.289020538330078","11.382757186889648","11.382757186889648","11.382757186889648","12.259791374206543","12.259791374206543","12.259791374206543"
"6","12.99521255493164","12.99521255493164","12.99521255493164","11.898366928100586","11.898366928100586","11.898366928100586","7.404450416564941","7.404450416564941","7.404450416564941","2.189030647277832","2.189030647277832","2.189030647277832","3.547872543334961","3.547872543334961","3.547872543334961","2.1001176834106445","2.1001176834106445","2.1001176834106445","10.999923706054688","10.999923706054688","10.999923706054688","12.787612915039062","12.787612915039062","12.787612915039062"
"8","10.294820785522461","10.294820785522461","10.294820785522461","7.664151668548584","7.664151668548584","7.664151668548584","1.6255996227264404","1.6255996227264404","1.6255996227264404","2.597282886505127","2.597282886505127","2.597282886505127","1.968218207359314","1.968218207359314","1.968218207359314","1.055111050605774","1.055111050605774","1.055111050605774","7.222463607788086","7.222463607788086","7.222463607788086","11.864377975463867","11.864377975463867","11.864377975463867"
"10","8.15640926361084","8.15640926361084","8.15640926361084","2.8082008361816406","2.8082008361816406","2.8082008361816406","1.1506702899932861","1.1506702899932861","1.1506702899932861","1.5195128917694092","1.5195128917694092","1.5195128917694092","1.503838300704956","1.503838300704956","1.503838300704956","0.8761720657348633","0.8761720657348633","0.8761720657348633","2.184901475906372","2.184901475906372","2.184901475906372","9.106163024902344","9.106163024902344","9.106163024902344"
"12","6.1218581199646","6.1218581199646","6.1218581199646","1.6175711154937744","1.6175711154937744","1.6175711154937744","0.8146123290061951","0.8146123290061951","0.8146123290061951","1.3414958715438843","1.3414958715438843","1.3414958715438843","1.0904595851898193","1.0904595851898193","1.0904595851898193","0.8464018106460571","0.8464018106460571","0.8464018106460571","1.2100601196289062","1.2100601196289062","1.2100601196289062","7.255519866943359","7.255519866943359","7.255519866943359"
"14","5.13997745513916","5.13997745513916","5.13997745513916","1.3277432918548584","1.3277432918548584","1.3277432918548584","0.8468109369277954","0.8468109369277954","0.8468109369277954","1.116672158241272","1.116672158241272","1.116672158241272","0.9926693439483643","0.9926693439483643","0.9926693439483643","0.8026532530784607","0.8026532530784607","0.8026532530784607","1.1333458423614502","1.1333458423614502","1.1333458423614502","6.083559036254883","6.083559036254883","6.083559036254883"
"16","4.096927642822266","4.096927642822266","4.096927642822266","1.5383249521255493","1.5383249521255493","1.5383249521255493","1.0561890602111816","1.0561890602111816","1.0561890602111816","1.0689241886138916","1.0689241886138916","1.0689241886138916","0.9842627644538879","0.9842627644538879","0.9842627644538879","0.9149256944656372","0.9149256944656372","0.9149256944656372","1.108747124671936","1.108747124671936","1.108747124671936","5.13079833984375","5.13079833984375","5.13079833984375"
"18","4.212424278259277","4.212424278259277","4.212424278259277","1.0048562288284302","1.0048562288284302","1.0048562288284302","0.9735903143882751","0.9735903143882751","0.9735903143882751","1.0916974544525146","1.0916974544525146","1.0916974544525146","0.6466588973999023","0.6466588973999023","0.6466588973999023","0.46306636929512024","0.46306636929512024","0.46306636929512024","0.6149630546569824","0.6149630546569824","0.6149630546569824","4.174875259399414","4.174875259399414","4.174875259399414"
