"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MAX"
"0","0.015280451625585556","0.015280451625585556","0.015280451625585556","0.02021566405892372","0.02021566405892372","0.02021566405892372","0.05372164398431778","0.05372164398431778","0.05372164398431778","1.032741904258728","1.032741904258728","1.032741904258728","0.20913943648338318","0.20913943648338318","0.20913943648338318","0.021718233823776245","0.021718233823776245","0.021718233823776245","0.012949234806001186","0.012949234806001186","0.012949234806001186","0.011157872155308723","0.011157872155308723","0.011157872155308723"
"2","0.0026909522712230682","0.0026909522712230682","0.0026909522712230682","0.005687837488949299","0.005687837488949299","0.005687837488949299","0.025098055601119995","0.025098055601119995","0.025098055601119995","1.1093246936798096","1.1093246936798096","1.1093246936798096","0.4686773717403412","0.4686773717403412","0.4686773717403412","0.01244912575930357","0.01244912575930357","0.01244912575930357","0.004423870239406824","0.004423870239406824","0.004423870239406824","0.002933694049715996","0.002933694049715996","0.002933694049715996"
"4","0.0013787259813398123","0.0013787259813398123","0.0013787259813398123","0.0040021673776209354","0.0040021673776209354","0.0040021673776209354","0.030774500221014023","0.030774500221014023","0.030774500221014023","1.1335415840148926","1.1335415840148926","1.1335415840148926","0.8927695751190186","0.8927695751190186","0.8927695751190186","0.011400831863284111","0.011400831863284111","0.011400831863284111","0.002343290951102972","0.002343290951102972","0.002343290951102972","0.001315017812885344","0.001315017812885344","0.001315017812885344"
"6","0.0010260783601552248","0.0010260783601552248","0.0010260783601552248","0.004565221723169088","0.004565221723169088","0.004565221723169088","0.07213912904262543","0.07213912904262543","0.07213912904262543","1.1544559001922607","1.1544559001922607","1.1544559001922607","0.977419376373291","0.977419376373291","0.977419376373291","0.048869337886571884","0.048869337886571884","0.048869337886571884","0.0021979850716888905","0.0021979850716888905","0.0021979850716888905","0.0009325597784481943","0.0009325597784481943","0.0009325597784481943"
"8","0.0009533474803902209","0.0009533474803902209","0.0009533474803902209","0.006840095855295658","0.006840095855295658","0.006840095855295658","0.2333575338125229","0.2333575338125229","0.2333575338125229","1.0425450801849365","1.0425450801849365","1.0425450801849365","0.9927495718002319","0.9927495718002319","0.9927495718002319","0.12083575129508972","0.12083575129508972","0.12083575129508972","0.00217190058901906","0.00217190058901906","0.00217190058901906","0.0005227646906860173","0.0005227646906860173","0.0005227646906860173"
"10","0.0012876414693892002","0.0012876414693892002","0.0012876414693892002","0.015364710241556168","0.015364710241556168","0.015364710241556168","0.5874209403991699","0.5874209403991699","0.5874209403991699","1.142396330833435","1.142396330833435","1.142396330833435","1.0908325910568237","1.0908325910568237","1.0908325910568237","0.24204227328300476","0.24204227328300476","0.24204227328300476","0.004346004221588373","0.004346004221588373","0.004346004221588373","0.00038442673394456506","0.00038442673394456506","0.00038442673394456506"
"12","0.0015874123200774193","0.0015874123200774193","0.0015874123200774193","0.03228892385959625","0.03228892385959625","0.03228892385959625","0.5310007333755493","0.5310007333755493","0.5310007333755493","1.2326347827911377","1.2326347827911377","1.2326347827911377","1.1018543243408203","1.1018543243408203","1.1018543243408203","0.35460230708122253","0.35460230708122253","0.35460230708122253","0.01187893096357584","0.01187893096357584","0.01187893096357584","0.00040769478073343635","0.00040769478073343635","0.00040769478073343635"
"14","0.002294871723279357","0.002294871723279357","0.002294871723279357","0.08369702100753784","0.08369702100753784","0.08369702100753784","0.6046741604804993","0.6046741604804993","0.6046741604804993","1.1947216987609863","1.1947216987609863","1.1947216987609863","1.1213527917861938","1.1213527917861938","1.1213527917861938","0.4330810606479645","0.4330810606479645","0.4330810606479645","0.024096017703413963","0.024096017703413963","0.024096017703413963","0.0003663146635517478","0.0003663146635517478","0.0003663146635517478"
"16","0.003515208140015602","0.003515208140015602","0.003515208140015602","0.1909778118133545","0.1909778118133545","0.1909778118133545","0.6715137362480164","0.6715137362480164","0.6715137362480164","1.1956329345703125","1.1956329345703125","1.1956329345703125","1.1236791610717773","1.1236791610717773","1.1236791610717773","0.48536235094070435","0.48536235094070435","0.48536235094070435","0.048459988087415695","0.048459988087415695","0.048459988087415695","0.00046901628957130015","0.00046901628957130015","0.00046901628957130015"
"18","0.006414799019694328","0.006414799019694328","0.006414799019694328","0.3573352098464966","0.3573352098464966","0.3573352098464966","0.7749897241592407","0.7749897241592407","0.7749897241592407","1.1590029001235962","1.1590029001235962","1.1590029001235962","1.1446893215179443","1.1446893215179443","1.1446893215179443","0.5403157472610474","0.5403157472610474","0.5403157472610474","0.09760557115077972","0.09760557115077972","0.09760557115077972","0.0007599815144203603","0.0007599815144203603","0.0007599815144203603"
"20","0.009444557130336761","0.009444557130336761","0.009444557130336761","0.42992472648620605","0.42992472648620605","0.42992472648620605","0.8204761147499084","0.8204761147499084","0.8204761147499084","1.2482751607894897","1.2482751607894897","1.2482751607894897","1.1829617023468018","1.1829617023468018","1.1829617023468018","0.5932558178901672","0.5932558178901672","0.5932558178901672","0.18122337758541107","0.18122337758541107","0.18122337758541107","0.0012969870585948229","0.0012969870585948229","0.0012969870585948229"
"22","0.01429849211126566","0.01429849211126566","0.01429849211126566","0.5031152963638306","0.5031152963638306","0.5031152963638306","0.9128929972648621","0.9128929972648621","0.9128929972648621","1.2091729640960693","1.2091729640960693","1.2091729640960693","1.163611650466919","1.163611650466919","1.163611650466919","0.6102823615074158","0.6102823615074158","0.6102823615074158","0.2482590228319168","0.2482590228319168","0.2482590228319168","0.002384352032095194","0.002384352032095194","0.002384352032095194"
"24","0.020352859050035477","0.020352859050035477","0.020352859050035477","0.5529794692993164","0.5529794692993164","0.5529794692993164","0.9405115246772766","0.9405115246772766","0.9405115246772766","1.2016630172729492","1.2016630172729492","1.2016630172729492","1.1426023244857788","1.1426023244857788","1.1426023244857788","0.7589267492294312","0.7589267492294312","0.7589267492294312","0.344735324382782","0.344735324382782","0.344735324382782","0.005400793626904488","0.005400793626904488","0.005400793626904488"
"26","0.026753319427371025","0.026753319427371025","0.026753319427371025","0.5312852263450623","0.5312852263450623","0.5312852263450623","0.9462342262268066","0.9462342262268066","0.9462342262268066","1.220873475074768","1.220873475074768","1.220873475074768","1.13767671585083","1.13767671585083","1.13767671585083","0.8429985046386719","0.8429985046386719","0.8429985046386719","0.3857741355895996","0.3857741355895996","0.3857741355895996","0.014409727416932583","0.014409727416932583","0.014409727416932583"
"28","0.03590194880962372","0.03590194880962372","0.03590194880962372","0.5567688941955566","0.5567688941955566","0.5567688941955566","0.9249662160873413","0.9249662160873413","0.9249662160873413","1.1872491836547852","1.1872491836547852","1.1872491836547852","1.177767038345337","1.177767038345337","1.177767038345337","0.828198254108429","0.828198254108429","0.828198254108429","0.36062729358673096","0.36062729358673096","0.36062729358673096","0.021923255175352097","0.021923255175352097","0.021923255175352097"
"30","0.04591454565525055","0.04591454565525055","0.04591454565525055","0.6312933564186096","0.6312933564186096","0.6312933564186096","0.9848358631134033","0.9848358631134033","0.9848358631134033","1.1766421794891357","1.1766421794891357","1.1766421794891357","1.144707202911377","1.144707202911377","1.144707202911377","0.8998996615409851","0.8998996615409851","0.8998996615409851","0.4061136543750763","0.4061136543750763","0.4061136543750763","0.040146954357624054","0.040146954357624054","0.040146954357624054"
"32","0.06811541318893433","0.06811541318893433","0.06811541318893433","0.6799766421318054","0.6799766421318054","0.6799766421318054","0.9680353403091431","0.9680353403091431","0.9680353403091431","1.1665301322937012","1.1665301322937012","1.1665301322937012","1.1758792400360107","1.1758792400360107","1.1758792400360107","0.9282187819480896","0.9282187819480896","0.9282187819480896","0.4404281973838806","0.4404281973838806","0.4404281973838806","0.0677068680524826","0.0677068680524826","0.0677068680524826"
"34","0.08802058547735214","0.08802058547735214","0.08802058547735214","0.6489047408103943","0.6489047408103943","0.6489047408103943","0.9884546995162964","0.9884546995162964","0.9884546995162964","1.2113444805145264","1.2113444805145264","1.2113444805145264","1.1758694648742676","1.1758694648742676","1.1758694648742676","0.9460443258285522","0.9460443258285522","0.9460443258285522","0.452740341424942","0.452740341424942","0.452740341424942","0.11134064197540283","0.11134064197540283","0.11134064197540283"
"36","0.1248403936624527","0.1248403936624527","0.1248403936624527","0.7100921273231506","0.7100921273231506","0.7100921273231506","1.0083062648773193","1.0083062648773193","1.0083062648773193","1.2015266418457031","1.2015266418457031","1.2015266418457031","1.1407957077026367","1.1407957077026367","1.1407957077026367","0.8941748738288879","0.8941748738288879","0.8941748738288879","0.42131495475769043","0.42131495475769043","0.42131495475769043","0.11888904124498367","0.11888904124498367","0.11888904124498367"
"38","0.13614390790462494","0.13614390790462494","0.13614390790462494","0.7042948603630066","0.7042948603630066","0.7042948603630066","1.028885841369629","1.028885841369629","1.028885841369629","1.2337641716003418","1.2337641716003418","1.2337641716003418","1.2074182033538818","1.2074182033538818","1.2074182033538818","0.9435378313064575","0.9435378313064575","0.9435378313064575","0.43825796246528625","0.43825796246528625","0.43825796246528625","0.1331622302532196","0.1331622302532196","0.1331622302532196"
"40","0.20843642950057983","0.20843642950057983","0.20843642950057983","0.7777862548828125","0.7777862548828125","0.7777862548828125","1.0187253952026367","1.0187253952026367","1.0187253952026367","1.1775684356689453","1.1775684356689453","1.1775684356689453","1.153785228729248","1.153785228729248","1.153785228729248","0.9006171226501465","0.9006171226501465","0.9006171226501465","0.4448642134666443","0.4448642134666443","0.4448642134666443","0.16851632297039032","0.16851632297039032","0.16851632297039032"
"42","0.24571621417999268","0.24571621417999268","0.24571621417999268","0.8005779385566711","0.8005779385566711","0.8005779385566711","1.037266492843628","1.037266492843628","1.037266492843628","1.164000391960144","1.164000391960144","1.164000391960144","1.151199221611023","1.151199221611023","1.151199221611023","0.9151297211647034","0.9151297211647034","0.9151297211647034","0.46920645236968994","0.46920645236968994","0.46920645236968994","0.19456642866134644","0.19456642866134644","0.19456642866134644"
"44","0.2648593485355377","0.2648593485355377","0.2648593485355377","0.7922763824462891","0.7922763824462891","0.7922763824462891","1.065698266029358","1.065698266029358","1.065698266029358","1.207564115524292","1.207564115524292","1.207564115524292","1.141767978668213","1.141767978668213","1.141767978668213","0.9769747853279114","0.9769747853279114","0.9769747853279114","0.46991705894470215","0.46991705894470215","0.46991705894470215","0.21684543788433075","0.21684543788433075","0.21684543788433075"
"46","0.28719407320022583","0.28719407320022583","0.28719407320022583","0.8349690437316895","0.8349690437316895","0.8349690437316895","1.0834599733352661","1.0834599733352661","1.0834599733352661","1.153469204902649","1.153469204902649","1.153469204902649","1.1489841938018799","1.1489841938018799","1.1489841938018799","0.9864254593849182","0.9864254593849182","0.9864254593849182","0.5003485083580017","0.5003485083580017","0.5003485083580017","0.2348502278327942","0.2348502278327942","0.2348502278327942"
"48","0.26856017112731934","0.26856017112731934","0.26856017112731934","0.8755457401275635","0.8755457401275635","0.8755457401275635","1.0857129096984863","1.0857129096984863","1.0857129096984863","1.1275299787521362","1.1275299787521362","1.1275299787521362","1.1329598426818848","1.1329598426818848","1.1329598426818848","0.9981682896614075","0.9981682896614075","0.9981682896614075","0.49881237745285034","0.49881237745285034","0.49881237745285034","0.2456856071949005","0.2456856071949005","0.2456856071949005"
"50","0.28678804636001587","0.28678804636001587","0.28678804636001587","0.8514532446861267","0.8514532446861267","0.8514532446861267","1.044593095779419","1.044593095779419","1.044593095779419","1.1637020111083984","1.1637020111083984","1.1637020111083984","1.1654671430587769","1.1654671430587769","1.1654671430587769","0.9535261988639832","0.9535261988639832","0.9535261988639832","0.5158094167709351","0.5158094167709351","0.5158094167709351","0.2636229991912842","0.2636229991912842","0.2636229991912842"
"52","0.3480253219604492","0.3480253219604492","0.3480253219604492","0.928373396396637","0.928373396396637","0.928373396396637","1.0752867460250854","1.0752867460250854","1.0752867460250854","1.1678318977355957","1.1678318977355957","1.1678318977355957","1.1660963296890259","1.1660963296890259","1.1660963296890259","1.0325517654418945","1.0325517654418945","1.0325517654418945","0.5366436839103699","0.5366436839103699","0.5366436839103699","0.3054201900959015","0.3054201900959015","0.3054201900959015"
"54","0.3279299736022949","0.3279299736022949","0.3279299736022949","0.8818569779396057","0.8818569779396057","0.8818569779396057","1.066697359085083","1.066697359085083","1.066697359085083","1.1629934310913086","1.1629934310913086","1.1629934310913086","1.1721489429473877","1.1721489429473877","1.1721489429473877","1.0296725034713745","1.0296725034713745","1.0296725034713745","0.5422248840332031","0.5422248840332031","0.5422248840332031","0.31283774971961975","0.31283774971961975","0.31283774971961975"
