"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_z__MAX"
"0","0.12499752640724182","0.12499752640724182","0.12499752640724182","0.1309717446565628","0.1309717446565628","0.1309717446565628","0.15351875126361847","0.15351875126361847","0.15351875126361847","0.21833908557891846","0.21833908557891846","0.21833908557891846","0.18129053711891174","0.18129053711891174","0.18129053711891174","0.15305127203464508","0.15305127203464508","0.15305127203464508","0.13722848892211914","0.13722848892211914","0.13722848892211914","0.1334482729434967","0.1334482729434967","0.1334482729434967"
"2","0.06570646166801453","0.06570646166801453","0.06570646166801453","0.08495886623859406","0.08495886623859406","0.08495886623859406","0.12659743428230286","0.12659743428230286","0.12659743428230286","0.8527987003326416","0.8527987003326416","0.8527987003326416","0.34661003947257996","0.34661003947257996","0.34661003947257996","0.13631214201450348","0.13631214201450348","0.13631214201450348","0.10368604212999344","0.10368604212999344","0.10368604212999344","0.09069515764713287","0.09069515764713287","0.09069515764713287"
"4","0.04066214710474014","0.04066214710474014","0.04066214710474014","0.05902515724301338","0.05902515724301338","0.05902515724301338","0.10825112462043762","0.10825112462043762","0.10825112462043762","7.913132667541504","7.913132667541504","7.913132667541504","1.4543918371200562","1.4543918371200562","1.4543918371200562","0.13329575955867767","0.13329575955867767","0.13329575955867767","0.07869791984558105","0.07869791984558105","0.07869791984558105","0.06281927973031998","0.06281927973031998","0.06281927973031998"
"6","0.03857453912496567","0.03857453912496567","0.03857453912496567","0.055306851863861084","0.055306851863861084","0.055306851863861084","0.21084746718406677","0.21084746718406677","0.21084746718406677","7.873328685760498","7.873328685760498","7.873328685760498","0.7593487501144409","0.7593487501144409","0.7593487501144409","1.081352949142456","1.081352949142456","1.081352949142456","0.07621157169342041","0.07621157169342041","0.07621157169342041","0.050982121378183365","0.050982121378183365","0.050982121378183365"
"8","0.08134030550718307","0.08134030550718307","0.08134030550718307","0.18456973135471344","0.18456973135471344","0.18456973135471344","1.6394853591918945","1.6394853591918945","1.6394853591918945","1.1923837661743164","1.1923837661743164","1.1923837661743164","1.3905125856399536","1.3905125856399536","1.3905125856399536","1.6160744428634644","1.6160744428634644","1.6160744428634644","0.18536409735679626","0.18536409735679626","0.18536409735679626","0.05563700199127197","0.05563700199127197","0.05563700199127197"
"10","0.16289594769477844","0.16289594769477844","0.16289594769477844","1.0550439357757568","1.0550439357757568","1.0550439357757568","1.977469563484192","1.977469563484192","1.977469563484192","1.8525046110153198","1.8525046110153198","1.8525046110153198","1.82907235622406","1.82907235622406","1.82907235622406","1.732846736907959","1.732846736907959","1.732846736907959","1.0508966445922852","1.0508966445922852","1.0508966445922852","0.10755343735218048","0.10755343735218048","0.10755343735218048"
"12","0.3175894618034363","0.3175894618034363","0.3175894618034363","1.6576969623565674","1.6576969623565674","1.6576969623565674","2.002066135406494","2.002066135406494","2.002066135406494","1.831634521484375","1.831634521484375","1.831634521484375","1.8336460590362549","1.8336460590362549","1.8336460590362549","1.7450501918792725","1.7450501918792725","1.7450501918792725","1.5187554359436035","1.5187554359436035","1.5187554359436035","0.1823662519454956","0.1823662519454956","0.1823662519454956"
"14","0.46778589487075806","0.46778589487075806","0.46778589487075806","1.8242615461349487","1.8242615461349487","1.8242615461349487","1.8760919570922852","1.8760919570922852","1.8760919570922852","2.0036723613739014","2.0036723613739014","2.0036723613739014","8.044257164001465","8.044257164001465","8.044257164001465","1.7665150165557861","1.7665150165557861","1.7665150165557861","7.690898895263672","7.690898895263672","7.690898895263672","0.28288939595222473","0.28288939595222473","0.28288939595222473"
"16","0.7058625221252441","0.7058625221252441","0.7058625221252441","1.6547918319702148","1.6547918319702148","1.6547918319702148","8.057753562927246","8.057753562927246","8.057753562927246","8.258459091186523","8.258459091186523","8.258459091186523","1.772141695022583","1.772141695022583","1.772141695022583","1.664397954940796","1.664397954940796","1.664397954940796","1.5473785400390625","1.5473785400390625","1.5473785400390625","0.3801647424697876","0.3801647424697876","0.3801647424697876"
"18","0.6262133121490479","0.6262133121490479","0.6262133121490479","1.7698554992675781","1.7698554992675781","1.7698554992675781","1.693429946899414","1.693429946899414","1.693429946899414","1.7445355653762817","1.7445355653762817","1.7445355653762817","1.8622772693634033","1.8622772693634033","1.8622772693634033","2.0273611545562744","2.0273611545562744","2.0273611545562744","1.8281558752059937","1.8281558752059937","1.8281558752059937","0.5577297210693359","0.5577297210693359","0.5577297210693359"
"20","0.9997449517250061","0.9997449517250061","0.9997449517250061","1.7824687957763672","1.7824687957763672","1.7824687957763672","1.9751763343811035","1.9751763343811035","1.9751763343811035","1.9132884740829468","1.9132884740829468","1.9132884740829468","1.7843873500823975","1.7843873500823975","1.7843873500823975","1.6623752117156982","1.6623752117156982","1.6623752117156982","1.5920943021774292","1.5920943021774292","1.5920943021774292","0.6323193311691284","0.6323193311691284","0.6323193311691284"
"22","1.1155880689620972","1.1155880689620972","1.1155880689620972","1.7486321926116943","1.7486321926116943","1.7486321926116943","1.8621392250061035","1.8621392250061035","1.8621392250061035","1.9510438442230225","1.9510438442230225","1.9510438442230225","1.8399029970169067","1.8399029970169067","1.8399029970169067","1.7688602209091187","1.7688602209091187","1.7688602209091187","1.6517951488494873","1.6517951488494873","1.6517951488494873","0.7965244650840759","0.7965244650840759","0.7965244650840759"
"24","1.1497818231582642","1.1497818231582642","1.1497818231582642","1.5908079147338867","1.5908079147338867","1.5908079147338867","1.545459508895874","1.545459508895874","1.545459508895874","1.5418226718902588","1.5418226718902588","1.5418226718902588","1.7505383491516113","1.7505383491516113","1.7505383491516113","1.874722957611084","1.874722957611084","1.874722957611084","1.718179702758789","1.718179702758789","1.718179702758789","0.8483567237854004","0.8483567237854004","0.8483567237854004"
"26","0.8769446611404419","0.8769446611404419","0.8769446611404419","1.8405851125717163","1.8405851125717163","1.8405851125717163","1.9078246355056763","1.9078246355056763","1.9078246355056763","1.948789358139038","1.948789358139038","1.948789358139038","1.8010895252227783","1.8010895252227783","1.8010895252227783","1.7966976165771484","1.7966976165771484","1.7966976165771484","1.6764837503433228","1.6764837503433228","1.6764837503433228","0.9738460779190063","0.9738460779190063","0.9738460779190063"
"28","1.0811847448349","1.0811847448349","1.0811847448349","1.6401036977767944","1.6401036977767944","1.6401036977767944","1.8487895727157593","1.8487895727157593","1.8487895727157593","1.8433871269226074","1.8433871269226074","1.8433871269226074","1.8189231157302856","1.8189231157302856","1.8189231157302856","1.8260760307312012","1.8260760307312012","1.8260760307312012","1.797908067703247","1.797908067703247","1.797908067703247","0.9654619693756104","0.9654619693756104","0.9654619693756104"
"30","1.17976713180542","1.17976713180542","1.17976713180542","1.4711902141571045","1.4711902141571045","1.4711902141571045","1.6933400630950928","1.6933400630950928","1.6933400630950928","1.804410696029663","1.804410696029663","1.804410696029663","1.6895642280578613","1.6895642280578613","1.6895642280578613","1.7751550674438477","1.7751550674438477","1.7751550674438477","1.618667721748352","1.618667721748352","1.618667721748352","0.9079999327659607","0.9079999327659607","0.9079999327659607"
"32","1.2468233108520508","1.2468233108520508","1.2468233108520508","1.52928626537323","1.52928626537323","1.52928626537323","1.886570930480957","1.886570930480957","1.886570930480957","1.7937934398651123","1.7937934398651123","1.7937934398651123","1.6685396432876587","1.6685396432876587","1.6685396432876587","1.6920151710510254","1.6920151710510254","1.6920151710510254","1.550972819328308","1.550972819328308","1.550972819328308","0.8787918090820312","0.8787918090820312","0.8787918090820312"
"34","1.3456628322601318","1.3456628322601318","1.3456628322601318","7.798416614532471","7.798416614532471","7.798416614532471","1.7556722164154053","1.7556722164154053","1.7556722164154053","1.675723671913147","1.675723671913147","1.675723671913147","1.7227771282196045","1.7227771282196045","1.7227771282196045","1.8951716423034668","1.8951716423034668","1.8951716423034668","1.7671871185302734","1.7671871185302734","1.7671871185302734","1.1439299583435059","1.1439299583435059","1.1439299583435059"
"36","1.2532962560653687","1.2532962560653687","1.2532962560653687","1.8708454370498657","1.8708454370498657","1.8708454370498657","1.842767357826233","1.842767357826233","1.842767357826233","1.8871219158172607","1.8871219158172607","1.8871219158172607","1.667074203491211","1.667074203491211","1.667074203491211","1.5476371049880981","1.5476371049880981","1.5476371049880981","1.4541049003601074","1.4541049003601074","1.4541049003601074","0.7757700085639954","0.7757700085639954","0.7757700085639954"
"38","1.411013126373291","1.411013126373291","1.411013126373291","0.19403491914272308","0.19403491914272308","0.19403491914272308","0.9953417778015137","0.9953417778015137","0.9953417778015137","1.6770448684692383","1.6770448684692383","1.6770448684692383","1.6594343185424805","1.6594343185424805","1.6594343185424805","1.657547950744629","1.657547950744629","1.657547950744629","1.7437844276428223","1.7437844276428223","1.7437844276428223","1.0111687183380127","1.0111687183380127","1.0111687183380127"
"40","1.7573204040527344","1.7573204040527344","1.7573204040527344","1.7641569375991821","1.7641569375991821","1.7641569375991821","2.192822217941284","2.192822217941284","2.192822217941284","1.7850890159606934","1.7850890159606934","1.7850890159606934","1.6442742347717285","1.6442742347717285","1.6442742347717285","1.5361554622650146","1.5361554622650146","1.5361554622650146","1.5509917736053467","1.5509917736053467","1.5509917736053467","1.2491424083709717","1.2491424083709717","1.2491424083709717"
