"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - decomposition_loss_s","VOWELS_FILTER_b5_dual_waveform_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - decomposition_loss_s","VOWELS_FILTER_b1_dual_waveform_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - decomposition_loss_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - decomposition_loss_s","VOWELS_FILTER_b0_dual_waveform_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_s__MAX"
"0","5.677310943603516","5.677310943603516","5.677310943603516","5.40713357925415","5.40713357925415","5.40713357925415","4.482354640960693","4.482354640960693","4.482354640960693","1.651353120803833","1.651353120803833","1.651353120803833","2.248979091644287","2.248979091644287","2.248979091644287","5.683969497680664","5.683969497680664","5.683969497680664","6.221219062805176","6.221219062805176","6.221219062805176","6.407443046569824","6.407443046569824","6.407443046569824"
"2","7.239039897918701","7.239039897918701","7.239039897918701","6.471240043640137","6.471240043640137","6.471240043640137","5.014993667602539","5.014993667602539","5.014993667602539","1.0707356929779053","1.0707356929779053","1.0707356929779053","1.586595058441162","1.586595058441162","1.586595058441162","6.040907382965088","6.040907382965088","6.040907382965088","7.389357566833496","7.389357566833496","7.389357566833496","7.970300197601318","7.970300197601318","7.970300197601318"
"4","7.812203884124756","7.812203884124756","7.812203884124756","6.69544792175293","6.69544792175293","6.69544792175293","4.689426422119141","4.689426422119141","4.689426422119141","1.0248920917510986","1.0248920917510986","1.0248920917510986","0.923192024230957","0.923192024230957","0.923192024230957","5.459938049316406","5.459938049316406","5.459938049316406","7.6333208084106445","7.6333208084106445","7.6333208084106445","8.581694602966309","8.581694602966309","8.581694602966309"
"6","8.13829517364502","8.13829517364502","8.13829517364502","6.639576435089111","6.639576435089111","6.639576435089111","3.929818868637085","3.929818868637085","3.929818868637085","1.0335816144943237","1.0335816144943237","1.0335816144943237","0.9354646801948547","0.9354646801948547","0.9354646801948547","3.7310631275177","3.7310631275177","3.7310631275177","7.4481635093688965","7.4481635093688965","7.4481635093688965","8.917428970336914","8.917428970336914","8.917428970336914"
"8","8.2542724609375","8.2542724609375","8.2542724609375","6.28641939163208","6.28641939163208","6.28641939163208","2.70880126953125","2.70880126953125","2.70880126953125","0.8688822984695435","0.8688822984695435","0.8688822984695435","0.8520066738128662","0.8520066738128662","0.8520066738128662","2.6780850887298584","2.6780850887298584","2.6780850887298584","6.998898983001709","6.998898983001709","6.998898983001709","9.257857322692871","9.257857322692871","9.257857322692871"
"10","7.989824295043945","7.989824295043945","7.989824295043945","5.5757222175598145","5.5757222175598145","5.5757222175598145","1.9209927320480347","1.9209927320480347","1.9209927320480347","0.8052884936332703","0.8052884936332703","0.8052884936332703","0.8096152544021606","0.8096152544021606","0.8096152544021606","2.0456156730651855","2.0456156730651855","2.0456156730651855","5.976059913635254","5.976059913635254","5.976059913635254","9.129951477050781","9.129951477050781","9.129951477050781"
"12","7.877608299255371","7.877608299255371","7.877608299255371","4.976807117462158","4.976807117462158","4.976807117462158","1.6565091609954834","1.6565091609954834","1.6565091609954834","0.836114764213562","0.836114764213562","0.836114764213562","0.8811497688293457","0.8811497688293457","0.8811497688293457","1.915906548500061","1.915906548500061","1.915906548500061","5.078575134277344","5.078575134277344","5.078575134277344","8.911849975585938","8.911849975585938","8.911849975585938"
"14","7.466423511505127","7.466423511505127","7.466423511505127","3.943763017654419","3.943763017654419","3.943763017654419","1.4700558185577393","1.4700558185577393","1.4700558185577393","0.8677002191543579","0.8677002191543579","0.8677002191543579","0.8793025016784668","0.8793025016784668","0.8793025016784668","1.652692198753357","1.652692198753357","1.652692198753357","4.228410243988037","4.228410243988037","4.228410243988037","8.750749588012695","8.750749588012695","8.750749588012695"
"16","7.116243362426758","7.116243362426758","7.116243362426758","3.042191505432129","3.042191505432129","3.042191505432129","1.2568488121032715","1.2568488121032715","1.2568488121032715","0.8021052479743958","0.8021052479743958","0.8021052479743958","0.805924654006958","0.805924654006958","0.805924654006958","1.5599803924560547","1.5599803924560547","1.5599803924560547","3.5075550079345703","3.5075550079345703","3.5075550079345703","8.311767578125","8.311767578125","8.311767578125"
"18","6.450779914855957","6.450779914855957","6.450779914855957","2.231626510620117","2.231626510620117","2.231626510620117","1.0706819295883179","1.0706819295883179","1.0706819295883179","0.7835229635238647","0.7835229635238647","0.7835229635238647","0.7814210653305054","0.7814210653305054","0.7814210653305054","1.4523162841796875","1.4523162841796875","1.4523162841796875","2.7973146438598633","2.7973146438598633","2.7973146438598633","7.706797122955322","7.706797122955322","7.706797122955322"
