"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - decomposition_loss_z","VOWELS_FILTER_b5_dual_waveform_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - decomposition_loss_z","VOWELS_FILTER_b1_dual_waveform_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - decomposition_loss_z","VOWELS_FILTER_b0.1_dual_waveform_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - decomposition_loss_z","VOWELS_FILTER_b0_dual_waveform_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - decomposition_loss_z__MAX"
"0","3.2823030948638916","3.2823030948638916","3.2823030948638916","3.2397377490997314","3.2397377490997314","3.2397377490997314","3.088731288909912","3.088731288909912","3.088731288909912","2.680785655975342","2.680785655975342","2.680785655975342","2.864694595336914","2.864694595336914","2.864694595336914","3.1062655448913574","3.1062655448913574","3.1062655448913574","3.2374470233917236","3.2374470233917236","3.2374470233917236","3.268738269805908","3.268738269805908","3.268738269805908"
"2","3.9009578227996826","3.9009578227996826","3.9009578227996826","3.648526668548584","3.648526668548584","3.648526668548584","3.2635910511016846","3.2635910511016846","3.2635910511016846","1.4228830337524414","1.4228830337524414","1.4228830337524414","2.111143112182617","2.111143112182617","2.111143112182617","3.2202765941619873","3.2202765941619873","3.2202765941619873","3.522082805633545","3.522082805633545","3.522082805633545","3.673189401626587","3.673189401626587","3.673189401626587"
"4","4.379279136657715","4.379279136657715","4.379279136657715","4.002873420715332","4.002873420715332","4.002873420715332","3.400820016860962","3.400820016860962","3.400820016860962","3.3530499935150146","3.3530499935150146","3.3530499935150146","1.2669934034347534","1.2669934034347534","1.2669934034347534","3.14045786857605","3.14045786857605","3.14045786857605","3.8201026916503906","3.8201026916503906","3.8201026916503906","4.107125759124756","4.107125759124756","4.107125759124756"
"6","4.344161033630371","4.344161033630371","4.344161033630371","3.984159469604492","3.984159469604492","3.984159469604492","2.5381789207458496","2.5381789207458496","2.5381789207458496","3.3537843227386475","3.3537843227386475","3.3537843227386475","1.4355968236923218","1.4355968236923218","1.4355968236923218","1.0603841543197632","1.0603841543197632","1.0603841543197632","3.691675901412964","3.691675901412964","3.691675901412964","4.279103755950928","4.279103755950928","4.279103755950928"
"8","3.458374500274658","3.458374500274658","3.458374500274658","2.615978717803955","2.615978717803955","2.615978717803955","1.0882527828216553","1.0882527828216553","1.0882527828216553","1.2630958557128906","1.2630958557128906","1.2630958557128906","1.1194648742675781","1.1194648742675781","1.1194648742675781","0.8903061151504517","0.8903061151504517","0.8903061151504517","2.469028949737549","2.469028949737549","2.469028949737549","3.9729409217834473","3.9729409217834473","3.9729409217834473"
"10","2.77282452583313","2.77282452583313","2.77282452583313","1.2876194715499878","1.2876194715499878","1.2876194715499878","1.0426089763641357","1.0426089763641357","1.0426089763641357","1.1238933801651","1.1238933801651","1.1238933801651","1.1108590364456177","1.1108590364456177","1.1108590364456177","0.8695859909057617","0.8695859909057617","0.8695859909057617","1.0784915685653687","1.0784915685653687","1.0784915685653687","3.0709314346313477","3.0709314346313477","3.0709314346313477"
"12","2.146267890930176","2.146267890930176","2.146267890930176","1.0916469097137451","1.0916469097137451","1.0916469097137451","0.9387989044189453","0.9387989044189453","0.9387989044189453","1.0576043128967285","1.0576043128967285","1.0576043128967285","0.9746043682098389","0.9746043682098389","0.9746043682098389","0.8637309670448303","0.8637309670448303","0.8637309670448303","0.9095142483711243","0.9095142483711243","0.9095142483711243","2.4790472984313965","2.4790472984313965","2.4790472984313965"
"14","1.8690675497055054","1.8690675497055054","1.8690675497055054","1.0505632162094116","1.0505632162094116","1.0505632162094116","0.9075434803962708","0.9075434803962708","0.9075434803962708","1.0400108098983765","1.0400108098983765","1.0400108098983765","3.012007474899292","3.012007474899292","3.012007474899292","0.8563038110733032","0.8563038110733032","0.8563038110733032","2.9411206245422363","2.9411206245422363","2.9411206245422363","2.1219370365142822","2.1219370365142822","2.1219370365142822"
"16","1.6007698774337769","1.6007698774337769","1.6007698774337769","1.0642658472061157","1.0642658472061157","1.0642658472061157","3.0376768112182617","3.0376768112182617","3.0376768112182617","3.108816623687744","3.108816623687744","3.108816623687744","0.9187096357345581","0.9187096357345581","0.9187096357345581","0.8596885800361633","0.8596885800361633","0.8596885800361633","0.8852866291999817","0.8852866291999817","0.8852866291999817","1.836803913116455","1.836803913116455","1.836803913116455"
"18","1.612717866897583","1.612717866897583","1.612717866897583","0.9248113632202148","0.9248113632202148","0.9248113632202148","0.8889178037643433","0.8889178037643433","0.8889178037643433","0.9453164339065552","0.9453164339065552","0.9453164339065552","0.8362283706665039","0.8362283706665039","0.8362283706665039","0.8300595283508301","0.8300595283508301","0.8300595283508301","0.8142915964126587","0.8142915964126587","0.8142915964126587","1.5773773193359375","1.5773773193359375","1.5773773193359375"
