"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_negative_s","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_negative_s","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_negative_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_negative_s","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s__MAX"
"0","0.004111412912607193","0.004111412912607193","0.004111412912607193","0.005452835466712713","0.005452835466712713","0.005452835466712713","0.014154097065329552","0.014154097065329552","0.014154097065329552","0.3214835822582245","0.3214835822582245","0.3214835822582245","0.15676242113113403","0.15676242113113403","0.15676242113113403","0.005082381423562765","0.005082381423562765","0.005082381423562765","0.003097464796155691","0.003097464796155691","0.003097464796155691","0.002651937073096633","0.002651937073096633","0.002651937073096633"
"2","0.0008450754685327411","0.0008450754685327411","0.0008450754685327411","0.0018685308750718832","0.0018685308750718832","0.0018685308750718832","0.008547715842723846","0.008547715842723846","0.008547715842723846","0.5154889822006226","0.5154889822006226","0.5154889822006226","0.312801718711853","0.312801718711853","0.312801718711853","0.0027231439016759396","0.0027231439016759396","0.0027231439016759396","0.0006740146200172603","0.0006740146200172603","0.0006740146200172603","0.0003694633487612009","0.0003694633487612009","0.0003694633487612009"
"4","0.0005089282058179379","0.0005089282058179379","0.0005089282058179379","0.0016699510160833597","0.0016699510160833597","0.0016699510160833597","0.014042489230632782","0.014042489230632782","0.014042489230632782","0.5532374382019043","0.5532374382019043","0.5532374382019043","0.552905261516571","0.552905261516571","0.552905261516571","0.005413790699094534","0.005413790699094534","0.005413790699094534","0.0005461302935145795","0.0005461302935145795","0.0005461302935145795","0.0001998628576984629","0.0001998628576984629","0.0001998628576984629"
"6","0.00036126779741607606","0.00036126779741607606","0.00036126779741607606","0.0018406882882118225","0.0018406882882118225","0.0018406882882118225","0.03229174017906189","0.03229174017906189","0.03229174017906189","0.5609495043754578","0.5609495043754578","0.5609495043754578","0.5774141550064087","0.5774141550064087","0.5774141550064087","0.036752358078956604","0.036752358078956604","0.036752358078956604","0.0007500493666157126","0.0007500493666157126","0.0007500493666157126","0.00016201831749640405","0.00016201831749640405","0.00016201831749640405"
"8","0.0003581891942303628","0.0003581891942303628","0.0003581891942303628","0.002970809582620859","0.002970809582620859","0.002970809582620859","0.10435771942138672","0.10435771942138672","0.10435771942138672","0.61506587266922","0.61506587266922","0.61506587266922","0.6052169799804688","0.6052169799804688","0.6052169799804688","0.10168592631816864","0.10168592631816864","0.10168592631816864","0.00126469018869102","0.00126469018869102","0.00126469018869102","0.00011117756366729736","0.00011117756366729736","0.00011117756366729736"
"10","0.0005609752843156457","0.0005609752843156457","0.0005609752843156457","0.007465839385986328","0.007465839385986328","0.007465839385986328","0.246853768825531","0.246853768825531","0.246853768825531","0.6562519669532776","0.6562519669532776","0.6562519669532776","0.6448749303817749","0.6448749303817749","0.6448749303817749","0.19288024306297302","0.19288024306297302","0.19288024306297302","0.0035691335797309875","0.0035691335797309875","0.0035691335797309875","0.00013066759856883436","0.00013066759856883436","0.00013066759856883436"
"12","0.0006307373405434191","0.0006307373405434191","0.0006307373405434191","0.014633509330451488","0.014633509330451488","0.014633509330451488","0.3078886866569519","0.3078886866569519","0.3078886866569519","0.6551178097724915","0.6551178097724915","0.6551178097724915","0.616418719291687","0.616418719291687","0.616418719291687","0.2405310571193695","0.2405310571193695","0.2405310571193695","0.009432658553123474","0.009432658553123474","0.009432658553123474","0.00016928811965044588","0.00016928811965044588","0.00016928811965044588"
"14","0.0010065868264064193","0.0010065868264064193","0.0010065868264064193","0.04046555608510971","0.04046555608510971","0.04046555608510971","0.36327236890792847","0.36327236890792847","0.36327236890792847","0.6441186666488647","0.6441186666488647","0.6441186666488647","0.6181589365005493","0.6181589365005493","0.6181589365005493","0.2962619662284851","0.2962619662284851","0.2962619662284851","0.021310169249773026","0.021310169249773026","0.021310169249773026","0.00021098300931043923","0.00021098300931043923","0.00021098300931043923"
"16","0.0013936543837189674","0.0013936543837189674","0.0013936543837189674","0.08908724784851074","0.08908724784851074","0.08908724784851074","0.421560138463974","0.421560138463974","0.421560138463974","0.6685627698898315","0.6685627698898315","0.6685627698898315","0.6529435515403748","0.6529435515403748","0.6529435515403748","0.3358413577079773","0.3358413577079773","0.3358413577079773","0.0454375296831131","0.0454375296831131","0.0454375296831131","0.00035444810055196285","0.00035444810055196285","0.00035444810055196285"
"18","0.0030044938903301954","0.0030044938903301954","0.0030044938903301954","0.17390629649162292","0.17390629649162292","0.17390629649162292","0.48362526297569275","0.48362526297569275","0.48362526297569275","0.6725870966911316","0.6725870966911316","0.6725870966911316","0.6718035936355591","0.6718035936355591","0.6718035936355591","0.35732364654541016","0.35732364654541016","0.35732364654541016","0.08843936771154404","0.08843936771154404","0.08843936771154404","0.0006401182617992163","0.0006401182617992163","0.0006401182617992163"
