"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_negative_z","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_negative_z","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_negative_z","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_negative_z","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_z__MAX"
"0","0.03927409648895264","0.03927409648895264","0.03927409648895264","0.04110400378704071","0.04110400378704071","0.04110400378704071","0.04849765822291374","0.04849765822291374","0.04849765822291374","0.07756054401397705","0.07756054401397705","0.07756054401397705","0.061187222599983215","0.061187222599983215","0.061187222599983215","0.04764888435602188","0.04764888435602188","0.04764888435602188","0.041524358093738556","0.041524358093738556","0.041524358093738556","0.04017428308725357","0.04017428308725357","0.04017428308725357"
"2","0.020687151700258255","0.020687151700258255","0.020687151700258255","0.026805832982063293","0.026805832982063293","0.026805832982063293","0.040047332644462585","0.040047332644462585","0.040047332644462585","0.3479190468788147","0.3479190468788147","0.3479190468788147","0.14348666369915009","0.14348666369915009","0.14348666369915009","0.04200802370905876","0.04200802370905876","0.04200802370905876","0.03067619726061821","0.03067619726061821","0.03067619726061821","0.02626064233481884","0.02626064233481884","0.02626064233481884"
"4","0.0127232251688838","0.0127232251688838","0.0127232251688838","0.018660252913832664","0.018660252913832664","0.018660252913832664","0.034698158502578735","0.034698158502578735","0.034698158502578735","0.5443087816238403","0.5443087816238403","0.5443087816238403","0.5310396552085876","0.5310396552085876","0.5310396552085876","0.045527391135692596","0.045527391135692596","0.045527391135692596","0.022691577672958374","0.022691577672958374","0.022691577672958374","0.01695697009563446","0.01695697009563446","0.01695697009563446"
"6","0.013167768716812134","0.013167768716812134","0.013167768716812134","0.01897030882537365","0.01897030882537365","0.01897030882537365","0.0862303078174591","0.0862303078174591","0.0862303078174591","0.527121901512146","0.527121901512146","0.527121901512146","0.31771719455718994","0.31771719455718994","0.31771719455718994","0.5339933633804321","0.5339933633804321","0.5339933633804321","0.02587151899933815","0.02587151899933815","0.02587151899933815","0.014202545396983624","0.014202545396983624","0.014202545396983624"
"8","0.03254605829715729","0.03254605829715729","0.03254605829715729","0.07849156856536865","0.07849156856536865","0.07849156856536865","0.6047519445419312","0.6047519445419312","0.6047519445419312","0.44132980704307556","0.44132980704307556","0.44132980704307556","0.5367791652679443","0.5367791652679443","0.5367791652679443","0.7300031185150146","0.7300031185150146","0.7300031185150146","0.09397169947624207","0.09397169947624207","0.09397169947624207","0.019426992163062096","0.019426992163062096","0.019426992163062096"
"10","0.06654505431652069","0.06654505431652069","0.06654505431652069","0.39588069915771484","0.39588069915771484","0.39588069915771484","0.7028449773788452","0.7028449773788452","0.7028449773788452","0.6289496421813965","0.6289496421813965","0.6289496421813965","0.6417630910873413","0.6417630910873413","0.6417630910873413","0.7637211680412292","0.7637211680412292","0.7637211680412292","0.5127254724502563","0.5127254724502563","0.5127254724502563","0.048832714557647705","0.048832714557647705","0.048832714557647705"
"12","0.13065864145755768","0.13065864145755768","0.13065864145755768","0.588452160358429","0.588452160358429","0.588452160358429","0.7718708515167236","0.7718708515167236","0.7718708515167236","0.6579355001449585","0.6579355001449585","0.6579355001449585","0.7133549451828003","0.7133549451828003","0.7133549451828003","0.7747703790664673","0.7747703790664673","0.7747703790664673","0.7024911642074585","0.7024911642074585","0.7024911642074585","0.09073479473590851","0.09073479473590851","0.09073479473590851"
"14","0.18127724528312683","0.18127724528312683","0.18127724528312683","0.6506018042564392","0.6506018042564392","0.6506018042564392","0.7631813883781433","0.7631813883781433","0.7631813883781433","0.708206295967102","0.708206295967102","0.708206295967102","0.7391731142997742","0.7391731142997742","0.7391731142997742","0.7788114547729492","0.7788114547729492","0.7788114547729492","0.7057706117630005","0.7057706117630005","0.7057706117630005","0.13460257649421692","0.13460257649421692","0.13460257649421692"
"16","0.2582054138183594","0.2582054138183594","0.2582054138183594","0.615498423576355","0.615498423576355","0.615498423576355","0.7238068580627441","0.7238068580627441","0.7238068580627441","0.7207669019699097","0.7207669019699097","0.7207669019699097","0.7364482879638672","0.7364482879638672","0.7364482879638672","0.755385160446167","0.755385160446167","0.755385160446167","0.7166041135787964","0.7166041135787964","0.7166041135787964","0.1849091500043869","0.1849091500043869","0.1849091500043869"
"18","0.2491684854030609","0.2491684854030609","0.2491684854030609","0.7230436205863953","0.7230436205863953","0.7230436205863953","0.7386029958724976","0.7386029958724976","0.7386029958724976","0.7144672274589539","0.7144672274589539","0.7144672274589539","0.8152419924736023","0.8152419924736023","0.8152419924736023","0.8666696548461914","0.8666696548461914","0.8666696548461914","0.8280674815177917","0.8280674815177917","0.8280674815177917","0.2543516755104065","0.2543516755104065","0.2543516755104065"
"20","0.36882877349853516","0.36882877349853516","0.36882877349853516","0.6815926432609558","0.6815926432609558","0.6815926432609558","0.7977851629257202","0.7977851629257202","0.7977851629257202","0.7777533531188965","0.7777533531188965","0.7777533531188965","0.7971329092979431","0.7971329092979431","0.7971329092979431","0.7859453558921814","0.7859453558921814","0.7859453558921814","0.7500583529472351","0.7500583529472351","0.7500583529472351","0.28455984592437744","0.28455984592437744","0.28455984592437744"
"22","0.40688014030456543","0.40688014030456543","0.40688014030456543","0.666684091091156","0.666684091091156","0.666684091091156","0.7772034406661987","0.7772034406661987","0.7772034406661987","0.7683444023132324","0.7683444023132324","0.7683444023132324","0.8443279266357422","0.8443279266357422","0.8443279266357422","0.8125409483909607","0.8125409483909607","0.8125409483909607","0.7698273658752441","0.7698273658752441","0.7698273658752441","0.36249643564224243","0.36249643564224243","0.36249643564224243"
"24","0.44383978843688965","0.44383978843688965","0.44383978843688965","0.6548491716384888","0.6548491716384888","0.6548491716384888","0.7166246175765991","0.7166246175765991","0.7166246175765991","0.7155495882034302","0.7155495882034302","0.7155495882034302","0.8390278816223145","0.8390278816223145","0.8390278816223145","0.8512372970581055","0.8512372970581055","0.8512372970581055","0.7876520156860352","0.7876520156860352","0.7876520156860352","0.3909847140312195","0.3909847140312195","0.3909847140312195"
"26","0.3800702691078186","0.3800702691078186","0.3800702691078186","0.7332922220230103","0.7332922220230103","0.7332922220230103","0.7828370928764343","0.7828370928764343","0.7828370928764343","0.6851193904876709","0.6851193904876709","0.6851193904876709","0.8509935736656189","0.8509935736656189","0.8509935736656189","0.8246025443077087","0.8246025443077087","0.8246025443077087","0.7795619368553162","0.7795619368553162","0.7795619368553162","0.43616852164268494","0.43616852164268494","0.43616852164268494"
"28","0.43437498807907104","0.43437498807907104","0.43437498807907104","0.699145495891571","0.699145495891571","0.699145495891571","0.7899194955825806","0.7899194955825806","0.7899194955825806","0.7781956195831299","0.7781956195831299","0.7781956195831299","0.8856456279754639","0.8856456279754639","0.8856456279754639","0.815363347530365","0.815363347530365","0.815363347530365","0.7945687770843506","0.7945687770843506","0.7945687770843506","0.45125484466552734","0.45125484466552734","0.45125484466552734"
"30","0.5053293704986572","0.5053293704986572","0.5053293704986572","0.6465370059013367","0.6465370059013367","0.6465370059013367","0.7652614116668701","0.7652614116668701","0.7652614116668701","0.7888886332511902","0.7888886332511902","0.7888886332511902","0.8585677146911621","0.8585677146911621","0.8585677146911621","0.8037382960319519","0.8037382960319519","0.8037382960319519","0.7498619556427002","0.7498619556427002","0.7498619556427002","0.4246804118156433","0.4246804118156433","0.4246804118156433"
