"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_s","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_s__MAX"
"0","0.005077938549220562","0.005077938549220562","0.005077938549220562","0.006710786372423172","0.006710786372423172","0.006710786372423172","0.01769542135298252","0.01769542135298252","0.01769542135298252","0.26385778188705444","0.26385778188705444","0.26385778188705444","0.06602002680301666","0.06602002680301666","0.06602002680301666","0.007185400929301977","0.007185400929301977","0.007185400929301977","0.0042967163026332855","0.0042967163026332855","0.0042967163026332855","0.0037041245959699154","0.0037041245959699154","0.0037041245959699154"
"2","0.0008965306915342808","0.0008965306915342808","0.0008965306915342808","0.0018938600551337004","0.0018938600551337004","0.0018938600551337004","0.008322304114699364","0.008322304114699364","0.008322304114699364","0.28488457202911377","0.28488457202911377","0.28488457202911377","0.13796931505203247","0.13796931505203247","0.13796931505203247","0.004140693694353104","0.004140693694353104","0.004140693694353104","0.0014734817668795586","0.0014734817668795586","0.0014734817668795586","0.0009773962665349245","0.0009773962665349245","0.0009773962665349245"
"4","0.00045945154852233827","0.00045945154852233827","0.00045945154852233827","0.001332955784164369","0.001332955784164369","0.001332955784164369","0.010187245905399323","0.010187245905399323","0.010187245905399323","0.2914130687713623","0.2914130687713623","0.2914130687713623","0.2518824338912964","0.2518824338912964","0.2518824338912964","0.003791432362049818","0.003791432362049818","0.003791432362049818","0.0007807596120983362","0.0007807596120983362","0.0007807596120983362","0.0004382343904580921","0.0004382343904580921","0.0004382343904580921"
"6","0.000341953185852617","0.000341953185852617","0.000341953185852617","0.0015201442874968052","0.0015201442874968052","0.0015201442874968052","0.02360272966325283","0.02360272966325283","0.02360272966325283","0.29762154817581177","0.29762154817581177","0.29762154817581177","0.27211469411849976","0.27211469411849976","0.27211469411849976","0.016093216836452484","0.016093216836452484","0.016093216836452484","0.0007323349709622562","0.0007323349709622562","0.0007323349709622562","0.00031079616746865213","0.00031079616746865213","0.00031079616746865213"
"8","0.0003177164471708238","0.0003177164471708238","0.0003177164471708238","0.0022762937005609274","0.0022762937005609274","0.0022762937005609274","0.07298417389392853","0.07298417389392853","0.07298417389392853","0.28887176513671875","0.28887176513671875","0.28887176513671875","0.2771325707435608","0.2771325707435608","0.2771325707435608","0.03900226578116417","0.03900226578116417","0.03900226578116417","0.0007236110395751894","0.0007236110395751894","0.0007236110395751894","0.00017423839017283171","0.00017423839017283171","0.00017423839017283171"
"10","0.0004290868528187275","0.0004290868528187275","0.0004290868528187275","0.005102573893964291","0.005102573893964291","0.005102573893964291","0.1668853610754013","0.1668853610754013","0.1668853610754013","0.3131498694419861","0.3131498694419861","0.3131498694419861","0.300704687833786","0.300704687833786","0.300704687833786","0.07583402097225189","0.07583402097225189","0.07583402097225189","0.0014470343012362719","0.0014470343012362719","0.0014470343012362719","0.0001281331351492554","0.0001281331351492554","0.0001281331351492554"
"12","0.0005289316759444773","0.0005289316759444773","0.0005289316759444773","0.010673469863831997","0.010673469863831997","0.010673469863831997","0.15426073968410492","0.15426073968410492","0.15426073968410492","0.33117014169692993","0.33117014169692993","0.33117014169692993","0.3001691699028015","0.3001691699028015","0.3001691699028015","0.10769036412239075","0.10769036412239075","0.10769036412239075","0.0039467159658670425","0.0039467159658670425","0.0039467159658670425","0.00013588604633696377","0.00013588604633696377","0.00013588604633696377"
"14","0.0007645322475582361","0.0007645322475582361","0.0007645322475582361","0.0272834412753582","0.0272834412753582","0.0272834412753582","0.1752326935529709","0.1752326935529709","0.1752326935529709","0.32559555768966675","0.32559555768966675","0.32559555768966675","0.299007773399353","0.299007773399353","0.299007773399353","0.12952201068401337","0.12952201068401337","0.12952201068401337","0.00797930359840393","0.00797930359840393","0.00797930359840393","0.00012209490523673594","0.00012209490523673594","0.00012209490523673594"
"16","0.001170699018985033","0.001170699018985033","0.001170699018985033","0.06034731864929199","0.06034731864929199","0.06034731864929199","0.194610595703125","0.194610595703125","0.194610595703125","0.3262275755405426","0.3262275755405426","0.3262275755405426","0.30805352330207825","0.30805352330207825","0.30805352330207825","0.1431368887424469","0.1431368887424469","0.1431368887424469","0.015952493995428085","0.015952493995428085","0.015952493995428085","0.0001563213882036507","0.0001563213882036507","0.0001563213882036507"
"18","0.002134965732693672","0.002134965732693672","0.002134965732693672","0.10857276618480682","0.10857276618480682","0.10857276618480682","0.22006839513778687","0.22006839513778687","0.22006839513778687","0.3182377815246582","0.3182377815246582","0.3182377815246582","0.3139292597770691","0.3139292597770691","0.3139292597770691","0.15710213780403137","0.15710213780403137","0.15710213780403137","0.03168971836566925","0.03168971836566925","0.03168971836566925","0.00025327326147817075","0.00025327326147817075","0.00025327326147817075"
