"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_z","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_z","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_z","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_z","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_positive_z__MAX"
"0","0.040805116295814514","0.040805116295814514","0.040805116295814514","0.04271147772669792","0.04271147772669792","0.04271147772669792","0.049863748252391815","0.049863748252391815","0.049863748252391815","0.07000897824764252","0.07000897824764252","0.07000897824764252","0.05860019847750664","0.05860019847750664","0.05860019847750664","0.04971599206328392","0.04971599206328392","0.04971599206328392","0.04469902440905571","0.04469902440905571","0.04469902440905571","0.04349597916007042","0.04349597916007042","0.04349597916007042"
"2","0.02166375145316124","0.02166375145316124","0.02166375145316124","0.02792174741625786","0.02792174741625786","0.02792174741625786","0.04131689667701721","0.04131689667701721","0.04131689667701721","0.23966377973556519","0.23966377973556519","0.23966377973556519","0.10836005210876465","0.10836005210876465","0.10836005210876465","0.04441168159246445","0.04441168159246445","0.04441168159246445","0.0339682474732399","0.0339682474732399","0.0339682474732399","0.029776636511087418","0.029776636511087418","0.029776636511087418"
"4","0.013462498784065247","0.013462498784065247","0.013462498784065247","0.01948244497179985","0.01948244497179985","0.01948244497179985","0.03543753921985626","0.03543753921985626","0.03543753921985626","0.3981148898601532","0.3981148898601532","0.3981148898601532","0.34656673669815063","0.34656673669815063","0.34656673669815063","0.043449319899082184","0.043449319899082184","0.043449319899082184","0.025887174531817436","0.025887174531817436","0.025887174531817436","0.020717930048704147","0.020717930048704147","0.020717930048704147"
"6","0.012775763869285583","0.012775763869285583","0.012775763869285583","0.018266471102833748","0.018266471102833748","0.018266471102833748","0.06778568774461746","0.06778568774461746","0.06778568774461746","0.4051564931869507","0.4051564931869507","0.4051564931869507","0.22100216150283813","0.22100216150283813","0.22100216150283813","0.292302668094635","0.292302668094635","0.292302668094635","0.025080977007746696","0.025080977007746696","0.025080977007746696","0.016849078238010406","0.016849078238010406","0.016849078238010406"
"8","0.026746433228254318","0.026746433228254318","0.026746433228254318","0.05964870750904083","0.05964870750904083","0.05964870750904083","0.4046383500099182","0.4046383500099182","0.4046383500099182","0.3195992410182953","0.3195992410182953","0.3195992410182953","0.36409085988998413","0.36409085988998413","0.36409085988998413","0.3998529613018036","0.3998529613018036","0.3998529613018036","0.05980312079191208","0.05980312079191208","0.05980312079191208","0.01837160997092724","0.01837160997092724","0.01837160997092724"
"10","0.05283845588564873","0.05283845588564873","0.05283845588564873","0.29581934213638306","0.29581934213638306","0.29581934213638306","0.4522416591644287","0.4522416591644287","0.4522416591644287","0.4376927316188812","0.4376927316188812","0.4376927316188812","0.4230090379714966","0.4230090379714966","0.4230090379714966","0.4185976982116699","0.4185976982116699","0.4185976982116699","0.285863995552063","0.285863995552063","0.285863995552063","0.03519642725586891","0.03519642725586891","0.03519642725586891"
"12","0.10037147998809814","0.10037147998809814","0.10037147998809814","0.4221883714199066","0.4221883714199066","0.4221883714199066","0.47670412063598633","0.47670412063598633","0.47670412063598633","0.44564956426620483","0.44564956426620483","0.44564956426620483","0.4433012008666992","0.4433012008666992","0.4433012008666992","0.4247087836265564","0.4247087836265564","0.4247087836265564","0.3805079162120819","0.3805079162120819","0.3805079162120819","0.05893086642026901","0.05893086642026901","0.05893086642026901"
"14","0.14421604573726654","0.14421604573726654","0.14421604573726654","0.44927865266799927","0.44927865266799927","0.44927865266799927","0.4566774070262909","0.4566774070262909","0.4566774070262909","0.4662153720855713","0.4662153720855713","0.4662153720855713","0.45547789335250854","0.45547789335250854","0.45547789335250854","0.42726048827171326","0.42726048827171326","0.42726048827171326","0.3898966312408447","0.3898966312408447","0.3898966312408447","0.08985655754804611","0.08985655754804611","0.08985655754804611"
"16","0.20902997255325317","0.20902997255325317","0.20902997255325317","0.4138866364955902","0.4138866364955902","0.4138866364955902","0.4511846899986267","0.4511846899986267","0.4511846899986267","0.4779924750328064","0.4779924750328064","0.4779924750328064","0.42929622530937195","0.42929622530937195","0.42929622530937195","0.4105320870876312","0.4105320870876312","0.4105320870876312","0.3858303427696228","0.3858303427696228","0.3858303427696228","0.11878077685832977","0.11878077685832977","0.11878077685832977"
"18","0.1879696249961853","0.1879696249961853","0.1879696249961853","0.43817657232284546","0.43817657232284546","0.43817657232284546","0.4228487014770508","0.4228487014770508","0.4228487014770508","0.43017515540122986","0.43017515540122986","0.43017515540122986","0.45431384444236755","0.45431384444236755","0.45431384444236755","0.4743911623954773","0.4743911623954773","0.4743911623954773","0.4419706463813782","0.4419706463813782","0.4419706463813782","0.16917800903320312","0.16917800903320312","0.16917800903320312"
