"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - loss","VOWELS_FILTER_b5_dual_waveform_bs16 - loss__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - loss__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - loss","VOWELS_FILTER_b1_dual_waveform_bs16 - loss__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - loss__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - loss","VOWELS_FILTER_b0.1_dual_waveform_bs16 - loss__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - loss__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - loss","VOWELS_FILTER_b0_dual_waveform_bs16 - loss__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - loss__MAX","VOWELS_FILTER_b0_DUAL_bs16 - loss","VOWELS_FILTER_b0_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b0_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - loss","VOWELS_FILTER_b0.1_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b1_DUAL_bs16 - loss","VOWELS_FILTER_b1_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b1_DUAL_bs16 - loss__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - loss","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - loss__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - loss__MAX"
"0","323.0732421875","323.0732421875","323.0732421875","82.41548156738281","82.41548156738281","82.41548156738281","24.44820213317871","24.44820213317871","24.44820213317871","4.332139015197754","4.332139015197754","4.332139015197754","5.113673686981201","5.113673686981201","5.113673686981201","22.132593154907227","22.132593154907227","22.132593154907227","79.37565612792969","79.37565612792969","79.37565612792969","326.5203552246094","326.5203552246094","326.5203552246094"
"2","91.14698791503906","91.14698791503906","91.14698791503906","35.79950714111328","35.79950714111328","35.79950714111328","14.704431533813477","14.704431533813477","14.704431533813477","2.4936187267303467","2.4936187267303467","2.4936187267303467","3.6977381706237793","3.6977381706237793","3.6977381706237793","14.595651626586914","14.595651626586914","14.595651626586914","38.44015121459961","38.44015121459961","38.44015121459961","120.16987609863281","120.16987609863281","120.16987609863281"
"4","45.05741882324219","45.05741882324219","45.05741882324219","22.286884307861328","22.286884307861328","22.286884307861328","11.660075187683105","11.660075187683105","11.660075187683105","4.377942085266113","4.377942085266113","4.377942085266113","2.190185546875","2.190185546875","2.190185546875","12.101149559020996","12.101149559020996","12.101149559020996","24.488384246826172","24.488384246826172","24.488384246826172","55.799072265625","55.799072265625","55.799072265625"
"6","31.321300506591797","31.321300506591797","31.321300506591797","16.639690399169922","16.639690399169922","16.639690399169922","9.117508888244629","9.117508888244629","9.117508888244629","4.387365818023682","4.387365818023682","4.387365818023682","2.3710615634918213","2.3710615634918213","2.3710615634918213","7.553825378417969","7.553825378417969","7.553825378417969","19.28535270690918","19.28535270690918","19.28535270690918","46.604190826416016","46.604190826416016","46.604190826416016"
"8","28.209989547729492","28.209989547729492","28.209989547729492","12.754345893859863","12.754345893859863","12.754345893859863","5.403023719787598","5.403023719787598","5.403023719787598","2.1319780349731445","2.1319780349731445","2.1319780349731445","1.9714715480804443","1.9714715480804443","1.9714715480804443","5.213640213012695","5.213640213012695","5.213640213012695","14.279983520507812","14.279983520507812","14.279983520507812","27.92548370361328","27.92548370361328","27.92548370361328"
"10","25.545936584472656","25.545936584472656","25.545936584472656","10.34042739868164","10.34042739868164","10.34042739868164","3.9644453525543213","3.9644453525543213","3.9644453525543213","1.9291818141937256","1.9291818141937256","1.9291818141937256","1.9204742908477783","1.9204742908477783","1.9204742908477783","4.331091403961182","4.331091403961182","4.331091403961182","12.305374145507812","12.305374145507812","12.305374145507812","26.275043487548828","26.275043487548828","26.275043487548828"
"12","17.08946990966797","17.08946990966797","17.08946990966797","8.94407844543457","8.94407844543457","8.94407844543457","3.493804931640625","3.493804931640625","3.493804931640625","1.8937190771102905","1.8937190771102905","1.8937190771102905","1.8557541370391846","1.8557541370391846","1.8557541370391846","3.9619696140289307","3.9619696140289307","3.9619696140289307","11.794628143310547","11.794628143310547","11.794628143310547","28.499244689941406","28.499244689941406","28.499244689941406"
"14","23.452131271362305","23.452131271362305","23.452131271362305","8.083818435668945","8.083818435668945","8.083818435668945","3.0567221641540527","3.0567221641540527","3.0567221641540527","1.9077110290527344","1.9077110290527344","1.9077110290527344","3.891309976577759","3.891309976577759","3.891309976577759","3.1388473510742188","3.1388473510742188","3.1388473510742188","11.860906600952148","11.860906600952148","11.860906600952148","22.731111526489258","22.731111526489258","22.731111526489258"
"16","23.959918975830078","23.959918975830078","23.959918975830078","6.803126335144043","6.803126335144043","6.803126335144043","4.8969926834106445","4.8969926834106445","4.8969926834106445","3.910921812057495","3.910921812057495","3.910921812057495","1.7246342897415161","1.7246342897415161","1.7246342897415161","2.8714563846588135","2.8714563846588135","2.8714563846588135","7.867684841156006","7.867684841156006","7.867684841156006","23.775306701660156","23.775306701660156","23.775306701660156"
"18","22.912033081054688","22.912033081054688","22.912033081054688","6.329349517822266","6.329349517822266","6.329349517822266","2.2360169887542725","2.2360169887542725","2.2360169887542725","1.72883939743042","1.72883939743042","1.72883939743042","1.6176494359970093","1.6176494359970093","1.6176494359970093","2.711925506591797","2.711925506591797","2.711925506591797","10.65640640258789","10.65640640258789","10.65640640258789","28.317157745361328","28.317157745361328","28.317157745361328"
