"Step","VOWELS_FILTER_b40_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b40_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b20_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_s__MAX"
"0","973.0194702148438","973.0194702148438","973.0194702148438","486.7489318847656","486.7489318847656","486.7489318847656","243.66465759277344","243.66465759277344","243.66465759277344","0","0","0","8.062528610229492","8.062528610229492","8.062528610229492","28.70149040222168","28.70149040222168","28.70149040222168","122.12191772460938","122.12191772460938","122.12191772460938"
"2","198.0032958984375","198.0032958984375","198.0032958984375","99.38621520996094","99.38621520996094","99.38621520996094","49.97807693481445","49.97807693481445","49.97807693481445","0","0","0","1.6742926836013794","1.6742926836013794","1.6742926836013794","5.480450630187988","5.480450630187988","5.480450630187988","25.212154388427734","25.212154388427734","25.212154388427734"
"4","94.46453857421875","94.46453857421875","94.46453857421875","47.44529724121094","47.44529724121094","47.44529724121094","24.004995346069336","24.004995346069336","24.004995346069336","0","0","0","1.1505153179168701","1.1505153179168701","1.1505153179168701","2.8575778007507324","2.8575778007507324","2.8575778007507324","12.318163871765137","12.318163871765137","12.318163871765137"
"6","145.33734130859375","145.33734130859375","145.33734130859375","74.65869140625","74.65869140625","74.65869140625","38.28981399536133","38.28981399536133","38.28981399536133","0","0","0","1.2059440612792969","1.2059440612792969","1.2059440612792969","2.8274803161621094","2.8274803161621094","2.8274803161621094","18.779069900512695","18.779069900512695","18.779069900512695"
"8","171.08213806152344","171.08213806152344","171.08213806152344","93.41102600097656","93.41102600097656","93.41102600097656","43.43461990356445","43.43461990356445","43.43461990356445","0","0","0","0.7431864738464355","0.7431864738464355","0.7431864738464355","2.245572090148926","2.245572090148926","2.245572090148926","8.921697616577148","8.921697616577148","8.921697616577148"
"10","177.81961059570312","177.81961059570312","177.81961059570312","88.25064086914062","88.25064086914062","88.25064086914062","47.3208122253418","47.3208122253418","47.3208122253418","0","0","0","0.8388468623161316","0.8388468623161316","0.8388468623161316","3.6414413452148438","3.6414413452148438","3.6414413452148438","10.930374145507812","10.930374145507812","10.930374145507812"
"12","172.25384521484375","172.25384521484375","172.25384521484375","88.25749206542969","88.25749206542969","88.25749206542969","41.757137298583984","41.757137298583984","41.757137298583984","0","0","0","0.7974055409431458","0.7974055409431458","0.7974055409431458","4.834053039550781","4.834053039550781","4.834053039550781","15.07905101776123","15.07905101776123","15.07905101776123"
"14","195.95098876953125","195.95098876953125","195.95098876953125","91.80921173095703","91.80921173095703","91.80921173095703","46.62367630004883","46.62367630004883","46.62367630004883","0","0","0","0.3704744577407837","0.3704744577407837","0.3704744577407837","3.9996862411499023","3.9996862411499023","3.9996862411499023","10.20820426940918","10.20820426940918","10.20820426940918"
"16","168.7704315185547","168.7704315185547","168.7704315185547","88.10460662841797","88.10460662841797","88.10460662841797","44.33247375488281","44.33247375488281","44.33247375488281","0","0","0","0.25664806365966797","0.25664806365966797","0.25664806365966797","2.81362247467041","2.81362247467041","2.81362247467041","12.364506721496582","12.364506721496582","12.364506721496582"
"18","159.71005249023438","159.71005249023438","159.71005249023438","88.19711303710938","88.19711303710938","88.19711303710938","42.73691940307617","42.73691940307617","42.73691940307617","0","0","0","0.29983431100845337","0.29983431100845337","0.29983431100845337","6.670811653137207","6.670811653137207","6.670811653137207","17.850339889526367","17.850339889526367","17.850339889526367"
"20","182.6170654296875","182.6170654296875","182.6170654296875","80.64293670654297","80.64293670654297","80.64293670654297","41.546104431152344","41.546104431152344","41.546104431152344","0","0","0","0.47340452671051025","0.47340452671051025","0.47340452671051025","2.7582736015319824","2.7582736015319824","2.7582736015319824","8.431315422058105","8.431315422058105","8.431315422058105"
"22","169.33059692382812","169.33059692382812","169.33059692382812","85.51705169677734","85.51705169677734","85.51705169677734","34.135162353515625","34.135162353515625","34.135162353515625","0","0","0","0.19944190979003906","0.19944190979003906","0.19944190979003906","2.6138038635253906","2.6138038635253906","2.6138038635253906","9.934290885925293","9.934290885925293","9.934290885925293"
"24","146.73757934570312","146.73757934570312","146.73757934570312","74.27293395996094","74.27293395996094","74.27293395996094","36.04549026489258","36.04549026489258","36.04549026489258","0","0","0","0.26799291372299194","0.26799291372299194","0.26799291372299194","3.1893670558929443","3.1893670558929443","3.1893670558929443","7.555201530456543","7.555201530456543","7.555201530456543"
"26","140.9453125","140.9453125","140.9453125","79.23454284667969","79.23454284667969","79.23454284667969","31.750648498535156","31.750648498535156","31.750648498535156","0","0","0","0.18700093030929565","0.18700093030929565","0.18700093030929565","2.687856674194336","2.687856674194336","2.687856674194336","8.526102066040039","8.526102066040039","8.526102066040039"
"28","157.03260803222656","157.03260803222656","157.03260803222656","83.26774597167969","83.26774597167969","83.26774597167969","27.968347549438477","27.968347549438477","27.968347549438477","0","0","0","0.4228970408439636","0.4228970408439636","0.4228970408439636","3.3730149269104004","3.3730149269104004","3.3730149269104004","9.227007865905762","9.227007865905762","9.227007865905762"
"30","128.73565673828125","128.73565673828125","128.73565673828125","69.0442886352539","69.0442886352539","69.0442886352539","30.379592895507812","30.379592895507812","30.379592895507812","0","0","0","0.48663556575775146","0.48663556575775146","0.48663556575775146","3.1492292881011963","3.1492292881011963","3.1492292881011963","11.865735054016113","11.865735054016113","11.865735054016113"
"32","136.56710815429688","136.56710815429688","136.56710815429688","77.64959716796875","77.64959716796875","77.64959716796875","26.217729568481445","26.217729568481445","26.217729568481445","0","0","0","0.3234347701072693","0.3234347701072693","0.3234347701072693","2.7753233909606934","2.7753233909606934","2.7753233909606934","16.42064666748047","16.42064666748047","16.42064666748047"
"34","147.1846160888672","147.1846160888672","147.1846160888672","71.37906646728516","71.37906646728516","71.37906646728516","27.013212203979492","27.013212203979492","27.013212203979492","0","0","0","0.45257359743118286","0.45257359743118286","0.45257359743118286","2.0320205688476562","2.0320205688476562","2.0320205688476562","11.033162117004395","11.033162117004395","11.033162117004395"
