"Step","VOWELS_FILTER_b40_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b40_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b20_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_z__MAX"
"0","1557.6441650390625","1557.6441650390625","1557.6441650390625","778.83984375","778.83984375","778.83984375","389.4296875","389.4296875","389.4296875","0","0","0","5.279829502105713","5.279829502105713","5.279829502105713","41.21549606323242","41.21549606323242","41.21549606323242","194.72225952148438","194.72225952148438","194.72225952148438"
"2","663.991943359375","663.991943359375","663.991943359375","332.1941833496094","332.1941833496094","332.1941833496094","166.25570678710938","166.25570678710938","166.25570678710938","0","0","0","3.660175323486328","3.660175323486328","3.660175323486328","22.048259735107422","22.048259735107422","22.048259735107422","83.31423950195312","83.31423950195312","83.31423950195312"
"4","243.02125549316406","243.02125549316406","243.02125549316406","121.94512176513672","121.94512176513672","121.94512176513672","61.18994903564453","61.18994903564453","61.18994903564453","0","0","0","2.35023832321167","2.35023832321167","2.35023832321167","10.177384376525879","10.177384376525879","10.177384376525879","30.79208755493164","30.79208755493164","30.79208755493164"
"6","114.00809478759766","114.00809478759766","114.00809478759766","57.060455322265625","57.060455322265625","57.060455322265625","28.802001953125","28.802001953125","28.802001953125","0","0","0","1.5564340353012085","1.5564340353012085","1.5564340353012085","5.318032264709473","5.318032264709473","5.318032264709473","14.62858772277832","14.62858772277832","14.62858772277832"
"8","43.44845199584961","43.44845199584961","43.44845199584961","21.851320266723633","21.851320266723633","21.851320266723633","11.087082862854004","11.087082862854004","11.087082862854004","0","0","0","0.9020625352859497","0.9020625352859497","0.9020625352859497","2.566483497619629","2.566483497619629","2.566483497619629","5.772988319396973","5.772988319396973","5.772988319396973"
"10","22.044145584106445","22.044145584106445","22.044145584106445","11.137947082519531","11.137947082519531","11.137947082519531","5.821613311767578","5.821613311767578","5.821613311767578","0","0","0","0.5770427584648132","0.5770427584648132","0.5770427584648132","1.6093811988830566","1.6093811988830566","1.6093811988830566","3.143787384033203","3.143787384033203","3.143787384033203"
"12","11.837562561035156","11.837562561035156","11.837562561035156","6.127534866333008","6.127534866333008","6.127534866333008","3.348900318145752","3.348900318145752","3.348900318145752","0","0","0","0.3849264979362488","0.3849264979362488","0.3849264979362488","0.9724855422973633","0.9724855422973633","0.9724855422973633","2.02929425239563","2.02929425239563","2.02929425239563"
"14","7.9169392585754395","7.9169392585754395","7.9169392585754395","4.744048595428467","4.744048595428467","4.744048595428467","2.7906007766723633","2.7906007766723633","2.7906007766723633","0","0","0","0.2593768835067749","0.2593768835067749","0.2593768835067749","0.6916904449462891","0.6916904449462891","0.6916904449462891","1.6502212285995483","1.6502212285995483","1.6502212285995483"
"16","6.300288200378418","6.300288200378418","6.300288200378418","3.361719846725464","3.361719846725464","3.361719846725464","2.4028286933898926","2.4028286933898926","2.4028286933898926","0","0","0","0.1951393187046051","0.1951393187046051","0.1951393187046051","0.6612208485603333","0.6612208485603333","0.6612208485603333","1.2622300386428833","1.2622300386428833","1.2622300386428833"
"18","3.9454221725463867","3.9454221725463867","3.9454221725463867","2.731335163116455","2.731335163116455","2.731335163116455","1.8965065479278564","1.8965065479278564","1.8965065479278564","0","0","0","0.12971532344818115","0.12971532344818115","0.12971532344818115","0.3739883005619049","0.3739883005619049","0.3739883005619049","1.1826432943344116","1.1826432943344116","1.1826432943344116"
