"Step","VOWELS_FILTER_b40_DUAL_bs16 - loss","VOWELS_FILTER_b40_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b40_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b20_DUAL_bs16 - loss","VOWELS_FILTER_b20_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b20_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b10_DUAL_bs16 - loss","VOWELS_FILTER_b10_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b10_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b0_DUAL_bs16 - loss","VOWELS_FILTER_b0_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b0_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - loss","VOWELS_FILTER_b0.1_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b1_DUAL_bs16 - loss","VOWELS_FILTER_b1_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b1_DUAL_bs16 - loss__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - loss","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - loss__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - loss__MAX"
"0","2540.3505859375","2540.3505859375","2540.3505859375","1275.274169921875","1275.274169921875","1275.274169921875","642.776611328125","642.776611328125","642.776611328125","5.113673686981201","5.113673686981201","5.113673686981201","22.132593154907227","22.132593154907227","22.132593154907227","79.37565612792969","79.37565612792969","79.37565612792969","326.5203552246094","326.5203552246094","326.5203552246094"
"2","873.724609375","873.724609375","873.724609375","443.29754638671875","443.29754638671875","443.29754638671875","227.9264678955078","227.9264678955078","227.9264678955078","3.6977381706237793","3.6977381706237793","3.6977381706237793","14.595651626586914","14.595651626586914","14.595651626586914","38.44015121459961","38.44015121459961","38.44015121459961","120.16987609863281","120.16987609863281","120.16987609863281"
"4","350.43499755859375","350.43499755859375","350.43499755859375","182.30029296875","182.30029296875","182.30029296875","98.03204345703125","98.03204345703125","98.03204345703125","2.190185546875","2.190185546875","2.190185546875","12.101149559020996","12.101149559020996","12.101149559020996","24.488384246826172","24.488384246826172","24.488384246826172","55.799072265625","55.799072265625","55.799072265625"
"6","273.15631103515625","273.15631103515625","273.15631103515625","145.4538116455078","145.4538116455078","145.4538116455078","80.65231323242188","80.65231323242188","80.65231323242188","2.3710615634918213","2.3710615634918213","2.3710615634918213","7.553825378417969","7.553825378417969","7.553825378417969","19.28535270690918","19.28535270690918","19.28535270690918","46.604190826416016","46.604190826416016","46.604190826416016"
"8","229.32733154296875","229.32733154296875","229.32733154296875","129.87240600585938","129.87240600585938","129.87240600585938","68.69691467285156","68.69691467285156","68.69691467285156","1.9714715480804443","1.9714715480804443","1.9714715480804443","5.213640213012695","5.213640213012695","5.213640213012695","14.279983520507812","14.279983520507812","14.279983520507812","27.92548370361328","27.92548370361328","27.92548370361328"
"10","215.0844268798828","215.0844268798828","215.0844268798828","114.16046142578125","114.16046142578125","114.16046142578125","66.91001892089844","66.91001892089844","66.91001892089844","1.9204742908477783","1.9204742908477783","1.9204742908477783","4.331091403961182","4.331091403961182","4.331091403961182","12.305374145507812","12.305374145507812","12.305374145507812","26.275043487548828","26.275043487548828","26.275043487548828"
"12","199.37774658203125","199.37774658203125","199.37774658203125","108.7739486694336","108.7739486694336","108.7739486694336","58.136775970458984","58.136775970458984","58.136775970458984","1.8557541370391846","1.8557541370391846","1.8557541370391846","3.9619696140289307","3.9619696140289307","3.9619696140289307","11.794628143310547","11.794628143310547","11.794628143310547","28.499244689941406","28.499244689941406","28.499244689941406"
"14","219.27493286132812","219.27493286132812","219.27493286132812","110.81269836425781","110.81269836425781","110.81269836425781","62.20197677612305","62.20197677612305","62.20197677612305","3.891309976577759","3.891309976577759","3.891309976577759","3.1388473510742188","3.1388473510742188","3.1388473510742188","11.860906600952148","11.860906600952148","11.860906600952148","22.731111526489258","22.731111526489258","22.731111526489258"
"16","190.46083068847656","190.46083068847656","190.46083068847656","105.5864486694336","105.5864486694336","105.5864486694336","59.13832473754883","59.13832473754883","59.13832473754883","1.7246342897415161","1.7246342897415161","1.7246342897415161","2.8714563846588135","2.8714563846588135","2.8714563846588135","7.867684841156006","7.867684841156006","7.867684841156006","23.775306701660156","23.775306701660156","23.775306701660156"
"18","178.7989501953125","178.7989501953125","178.7989501953125","104.63780975341797","104.63780975341797","104.63780975341797","56.40620803833008","56.40620803833008","56.40620803833008","1.6176494359970093","1.6176494359970093","1.6176494359970093","2.711925506591797","2.711925506591797","2.711925506591797","10.65640640258789","10.65640640258789","10.65640640258789","28.317157745361328","28.317157745361328","28.317157745361328"
