"Step","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_negative_s","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_negative_s","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_negative_s","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_negative_s","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_negative_s","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_negative_s","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_negative_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_s__MAX"
"0","20.368335723876953","20.368335723876953","20.368335723876953","19.98242950439453","19.98242950439453","19.98242950439453","4.866279602050781","4.866279602050781","4.866279602050781","6.895185947418213","6.895185947418213","6.895185947418213","19.230030059814453","19.230030059814453","19.230030059814453","17.552631378173828","17.552631378173828","17.552631378173828","7.13528299331665","7.13528299331665","7.13528299331665","6.5384721755981445","6.5384721755981445","6.5384721755981445","17.095294952392578","17.095294952392578","17.095294952392578","19.413103103637695","19.413103103637695","19.413103103637695","19.83987045288086","19.83987045288086","19.83987045288086","18.65257453918457","18.65257453918457","18.65257453918457"
"2","24.556982040405273","24.556982040405273","24.556982040405273","23.5291748046875","23.5291748046875","23.5291748046875","1.9603177309036255","1.9603177309036255","1.9603177309036255","4.519881725311279","4.519881725311279","4.519881725311279","24.044334411621094","24.044334411621094","24.044334411621094","20.50965690612793","20.50965690612793","20.50965690612793","3.765709161758423","3.765709161758423","3.765709161758423","4.291584014892578","4.291584014892578","4.291584014892578","18.82083511352539","18.82083511352539","18.82083511352539","21.847585678100586","21.847585678100586","21.847585678100586","22.7861328125","22.7861328125","22.7861328125","22.16586685180664","22.16586685180664","22.16586685180664"
"4","26.68121910095215","26.68121910095215","26.68121910095215","25.66978645324707","25.66978645324707","25.66978645324707","1.4506700038909912","1.4506700038909912","1.4506700038909912","4.352348327636719","4.352348327636719","4.352348327636719","26.116973876953125","26.116973876953125","26.116973876953125","23.094743728637695","23.094743728637695","23.094743728637695","3.28601336479187","3.28601336479187","3.28601336479187","1.8770833015441895","1.8770833015441895","1.8770833015441895","19.887042999267578","19.887042999267578","19.887042999267578","22.71329116821289","22.71329116821289","22.71329116821289","23.353803634643555","23.353803634643555","23.353803634643555","22.89990997314453","22.89990997314453","22.89990997314453"
"6","28.649906158447266","28.649906158447266","28.649906158447266","27.45830726623535","27.45830726623535","27.45830726623535","1.2685928344726562","1.2685928344726562","1.2685928344726562","2.0898780822753906","2.0898780822753906","2.0898780822753906","27.532026290893555","27.532026290893555","27.532026290893555","24.526714324951172","24.526714324951172","24.526714324951172","1.7237262725830078","1.7237262725830078","1.7237262725830078","1.829255223274231","1.829255223274231","1.829255223274231","19.821720123291016","19.821720123291016","19.821720123291016","22.17140007019043","22.17140007019043","22.17140007019043","22.70633316040039","22.70633316040039","22.70633316040039","22.344528198242188","22.344528198242188","22.344528198242188"
"8","29.919443130493164","29.919443130493164","29.919443130493164","28.898487091064453","28.898487091064453","28.898487091064453","1.2381606101989746","1.2381606101989746","1.2381606101989746","2.1519200801849365","2.1519200801849365","2.1519200801849365","29.13677406311035","29.13677406311035","29.13677406311035","25.556880950927734","25.556880950927734","25.556880950927734","1.4980424642562866","1.4980424642562866","1.4980424642562866","1.5635262727737427","1.5635262727737427","1.5635262727737427","18.634679794311523","18.634679794311523","18.634679794311523","21.224098205566406","21.224098205566406","21.224098205566406","20.912527084350586","20.912527084350586","20.912527084350586","20.996623992919922","20.996623992919922","20.996623992919922"
"10","30.26142692565918","30.26142692565918","30.26142692565918","29.70226287841797","29.70226287841797","29.70226287841797","1.204285740852356","1.204285740852356","1.204285740852356","1.396119236946106","1.396119236946106","1.396119236946106","29.435129165649414","29.435129165649414","29.435129165649414","26.59471893310547","26.59471893310547","26.59471893310547","1.6472634077072144","1.6472634077072144","1.6472634077072144","1.3382562398910522","1.3382562398910522","1.3382562398910522","18.084228515625","18.084228515625","18.084228515625","19.217388153076172","19.217388153076172","19.217388153076172","17.277786254882812","17.277786254882812","17.277786254882812","17.925626754760742","17.925626754760742","17.925626754760742"
"12","30.727237701416016","30.727237701416016","30.727237701416016","29.871883392333984","29.871883392333984","29.871883392333984","1.1731770038604736","1.1731770038604736","1.1731770038604736","1.5390393733978271","1.5390393733978271","1.5390393733978271","29.31376838684082","29.31376838684082","29.31376838684082","26.635356903076172","26.635356903076172","26.635356903076172","1.3899075984954834","1.3899075984954834","1.3899075984954834","1.5418593883514404","1.5418593883514404","1.5418593883514404","16.166275024414062","16.166275024414062","16.166275024414062","15.36023235321045","15.36023235321045","15.36023235321045","14.48890495300293","14.48890495300293","14.48890495300293","15.225371360778809","15.225371360778809","15.225371360778809"
"14","30.667633056640625","30.667633056640625","30.667633056640625","29.89236068725586","29.89236068725586","29.89236068725586","1.1711901426315308","1.1711901426315308","1.1711901426315308","1.2976113557815552","1.2976113557815552","1.2976113557815552","29.70553970336914","29.70553970336914","29.70553970336914","26.839176177978516","26.839176177978516","26.839176177978516","1.4880074262619019","1.4880074262619019","1.4880074262619019","1.5168185234069824","1.5168185234069824","1.5168185234069824","14.429975509643555","14.429975509643555","14.429975509643555","11.944744110107422","11.944744110107422","11.944744110107422","12.59005355834961","12.59005355834961","12.59005355834961","12.662405014038086","12.662405014038086","12.662405014038086"
"16","29.899850845336914","29.899850845336914","29.899850845336914","29.025571823120117","29.025571823120117","29.025571823120117","1.14634108543396","1.14634108543396","1.14634108543396","1.4557044506072998","1.4557044506072998","1.4557044506072998","29.28717613220215","29.28717613220215","29.28717613220215","26.575910568237305","26.575910568237305","26.575910568237305","1.3860989809036255","1.3860989809036255","1.3860989809036255","1.2943366765975952","1.2943366765975952","1.2943366765975952","12.473440170288086","12.473440170288086","12.473440170288086","8.502439498901367","8.502439498901367","8.502439498901367","10.744806289672852","10.744806289672852","10.744806289672852","10.475257873535156","10.475257873535156","10.475257873535156"
"18","28.408918380737305","28.408918380737305","28.408918380737305","28.801191329956055","28.801191329956055","28.801191329956055","1.151267647743225","1.151267647743225","1.151267647743225","1.2221860885620117","1.2221860885620117","1.2221860885620117","28.131677627563477","28.131677627563477","28.131677627563477","26.082433700561523","26.082433700561523","26.082433700561523","1.5569905042648315","1.5569905042648315","1.5569905042648315","1.1998083591461182","1.1998083591461182","1.1998083591461182","10.203399658203125","10.203399658203125","10.203399658203125","7.90854549407959","7.90854549407959","7.90854549407959","8.680150985717773","8.680150985717773","8.680150985717773","8.295177459716797","8.295177459716797","8.295177459716797"
