"Step","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_negative_z","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_negative_z","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_negative_z","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_negative_z","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_negative_z","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_negative_z","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_negative_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_negative_z__MAX"
"0","9.494953155517578","9.494953155517578","9.494953155517578","9.362695693969727","9.362695693969727","9.362695693969727","8.291661262512207","8.291661262512207","8.291661262512207","8.34570026397705","8.34570026397705","8.34570026397705","9.675145149230957","9.675145149230957","9.675145149230957","9.416646003723145","9.416646003723145","9.416646003723145","7.949047088623047","7.949047088623047","7.949047088623047","8.413653373718262","8.413653373718262","8.413653373718262","9.325454711914062","9.325454711914062","9.325454711914062","9.266961097717285","9.266961097717285","9.266961097717285","9.400672912597656","9.400672912597656","9.400672912597656","9.57608413696289","9.57608413696289","9.57608413696289"
"2","10.894018173217773","10.894018173217773","10.894018173217773","10.754838943481445","10.754838943481445","10.754838943481445","2.825289249420166","2.825289249420166","2.825289249420166","2.633206605911255","2.633206605911255","2.633206605911255","10.943936347961426","10.943936347961426","10.943936347961426","10.797361373901367","10.797361373901367","10.797361373901367","3.087292432785034","3.087292432785034","3.087292432785034","5.987452507019043","5.987452507019043","5.987452507019043","10.35162353515625","10.35162353515625","10.35162353515625","10.34921646118164","10.34921646118164","10.34921646118164","10.419248580932617","10.419248580932617","10.419248580932617","10.463619232177734","10.463619232177734","10.463619232177734"
"4","12.365447998046875","12.365447998046875","12.365447998046875","12.43313980102539","12.43313980102539","12.43313980102539","1.8334604501724243","1.8334604501724243","1.8334604501724243","1.600365161895752","1.600365161895752","1.600365161895752","12.33499526977539","12.33499526977539","12.33499526977539","12.136972427368164","12.136972427368164","12.136972427368164","2.19022274017334","2.19022274017334","2.19022274017334","2.346968650817871","2.346968650817871","2.346968650817871","11.311946868896484","11.311946868896484","11.311946868896484","11.499378204345703","11.499378204345703","11.499378204345703","11.418425559997559","11.418425559997559","11.418425559997559","11.382757186889648","11.382757186889648","11.382757186889648"
"6","13.316568374633789","13.316568374633789","13.316568374633789","13.714470863342285","13.714470863342285","13.714470863342285","1.1033300161361694","1.1033300161361694","1.1033300161361694","1.7406089305877686","1.7406089305877686","1.7406089305877686","13.10444164276123","13.10444164276123","13.10444164276123","13.083781242370605","13.083781242370605","13.083781242370605","2.9232559204101562","2.9232559204101562","2.9232559204101562","3.547872543334961","3.547872543334961","3.547872543334961","11.033245086669922","11.033245086669922","11.033245086669922","11.508859634399414","11.508859634399414","11.508859634399414","10.818861961364746","10.818861961364746","10.818861961364746","10.999923706054688","10.999923706054688","10.999923706054688"
"8","13.076563835144043","13.076563835144043","13.076563835144043","12.799520492553711","12.799520492553711","12.799520492553711","1.689869999885559","1.689869999885559","1.689869999885559","1.1866405010223389","1.1866405010223389","1.1866405010223389","13.350738525390625","13.350738525390625","13.350738525390625","13.010812759399414","13.010812759399414","13.010812759399414","1.5211296081542969","1.5211296081542969","1.5211296081542969","1.968218207359314","1.968218207359314","1.968218207359314","7.609097957611084","7.609097957611084","7.609097957611084","7.396905422210693","7.396905422210693","7.396905422210693","5.338126182556152","5.338126182556152","5.338126182556152","7.222463607788086","7.222463607788086","7.222463607788086"
"10","10.677913665771484","10.677913665771484","10.677913665771484","10.20843505859375","10.20843505859375","10.20843505859375","0.9981331825256348","0.9981331825256348","0.9981331825256348","1.3484292030334473","1.3484292030334473","1.3484292030334473","11.817514419555664","11.817514419555664","11.817514419555664","10.61591911315918","10.61591911315918","10.61591911315918","1.2026156187057495","1.2026156187057495","1.2026156187057495","1.503838300704956","1.503838300704956","1.503838300704956","4.086827278137207","4.086827278137207","4.086827278137207","4.098046779632568","4.098046779632568","4.098046779632568","1.4306831359863281","1.4306831359863281","1.4306831359863281","2.184901475906372","2.184901475906372","2.184901475906372"
"12","8.867206573486328","8.867206573486328","8.867206573486328","8.895135879516602","8.895135879516602","8.895135879516602","1.0904695987701416","1.0904695987701416","1.0904695987701416","0.8561211824417114","0.8561211824417114","0.8561211824417114","9.693483352661133","9.693483352661133","9.693483352661133","9.053929328918457","9.053929328918457","9.053929328918457","1.4125418663024902","1.4125418663024902","1.4125418663024902","1.0904595851898193","1.0904595851898193","1.0904595851898193","1.8450260162353516","1.8450260162353516","1.8450260162353516","2.259998321533203","2.259998321533203","2.259998321533203","0.9754843711853027","0.9754843711853027","0.9754843711853027","1.2100601196289062","1.2100601196289062","1.2100601196289062"
"14","7.677696228027344","7.677696228027344","7.677696228027344","7.8962578773498535","7.8962578773498535","7.8962578773498535","0.6551825404167175","0.6551825404167175","0.6551825404167175","1.0129170417785645","1.0129170417785645","1.0129170417785645","8.530881881713867","8.530881881713867","8.530881881713867","7.986072063446045","7.986072063446045","7.986072063446045","2.135470390319824","2.135470390319824","2.135470390319824","0.9926693439483643","0.9926693439483643","0.9926693439483643","1.3533841371536255","1.3533841371536255","1.3533841371536255","1.82353937625885","1.82353937625885","1.82353937625885","0.8151872754096985","0.8151872754096985","0.8151872754096985","1.1333458423614502","1.1333458423614502","1.1333458423614502"
"16","6.84586763381958","6.84586763381958","6.84586763381958","7.169899940490723","7.169899940490723","7.169899940490723","0.7973992824554443","0.7973992824554443","0.7973992824554443","0.8140847086906433","0.8140847086906433","0.8140847086906433","7.762777328491211","7.762777328491211","7.762777328491211","7.297132968902588","7.297132968902588","7.297132968902588","1.2652291059494019","1.2652291059494019","1.2652291059494019","0.9842627644538879","0.9842627644538879","0.9842627644538879","1.1804465055465698","1.1804465055465698","1.1804465055465698","1.510179042816162","1.510179042816162","1.510179042816162","0.8820335865020752","0.8820335865020752","0.8820335865020752","1.108747124671936","1.108747124671936","1.108747124671936"
"18","6.160735130310059","6.160735130310059","6.160735130310059","6.441988945007324","6.441988945007324","6.441988945007324","0.5878309607505798","0.5878309607505798","0.5878309607505798","0.6448698043823242","0.6448698043823242","0.6448698043823242","6.972036361694336","6.972036361694336","6.972036361694336","6.5709333419799805","6.5709333419799805","6.5709333419799805","0.784072995185852","0.784072995185852","0.784072995185852","0.6466588973999023","0.6466588973999023","0.6466588973999023","0.9299579858779907","0.9299579858779907","0.9299579858779907","1.315488338470459","1.315488338470459","1.315488338470459","0.9553595781326294","0.9553595781326294","0.9553595781326294","0.6149630546569824","0.6149630546569824","0.6149630546569824"
