"Step","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_positive_s","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_positive_s","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_positive_s","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MAX"
"0","0.009439727291464806","0.009439727291464806","0.009439727291464806","0.013945985585451126","0.013945985585451126","0.013945985585451126","0.490831196308136","0.490831196308136","0.490831196308136","0.28809064626693726","0.28809064626693726","0.28809064626693726","0.011130616068840027","0.011130616068840027","0.011130616068840027","0.012350296601653099","0.012350296601653099","0.012350296601653099","0.49737757444381714","0.49737757444381714","0.49737757444381714","0.20913943648338318","0.20913943648338318","0.20913943648338318","0.014339172281324863","0.014339172281324863","0.014339172281324863","0.01580483466386795","0.01580483466386795","0.01580483466386795","0.011044293642044067","0.011044293642044067","0.011044293642044067","0.012949234806001186","0.012949234806001186","0.012949234806001186"
"2","0.002757044043391943","0.002757044043391943","0.002757044043391943","0.005319530609995127","0.005319530609995127","0.005319530609995127","0.9020568132400513","0.9020568132400513","0.9020568132400513","0.48098063468933105","0.48098063468933105","0.48098063468933105","0.002885204739868641","0.002885204739868641","0.002885204739868641","0.0055785393342375755","0.0055785393342375755","0.0055785393342375755","0.8204596042633057","0.8204596042633057","0.8204596042633057","0.4686773717403412","0.4686773717403412","0.4686773717403412","0.01005219854414463","0.01005219854414463","0.01005219854414463","0.007311817724257708","0.007311817724257708","0.007311817724257708","0.004315151832997799","0.004315151832997799","0.004315151832997799","0.004423870239406824","0.004423870239406824","0.004423870239406824"
"4","0.0011196844279766083","0.0011196844279766083","0.0011196844279766083","0.002415322232991457","0.002415322232991457","0.002415322232991457","1.0540857315063477","1.0540857315063477","1.0540857315063477","0.5932189226150513","0.5932189226150513","0.5932189226150513","0.0012583350762724876","0.0012583350762724876","0.0012583350762724876","0.002145701088011265","0.002145701088011265","0.002145701088011265","0.805883526802063","0.805883526802063","0.805883526802063","0.8927695751190186","0.8927695751190186","0.8927695751190186","0.007347813807427883","0.007347813807427883","0.007347813807427883","0.00386534514836967","0.00386534514836967","0.00386534514836967","0.0024070353247225285","0.0024070353247225285","0.0024070353247225285","0.002343290951102972","0.002343290951102972","0.002343290951102972"
"6","0.0006404115119948983","0.0006404115119948983","0.0006404115119948983","0.0014048084849491715","0.0014048084849491715","0.0014048084849491715","1.0948550701141357","1.0948550701141357","1.0948550701141357","0.936097264289856","0.936097264289856","0.936097264289856","0.000849116244353354","0.000849116244353354","0.000849116244353354","0.0015429439954459667","0.0015429439954459667","0.0015429439954459667","1.0158977508544922","1.0158977508544922","1.0158977508544922","0.977419376373291","0.977419376373291","0.977419376373291","0.010109147988259792","0.010109147988259792","0.010109147988259792","0.0028575179167091846","0.0028575179167091846","0.0028575179167091846","0.0024166065268218517","0.0024166065268218517","0.0024166065268218517","0.0021979850716888905","0.0021979850716888905","0.0021979850716888905"
"8","0.0003843535087071359","0.0003843535087071359","0.0003843535087071359","0.000874267949257046","0.000874267949257046","0.000874267949257046","1.1276558637619019","1.1276558637619019","1.1276558637619019","0.9247545599937439","0.9247545599937439","0.9247545599937439","0.00043695620843209326","0.00043695620843209326","0.00043695620843209326","0.0010506787803024054","0.0010506787803024054","0.0010506787803024054","1.1057746410369873","1.1057746410369873","1.1057746410369873","0.9927495718002319","0.9927495718002319","0.9927495718002319","0.015515802428126335","0.015515802428126335","0.015515802428126335","0.002614155877381563","0.002614155877381563","0.002614155877381563","0.0030050042551010847","0.0030050042551010847","0.0030050042551010847","0.00217190058901906","0.00217190058901906","0.00217190058901906"
"10","0.00024409531033597887","0.00024409531033597887","0.00024409531033597887","0.0005905384314246476","0.0005905384314246476","0.0005905384314246476","1.160801887512207","1.160801887512207","1.160801887512207","1.0867105722427368","1.0867105722427368","1.0867105722427368","0.00028701452538371086","0.00028701452538371086","0.00028701452538371086","0.0008180328877642751","0.0008180328877642751","0.0008180328877642751","1.0922824144363403","1.0922824144363403","1.0922824144363403","1.0908325910568237","1.0908325910568237","1.0908325910568237","0.025135913863778114","0.025135913863778114","0.025135913863778114","0.003432132303714752","0.003432132303714752","0.003432132303714752","0.007106312550604343","0.007106312550604343","0.007106312550604343","0.004346004221588373","0.004346004221588373","0.004346004221588373"
"12","0.0002064469299511984","0.0002064469299511984","0.0002064469299511984","0.00041054203757084906","0.00041054203757084906","0.00041054203757084906","1.1149704456329346","1.1149704456329346","1.1149704456329346","1.0955194234848022","1.0955194234848022","1.0955194234848022","0.00025219484814442694","0.00025219484814442694","0.00025219484814442694","0.0008578792912885547","0.0008578792912885547","0.0008578792912885547","1.0875550508499146","1.0875550508499146","1.0875550508499146","1.1018543243408203","1.1018543243408203","1.1018543243408203","0.052754875272512436","0.052754875272512436","0.052754875272512436","0.009558786638081074","0.009558786638081074","0.009558786638081074","0.020178161561489105","0.020178161561489105","0.020178161561489105","0.01187893096357584","0.01187893096357584","0.01187893096357584"
"14","0.00017947495507542044","0.00017947495507542044","0.00017947495507542044","0.0003046399506274611","0.0003046399506274611","0.0003046399506274611","1.1262151002883911","1.1262151002883911","1.1262151002883911","1.0723367929458618","1.0723367929458618","1.0723367929458618","0.00016893116116989404","0.00016893116116989404","0.00016893116116989404","0.000860887230373919","0.000860887230373919","0.000860887230373919","1.1364223957061768","1.1364223957061768","1.1364223957061768","1.1213527917861938","1.1213527917861938","1.1213527917861938","0.10702002048492432","0.10702002048492432","0.10702002048492432","0.0331977903842926","0.0331977903842926","0.0331977903842926","0.04528479278087616","0.04528479278087616","0.04528479278087616","0.024096017703413963","0.024096017703413963","0.024096017703413963"
"16","0.00017938987002708018","0.00017938987002708018","0.00017938987002708018","0.000283892935840413","0.000283892935840413","0.000283892935840413","1.1456025838851929","1.1456025838851929","1.1456025838851929","1.063157320022583","1.063157320022583","1.063157320022583","0.00015088921645656228","0.00015088921645656228","0.00015088921645656228","0.0010072251316159964","0.0010072251316159964","0.0010072251316159964","1.1401880979537964","1.1401880979537964","1.1401880979537964","1.1236791610717773","1.1236791610717773","1.1236791610717773","0.20912200212478638","0.20912200212478638","0.20912200212478638","0.09323922544717789","0.09323922544717789","0.09323922544717789","0.07922938466072083","0.07922938466072083","0.07922938466072083","0.048459988087415695","0.048459988087415695","0.048459988087415695"
"18","0.00024746416602283716","0.00024746416602283716","0.00024746416602283716","0.00025471035041846335","0.00025471035041846335","0.00025471035041846335","1.143417239189148","1.143417239189148","1.143417239189148","1.1139681339263916","1.1139681339263916","1.1139681339263916","0.0001779991143848747","0.0001779991143848747","0.0001779991143848747","0.001253737835213542","0.001253737835213542","0.001253737835213542","1.1453101634979248","1.1453101634979248","1.1453101634979248","1.1446893215179443","1.1446893215179443","1.1446893215179443","0.34113362431526184","0.34113362431526184","0.34113362431526184","0.13738985359668732","0.13738985359668732","0.13738985359668732","0.16217634081840515","0.16217634081840515","0.16217634081840515","0.09760557115077972","0.09760557115077972","0.09760557115077972"
