"Step","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_positive_z","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_VMD_b10_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_positive_z","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_EMD_b10_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_positive_z","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_EMD_b0_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_positive_z","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_VMD_b0_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_positive_z","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_EWT_b10_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_positive_z","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_EWT_b0_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_EWT_b1_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_EMD_b1_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_VMD_b1_DUAL_bs16 - cross_entropy_positive_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_z__MAX"
"0","0.13548137247562408","0.13548137247562408","0.13548137247562408","0.13655567169189453","0.13655567169189453","0.13655567169189453","0.18893583118915558","0.18893583118915558","0.18893583118915558","0.18436674773693085","0.18436674773693085","0.18436674773693085","0.13340383768081665","0.13340383768081665","0.13340383768081665","0.13677462935447693","0.13677462935447693","0.13677462935447693","0.19747260212898254","0.19747260212898254","0.19747260212898254","0.18129053711891174","0.18129053711891174","0.18129053711891174","0.14073088765144348","0.14073088765144348","0.14073088765144348","0.140812486410141","0.140812486410141","0.140812486410141","0.13948190212249756","0.13948190212249756","0.13948190212249756","0.13722848892211914","0.13722848892211914","0.13722848892211914"
"2","0.08745531737804413","0.08745531737804413","0.08745531737804413","0.08760284632444382","0.08760284632444382","0.08760284632444382","7.45402717590332","7.45402717590332","7.45402717590332","1.2165600061416626","1.2165600061416626","1.2165600061416626","0.09040644764900208","0.09040644764900208","0.09040644764900208","0.08947150409221649","0.08947150409221649","0.08947150409221649","1.1543755531311035","1.1543755531311035","1.1543755531311035","0.34661003947257996","0.34661003947257996","0.34661003947257996","0.10216481983661652","0.10216481983661652","0.10216481983661652","0.09946082532405853","0.09946082532405853","0.09946082532405853","0.10058697313070297","0.10058697313070297","0.10058697313070297","0.10368604212999344","0.10368604212999344","0.10368604212999344"
"4","0.05624982714653015","0.05624982714653015","0.05624982714653015","0.051983270794153214","0.051983270794153214","0.051983270794153214","7.605529308319092","7.605529308319092","7.605529308319092","1.8272783756256104","1.8272783756256104","1.8272783756256104","0.06194455176591873","0.06194455176591873","0.06194455176591873","0.060477957129478455","0.060477957129478455","0.060477957129478455","1.276902675628662","1.276902675628662","1.276902675628662","1.4543918371200562","1.4543918371200562","1.4543918371200562","0.0758109986782074","0.0758109986782074","0.0758109986782074","0.06871145218610764","0.06871145218610764","0.06871145218610764","0.07282029092311859","0.07282029092311859","0.07282029092311859","0.07869791984558105","0.07869791984558105","0.07869791984558105"
"6","0.04199809208512306","0.04199809208512306","0.04199809208512306","0.03561246022582054","0.03561246022582054","0.03561246022582054","1.8360059261322021","1.8360059261322021","1.8360059261322021","1.497009038925171","1.497009038925171","1.497009038925171","0.048226162791252136","0.048226162791252136","0.048226162791252136","0.04546888917684555","0.04546888917684555","0.04546888917684555","0.8576620221138","0.8576620221138","0.8576620221138","0.7593487501144409","0.7593487501144409","0.7593487501144409","0.07427096366882324","0.07427096366882324","0.07427096366882324","0.06476353108882904","0.06476353108882904","0.06476353108882904","0.07505357265472412","0.07505357265472412","0.07505357265472412","0.07621157169342041","0.07621157169342041","0.07621157169342041"
"8","0.03936535865068436","0.03936535865068436","0.03936535865068436","0.04231364279985428","0.04231364279985428","0.04231364279985428","1.3207881450653076","1.3207881450653076","1.3207881450653076","1.9601376056671143","1.9601376056671143","1.9601376056671143","0.04193924367427826","0.04193924367427826","0.04193924367427826","0.04219260811805725","0.04219260811805725","0.04219260811805725","1.8048877716064453","1.8048877716064453","1.8048877716064453","1.3905125856399536","1.3905125856399536","1.3905125856399536","0.1856202483177185","0.1856202483177185","0.1856202483177185","0.22344467043876648","0.22344467043876648","0.22344467043876648","0.3258362412452698","0.3258362412452698","0.3258362412452698","0.18536409735679626","0.18536409735679626","0.18536409735679626"
"10","0.07095552980899811","0.07095552980899811","0.07095552980899811","0.09031833708286285","0.09031833708286285","0.09031833708286285","1.870368242263794","1.870368242263794","1.870368242263794","1.6262692213058472","1.6262692213058472","1.6262692213058472","0.053978610783815384","0.053978610783815384","0.053978610783815384","0.0747239887714386","0.0747239887714386","0.0747239887714386","1.6853755712509155","1.6853755712509155","1.6853755712509155","1.82907235622406","1.82907235622406","1.82907235622406","0.6240975856781006","0.6240975856781006","0.6240975856781006","0.7243286967277527","0.7243286967277527","0.7243286967277527","1.5078275203704834","1.5078275203704834","1.5078275203704834","1.0508966445922852","1.0508966445922852","1.0508966445922852"
"12","0.11973364651203156","0.11973364651203156","0.11973364651203156","0.13325995206832886","0.13325995206832886","0.13325995206832886","1.6645009517669678","1.6645009517669678","1.6645009517669678","1.932987093925476","1.932987093925476","1.932987093925476","0.0886203944683075","0.0886203944683075","0.0886203944683075","0.11768428981304169","0.11768428981304169","0.11768428981304169","1.5033245086669922","1.5033245086669922","1.5033245086669922","1.8336460590362549","1.8336460590362549","1.8336460590362549","1.408949375152588","1.408949375152588","1.408949375152588","1.3791173696517944","1.3791173696517944","1.3791173696517944","1.6143401861190796","1.6143401861190796","1.6143401861190796","1.5187554359436035","1.5187554359436035","1.5187554359436035"
"14","0.18201781809329987","0.18201781809329987","0.18201781809329987","0.19020016491413116","0.19020016491413116","0.19020016491413116","1.9281206130981445","1.9281206130981445","1.9281206130981445","1.7200736999511719","1.7200736999511719","1.7200736999511719","0.13034825026988983","0.13034825026988983","0.13034825026988983","0.1714181900024414","0.1714181900024414","0.1714181900024414","1.2756551504135132","1.2756551504135132","1.2756551504135132","8.044257164001465","8.044257164001465","8.044257164001465","1.7551207542419434","1.7551207542419434","1.7551207542419434","1.6617658138275146","1.6617658138275146","1.6617658138275146","1.8028006553649902","1.8028006553649902","1.8028006553649902","7.690898895263672","7.690898895263672","7.690898895263672"
"16","0.23964367806911469","0.23964367806911469","0.23964367806911469","0.24004331231117249","0.24004331231117249","0.24004331231117249","1.7344422340393066","1.7344422340393066","1.7344422340393066","1.942734718322754","1.942734718322754","1.942734718322754","0.162684366106987","0.162684366106987","0.162684366106987","0.2165118306875229","0.2165118306875229","0.2165118306875229","1.5709058046340942","1.5709058046340942","1.5709058046340942","1.772141695022583","1.772141695022583","1.772141695022583","1.7709916830062866","1.7709916830062866","1.7709916830062866","1.7486584186553955","1.7486584186553955","1.7486584186553955","1.6936330795288086","1.6936330795288086","1.6936330795288086","1.5473785400390625","1.5473785400390625","1.5473785400390625"
"18","0.3082176148891449","0.3082176148891449","0.3082176148891449","0.3051137328147888","0.3051137328147888","0.3051137328147888","1.907411813735962","1.907411813735962","1.907411813735962","1.8996119499206543","1.8996119499206543","1.8996119499206543","0.21799340844154358","0.21799340844154358","0.21799340844154358","0.2849031686782837","0.2849031686782837","0.2849031686782837","1.8456792831420898","1.8456792831420898","1.8456792831420898","1.8622772693634033","1.8622772693634033","1.8622772693634033","1.8759832382202148","1.8759832382202148","1.8759832382202148","1.7981793880462646","1.7981793880462646","1.7981793880462646","1.5474894046783447","1.5474894046783447","1.5474894046783447","1.8281558752059937","1.8281558752059937","1.8281558752059937"
