"Step","VOWELS_VMD_b10_DUAL_bs16 - decomposition_loss_s","VOWELS_VMD_b10_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - decomposition_loss_s","VOWELS_EMD_b10_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - decomposition_loss_s","VOWELS_EMD_b0_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - decomposition_loss_s","VOWELS_VMD_b0_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - decomposition_loss_s","VOWELS_EWT_b10_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - decomposition_loss_s","VOWELS_EWT_b0_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - decomposition_loss_s","VOWELS_EWT_b1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - decomposition_loss_s","VOWELS_EMD_b1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - decomposition_loss_s","VOWELS_VMD_b1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - decomposition_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_s__MAX"
"0","6.79191255569458","6.79191255569458","6.79191255569458","6.664792060852051","6.664792060852051","6.664792060852051","1.7855249643325806","1.7855249643325806","1.7855249643325806","2.394186019897461","2.394186019897461","2.394186019897461","6.413078784942627","6.413078784942627","6.413078784942627","5.854408264160156","5.854408264160156","5.854408264160156","2.5439658164978027","2.5439658164978027","2.5439658164978027","2.248979091644287","2.248979091644287","2.248979091644287","5.702641010284424","5.702641010284424","5.702641010284424","6.4756550788879395","6.4756550788879395","6.4756550788879395","6.616310119628906","6.616310119628906","6.616310119628906","6.221219062805176","6.221219062805176","6.221219062805176"
"2","8.185760498046875","8.185760498046875","8.185760498046875","7.8440470695495605","7.8440470695495605","7.8440470695495605","0.9540294408798218","0.9540294408798218","0.9540294408798218","1.6667873859405518","1.6667873859405518","1.6667873859405518","8.014938354492188","8.014938354492188","8.014938354492188","6.8377275466918945","6.8377275466918945","6.8377275466918945","1.5285700559616089","1.5285700559616089","1.5285700559616089","1.586595058441162","1.586595058441162","1.586595058441162","6.276334285736084","6.276334285736084","6.276334285736084","7.284237384796143","7.284237384796143","7.284237384796143","7.5960564613342285","7.5960564613342285","7.5960564613342285","7.389357566833496","7.389357566833496","7.389357566833496"
"4","8.89322280883789","8.89322280883789","8.89322280883789","8.556544303894043","8.556544303894043","8.556544303894043","0.8348350524902344","0.8348350524902344","0.8348350524902344","1.6483575105667114","1.6483575105667114","1.6483575105667114","8.705205917358398","8.705205917358398","8.705205917358398","7.698193073272705","7.698193073272705","7.698193073272705","1.363829255104065","1.363829255104065","1.363829255104065","0.923192024230957","0.923192024230957","0.923192024230957","6.630800247192383","6.630800247192383","6.630800247192383","7.571628093719482","7.571628093719482","7.571628093719482","7.784625053405762","7.784625053405762","7.784625053405762","7.6333208084106445","7.6333208084106445","7.6333208084106445"
"6","9.549226760864258","9.549226760864258","9.549226760864258","9.152321815490723","9.152321815490723","9.152321815490723","0.7877371907234192","0.7877371907234192","0.7877371907234192","1.0085575580596924","1.0085575580596924","1.0085575580596924","9.17670726776123","9.17670726776123","9.17670726776123","8.175268173217773","8.175268173217773","8.175268173217773","0.9131166934967041","0.9131166934967041","0.9131166934967041","0.9354646801948547","0.9354646801948547","0.9354646801948547","6.609948635101318","6.609948635101318","6.609948635101318","7.390679836273193","7.390679836273193","7.390679836273193","7.568826198577881","7.568826198577881","7.568826198577881","7.4481635093688965","7.4481635093688965","7.4481635093688965"
"8","9.972277641296387","9.972277641296387","9.972277641296387","9.632156372070312","9.632156372070312","9.632156372070312","0.7885265946388245","0.7885265946388245","0.7885265946388245","1.0254557132720947","1.0254557132720947","1.0254557132720947","9.711432456970215","9.711432456970215","9.711432456970215","8.518458366394043","8.518458366394043","8.518458366394043","0.8678522706031799","0.8678522706031799","0.8678522706031799","0.8520066738128662","0.8520066738128662","0.8520066738128662","6.216109752655029","6.216109752655029","6.216109752655029","7.074862957000732","7.074862957000732","7.074862957000732","6.971146583557129","6.971146583557129","6.971146583557129","6.998898983001709","6.998898983001709","6.998898983001709"
"10","10.086214065551758","10.086214065551758","10.086214065551758","9.899961471557617","9.899961471557617","9.899961471557617","0.7882837057113647","0.7882837057113647","0.7882837057113647","0.8275271654129028","0.8275271654129028","0.8275271654129028","9.810824394226074","9.810824394226074","9.810824394226074","8.864293098449707","8.864293098449707","8.864293098449707","0.9130905866622925","0.9130905866622925","0.9130905866622925","0.8096152544021606","0.8096152544021606","0.8096152544021606","6.035851001739502","6.035851001739502","6.035851001739502","6.406299114227295","6.406299114227295","6.406299114227295","5.761054515838623","5.761054515838623","5.761054515838623","5.976059913635254","5.976059913635254","5.976059913635254"
"12","10.24145793914795","10.24145793914795","10.24145793914795","9.956435203552246","9.956435203552246","9.956435203552246","0.7626395225524902","0.7626395225524902","0.7626395225524902","0.8780984282493591","0.8780984282493591","0.8780984282493591","9.770362854003906","9.770362854003906","9.770362854003906","8.877850532531738","8.877850532531738","8.877850532531738","0.825738251209259","0.825738251209259","0.825738251209259","0.8811497688293457","0.8811497688293457","0.8811497688293457","5.4058027267456055","5.4058027267456055","5.4058027267456055","5.122751712799072","5.122751712799072","5.122751712799072","4.835877895355225","4.835877895355225","4.835877895355225","5.078575134277344","5.078575134277344","5.078575134277344"
"14","10.221582412719727","10.221582412719727","10.221582412719727","9.963225364685059","9.963225364685059","9.963225364685059","0.7657250761985779","0.7657250761985779","0.7657250761985779","0.7899037003517151","0.7899037003517151","0.7899037003517151","9.90091323852539","9.90091323852539","9.90091323852539","8.945784568786621","8.945784568786621","8.945784568786621","0.874722421169281","0.874722421169281","0.874722421169281","0.8793025016784668","0.8793025016784668","0.8793025016784668","4.845180988311768","4.845180988311768","4.845180988311768","3.9922478199005127","3.9922478199005127","3.9922478199005127","4.211358070373535","4.211358070373535","4.211358070373535","4.228410243988037","4.228410243988037","4.228410243988037"
"16","9.965680122375488","9.965680122375488","9.965680122375488","9.674317359924316","9.674317359924316","9.674317359924316","0.763904869556427","0.763904869556427","0.763904869556427","0.8395366072654724","0.8395366072654724","0.8395366072654724","9.761466026306152","9.761466026306152","9.761466026306152","8.858086585998535","8.858086585998535","8.858086585998535","0.8420114517211914","0.8420114517211914","0.8420114517211914","0.805924654006958","0.805924654006958","0.805924654006958","4.227097988128662","4.227097988128662","4.227097988128662","2.8649396896362305","2.8649396896362305","2.8649396896362305","3.6076512336730957","3.6076512336730957","3.6076512336730957","3.5075550079345703","3.5075550079345703","3.5075550079345703"
"18","9.468775749206543","9.468775749206543","9.468775749206543","9.59952163696289","9.59952163696289","9.59952163696289","0.7648184895515442","0.7648184895515442","0.7648184895515442","0.7786402702331543","0.7786402702331543","0.7786402702331543","9.376348495483398","9.376348495483398","9.376348495483398","8.693694114685059","8.693694114685059","8.693694114685059","0.9006767868995667","0.9006767868995667","0.9006767868995667","0.7814210653305054","0.7814210653305054","0.7814210653305054","3.5144927501678467","3.5144927501678467","3.5144927501678467","2.6817102432250977","2.6817102432250977","2.6817102432250977","2.9471476078033447","2.9471476078033447","2.9471476078033447","2.7973146438598633","2.7973146438598633","2.7973146438598633"
