"Step","VOWELS_VMD_b10_DUAL_bs16 - decomposition_loss_z","VOWELS_VMD_b10_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_VMD_b10_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_EMD_b10_DUAL_bs16 - decomposition_loss_z","VOWELS_EMD_b10_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_EMD_b10_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_EMD_b0_DUAL_bs16 - decomposition_loss_z","VOWELS_EMD_b0_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_EMD_b0_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_VMD_b0_DUAL_bs16 - decomposition_loss_z","VOWELS_VMD_b0_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_VMD_b0_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_EWT_b10_DUAL_bs16 - decomposition_loss_z","VOWELS_EWT_b10_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_EWT_b10_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_EWT_b0_DUAL_bs16 - decomposition_loss_z","VOWELS_EWT_b0_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_EWT_b0_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_EWT_b1_DUAL_bs16 - decomposition_loss_z","VOWELS_EWT_b1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_EWT_b1_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_EMD_b1_DUAL_bs16 - decomposition_loss_z","VOWELS_EMD_b1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_EMD_b1_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_VMD_b1_DUAL_bs16 - decomposition_loss_z","VOWELS_VMD_b1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_VMD_b1_DUAL_bs16 - decomposition_loss_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - decomposition_loss_z__MAX"
"0","3.2098240852355957","3.2098240852355957","3.2098240852355957","3.166100263595581","3.166100263595581","3.166100263595581","2.826582908630371","2.826582908630371","2.826582908630371","2.843071222305298","2.843071222305298","2.843071222305298","3.2691891193389893","3.2691891193389893","3.2691891193389893","3.184154987335205","3.184154987335205","3.184154987335205","2.7152349948883057","2.7152349948883057","2.7152349948883057","2.864694595336914","2.864694595336914","2.864694595336914","3.1550796031951904","3.1550796031951904","3.1550796031951904","3.135611057281494","3.135611057281494","3.135611057281494","3.1797337532043457","3.1797337532043457","3.1797337532043457","3.2374470233917236","3.2374470233917236","3.2374470233917236"
"2","3.6601250171661377","3.6601250171661377","3.6601250171661377","3.613785743713379","3.613785743713379","3.613785743713379","3.426095962524414","3.426095962524414","3.426095962524414","1.2831273078918457","1.2831273078918457","1.2831273078918457","3.677746534347534","3.677746534347534","3.677746534347534","3.6285815238952637","3.6285815238952637","3.6285815238952637","1.413748025894165","1.413748025894165","1.413748025894165","2.111143112182617","2.111143112182617","2.111143112182617","3.4842476844787598","3.4842476844787598","3.4842476844787598","3.4825439453125","3.4825439453125","3.4825439453125","3.506261110305786","3.506261110305786","3.506261110305786","3.522082805633545","3.522082805633545","3.522082805633545"
"4","4.1401519775390625","4.1401519775390625","4.1401519775390625","4.161290645599365","4.161290645599365","4.161290645599365","3.146015167236328","3.146015167236328","3.146015167236328","1.1424336433410645","1.1424336433410645","1.1424336433410645","4.131899833679199","4.131899833679199","4.131899833679199","4.065410137176514","4.065410137176514","4.065410137176514","1.155592918395996","1.155592918395996","1.155592918395996","1.2669934034347534","1.2669934034347534","1.2669934034347534","3.795539379119873","3.795539379119873","3.795539379119873","3.8556442260742188","3.8556442260742188","3.8556442260742188","3.8300321102142334","3.8300321102142334","3.8300321102142334","3.8201026916503906","3.8201026916503906","3.8201026916503906"
"6","4.452409744262695","4.452409744262695","4.452409744262695","4.582902908325195","4.582902908325195","4.582902908325195","0.9796806573867798","0.9796806573867798","0.9796806573867798","1.0790979862213135","1.0790979862213135","1.0790979862213135","4.38378381729126","4.38378381729126","4.38378381729126","4.375978946685791","4.375978946685791","4.375978946685791","1.2601799964904785","1.2601799964904785","1.2601799964904785","1.4355968236923218","1.4355968236923218","1.4355968236923218","3.7021350860595703","3.7021350860595703","3.7021350860595703","3.8574886322021484","3.8574886322021484","3.8574886322021484","3.6309421062469482","3.6309421062469482","3.6309421062469482","3.691675901412964","3.691675901412964","3.691675901412964"
"8","4.3715386390686035","4.3715386390686035","4.3715386390686035","4.2801833152771","4.2801833152771","4.2801833152771","1.0034523010253906","1.0034523010253906","1.0034523010253906","1.0488210916519165","1.0488210916519165","1.0488210916519165","4.463779449462891","4.463779449462891","4.463779449462891","4.350566864013672","4.350566864013672","4.350566864013672","1.108561635017395","1.108561635017395","1.108561635017395","1.1194648742675781","1.1194648742675781","1.1194648742675781","2.5979793071746826","2.5979793071746826","2.5979793071746826","2.539862632751465","2.539862632751465","2.539862632751465","1.8877986669540405","1.8877986669540405","1.8877986669540405","2.469028949737549","2.469028949737549","2.469028949737549"
"10","3.5825982093811035","3.5825982093811035","3.5825982093811035","3.432574510574341","3.432574510574341","3.432574510574341","0.9560714960098267","0.9560714960098267","0.9560714960098267","0.9914669394493103","0.9914669394493103","0.9914669394493103","3.95676851272583","3.95676851272583","3.95676851272583","3.5631914138793945","3.5631914138793945","3.5631914138793945","0.9625674486160278","0.9625674486160278","0.9625674486160278","1.1108590364456177","1.1108590364456177","1.1108590364456177","1.5701512098312378","1.5701512098312378","1.5701512098312378","1.6072977781295776","1.6072977781295776","1.6072977781295776","0.9794055819511414","0.9794055819511414","0.9794055819511414","1.0784915685653687","1.0784915685653687","1.0784915685653687"
"12","2.995347023010254","2.995347023010254","2.995347023010254","3.0091638565063477","3.0091638565063477","3.0091638565063477","0.9182316660881042","0.9182316660881042","0.9182316660881042","0.9296097755432129","0.9296097755432129","0.9296097755432129","3.2603752613067627","3.2603752613067627","3.2603752613067627","3.056898832321167","3.056898832321167","3.056898832321167","0.9718582034111023","0.9718582034111023","0.9718582034111023","0.9746043682098389","0.9746043682098389","0.9746043682098389","1.084549903869629","1.084549903869629","1.084549903869629","1.2129173278808594","1.2129173278808594","1.2129173278808594","0.8631884455680847","0.8631884455680847","0.8631884455680847","0.9095142483711243","0.9095142483711243","0.9095142483711243"
"14","2.619642734527588","2.619642734527588","2.619642734527588","2.695216655731201","2.695216655731201","2.695216655731201","0.8610149621963501","0.8610149621963501","0.8610149621963501","0.9109058380126953","0.9109058380126953","0.9109058380126953","2.8867878913879395","2.8867878913879395","2.8867878913879395","2.7188916206359863","2.7188916206359863","2.7188916206359863","1.1369282007217407","1.1369282007217407","1.1369282007217407","3.012007474899292","3.012007474899292","3.012007474899292","1.036064624786377","1.036064624786377","1.036064624786377","1.1616522073745728","1.1616522073745728","1.1616522073745728","0.8725753426551819","0.8725753426551819","0.8725753426551819","2.9411206245422363","2.9411206245422363","2.9411206245422363"
"16","2.361600875854492","2.361600875854492","2.361600875854492","2.4697341918945312","2.4697341918945312","2.4697341918945312","0.8438627123832703","0.8438627123832703","0.8438627123832703","0.9188478589057922","0.9188478589057922","0.9188478589057922","2.6415562629699707","2.6415562629699707","2.6415562629699707","2.5042977333068848","2.5042977333068848","2.5042977333068848","0.9452837705612183","0.9452837705612183","0.9452837705612183","0.9187096357345581","0.9187096357345581","0.9187096357345581","0.9837142825126648","0.9837142825126648","0.9837142825126648","1.0861705541610718","1.0861705541610718","1.0861705541610718","0.8584696054458618","0.8584696054458618","0.8584696054458618","0.8852866291999817","0.8852866291999817","0.8852866291999817"
"18","2.156101942062378","2.156101942062378","2.156101942062378","2.248809337615967","2.248809337615967","2.248809337615967","0.8316644430160522","0.8316644430160522","0.8316644430160522","0.848075807094574","0.848075807094574","0.848075807094574","2.3964366912841797","2.3964366912841797","2.3964366912841797","2.2850501537323","2.2850501537323","2.2850501537323","0.8764963746070862","0.8764963746070862","0.8764963746070862","0.8362283706665039","0.8362283706665039","0.8362283706665039","0.9352201819419861","0.9352201819419861","0.9352201819419861","1.0377854108810425","1.0377854108810425","1.0377854108810425","0.8341995477676392","0.8341995477676392","0.8341995477676392","0.8142915964126587","0.8142915964126587","0.8142915964126587"
