"Step","VOWELS_VMD_b10_DUAL_bs16 - divergence_negative_s","VOWELS_VMD_b10_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - divergence_negative_s","VOWELS_EMD_b10_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - divergence_negative_s","VOWELS_EMD_b0_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - divergence_negative_s","VOWELS_VMD_b0_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - divergence_negative_s","VOWELS_EWT_b10_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - divergence_negative_s","VOWELS_EWT_b0_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - divergence_negative_s","VOWELS_EWT_b1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - divergence_negative_s","VOWELS_EMD_b1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - divergence_negative_s","VOWELS_VMD_b1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MAX"
"0","0.0013025377411395311","0.0013025377411395311","0.0013025377411395311","0.0013708320911973715","0.0013708320911973715","0.0013708320911973715","0.25379014015197754","0.25379014015197754","0.25379014015197754","0.17228691279888153","0.17228691279888153","0.17228691279888153","0.002640667837113142","0.002640667837113142","0.002640667837113142","0.004903987981379032","0.004903987981379032","0.004903987981379032","0.18413937091827393","0.18413937091827393","0.18413937091827393","0.15676242113113403","0.15676242113113403","0.15676242113113403","0.0056924279779195786","0.0056924279779195786","0.0056924279779195786","0.001659527188166976","0.001659527188166976","0.001659527188166976","0.0015617923345416784","0.0015617923345416784","0.0015617923345416784","0.003097464796155691","0.003097464796155691","0.003097464796155691"
"2","0.0003183592052664608","0.0003183592052664608","0.0003183592052664608","0.00041123945266008377","0.00041123945266008377","0.00041123945266008377","0.5297806262969971","0.5297806262969971","0.5297806262969971","0.31532973051071167","0.31532973051071167","0.31532973051071167","0.000352098373696208","0.000352098373696208","0.000352098373696208","0.002355097560212016","0.002355097560212016","0.002355097560212016","0.3940654695034027","0.3940654695034027","0.3940654695034027","0.312801718711853","0.312801718711853","0.312801718711853","0.004222823306918144","0.004222823306918144","0.004222823306918144","0.0007208545575849712","0.0007208545575849712","0.0007208545575849712","0.0005894576897844672","0.0005894576897844672","0.0005894576897844672","0.0006740146200172603","0.0006740146200172603","0.0006740146200172603"
"4","0.00016190750466194004","0.00016190750466194004","0.00016190750466194004","0.00020291420514695346","0.00020291420514695346","0.00020291420514695346","0.6186732053756714","0.6186732053756714","0.6186732053756714","0.35353001952171326","0.35353001952171326","0.35353001952171326","0.00017481084796600044","0.00017481084796600044","0.00017481084796600044","0.0008666245266795158","0.0008666245266795158","0.0008666245266795158","0.47297775745391846","0.47297775745391846","0.47297775745391846","0.552905261516571","0.552905261516571","0.552905261516571","0.003115780418738723","0.003115780418738723","0.003115780418738723","0.0005461341352201998","0.0005461341352201998","0.0005461341352201998","0.0005316422320902348","0.0005316422320902348","0.0005316422320902348","0.0005461302935145795","0.0005461302935145795","0.0005461302935145795"
"6","0.0000811012796475552","0.0000811012796475552","0.0000811012796475552","0.00010940475476672873","0.00010940475476672873","0.00010940475476672873","0.6556907892227173","0.6556907892227173","0.6556907892227173","0.5412436723709106","0.5412436723709106","0.5412436723709106","0.00012471350783016533","0.00012471350783016533","0.00012471350783016533","0.0006177808390930295","0.0006177808390930295","0.0006177808390930295","0.5861493945121765","0.5861493945121765","0.5861493945121765","0.5774141550064087","0.5774141550064087","0.5774141550064087","0.004242037422955036","0.004242037422955036","0.004242037422955036","0.000632263021543622","0.000632263021543622","0.000632263021543622","0.000675028539262712","0.000675028539262712","0.000675028539262712","0.0007500493666157126","0.0007500493666157126","0.0007500493666157126"
"8","0.00005414295810624026","0.00005414295810624026","0.00005414295810624026","0.00006801253039157018","0.00006801253039157018","0.00006801253039157018","0.6623789072036743","0.6623789072036743","0.6623789072036743","0.5534010529518127","0.5534010529518127","0.5534010529518127","0.00006712969479849562","0.00006712969479849562","0.00006712969479849562","0.00041598983807489276","0.00041598983807489276","0.00041598983807489276","0.6146608591079712","0.6146608591079712","0.6146608591079712","0.6052169799804688","0.6052169799804688","0.6052169799804688","0.006442404352128506","0.006442404352128506","0.006442404352128506","0.0008957489626482129","0.0008957489626482129","0.0008957489626482129","0.0013280033599585295","0.0013280033599585295","0.0013280033599585295","0.00126469018869102","0.00126469018869102","0.00126469018869102"
"10","0.00004911269206786528","0.00004911269206786528","0.00004911269206786528","0.000052637315093306825","0.000052637315093306825","0.000052637315093306825","0.6696542501449585","0.6696542501449585","0.6696542501449585","0.6309171319007874","0.6309171319007874","0.6309171319007874","0.00006427105836337432","0.00006427105836337432","0.00006427105836337432","0.0003456920094322413","0.0003456920094322413","0.0003456920094322413","0.5918236970901489","0.5918236970901489","0.5918236970901489","0.6448749303817749","0.6448749303817749","0.6448749303817749","0.010935163125395775","0.010935163125395775","0.010935163125395775","0.001909834099933505","0.001909834099933505","0.001909834099933505","0.004801131784915924","0.004801131784915924","0.004801131784915924","0.0035691335797309875","0.0035691335797309875","0.0035691335797309875"
"12","0.00004320200969232246","0.00004320200969232246","0.00004320200969232246","0.000049774200306274","0.000049774200306274","0.000049774200306274","0.6764369010925293","0.6764369010925293","0.6764369010925293","0.6313150525093079","0.6313150525093079","0.6313150525093079","0.00007139845547499135","0.00007139845547499135","0.00007139845547499135","0.0003657618653960526","0.0003657618653960526","0.0003657618653960526","0.6333876252174377","0.6333876252174377","0.6333876252174377","0.616418719291687","0.616418719291687","0.616418719291687","0.02206404134631157","0.02206404134631157","0.02206404134631157","0.007919376716017723","0.007919376716017723","0.007919376716017723","0.011210600845515728","0.011210600845515728","0.011210600845515728","0.009432658553123474","0.009432658553123474","0.009432658553123474"
"14","0.00004678417099057697","0.00004678417099057697","0.00004678417099057697","0.000050636786909308285","0.000050636786909308285","0.000050636786909308285","0.6769323348999023","0.6769323348999023","0.6769323348999023","0.65144944190979","0.65144944190979","0.65144944190979","0.00006165063678054139","0.00006165063678054139","0.00006165063678054139","0.0003803039435297251","0.0003803039435297251","0.0003803039435297251","0.6185482740402222","0.6185482740402222","0.6185482740402222","0.6181589365005493","0.6181589365005493","0.6181589365005493","0.04349600523710251","0.04349600523710251","0.04349600523710251","0.028391137719154358","0.028391137719154358","0.028391137719154358","0.021703526377677917","0.021703526377677917","0.021703526377677917","0.021310169249773026","0.021310169249773026","0.021310169249773026"
"16","0.00006376358942361549","0.00006376358942361549","0.00006376358942361549","0.0000659907964291051","0.0000659907964291051","0.0000659907964291051","0.6824567317962646","0.6824567317962646","0.6824567317962646","0.6297776103019714","0.6297776103019714","0.6297776103019714","0.0000762400304665789","0.0000762400304665789","0.0000762400304665789","0.0004336752463132143","0.0004336752463132143","0.0004336752463132143","0.6394392251968384","0.6394392251968384","0.6394392251968384","0.6529435515403748","0.6529435515403748","0.6529435515403748","0.0803384929895401","0.0803384929895401","0.0803384929895401","0.07624463737010956","0.07624463737010956","0.07624463737010956","0.04106926545500755","0.04106926545500755","0.04106926545500755","0.0454375296831131","0.0454375296831131","0.0454375296831131"
"18","0.00011463160626590252","0.00011463160626590252","0.00011463160626590252","0.00007434688450302929","0.00007434688450302929","0.00007434688450302929","0.6813532710075378","0.6813532710075378","0.6813532710075378","0.6679019927978516","0.6679019927978516","0.6679019927978516","0.00011565751628950238","0.00011565751628950238","0.00011565751628950238","0.0005834284238517284","0.0005834284238517284","0.0005834284238517284","0.6224836111068726","0.6224836111068726","0.6224836111068726","0.6718035936355591","0.6718035936355591","0.6718035936355591","0.13414980471134186","0.13414980471134186","0.13414980471134186","0.11107400059700012","0.11107400059700012","0.11107400059700012","0.08599903434515","0.08599903434515","0.08599903434515","0.08843936771154404","0.08843936771154404","0.08843936771154404"
