"Step","VOWELS_VMD_b10_DUAL_bs16 - divergence_negative_z","VOWELS_VMD_b10_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_VMD_b10_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_EMD_b10_DUAL_bs16 - divergence_negative_z","VOWELS_EMD_b10_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_EMD_b10_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_EMD_b0_DUAL_bs16 - divergence_negative_z","VOWELS_EMD_b0_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_EMD_b0_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_VMD_b0_DUAL_bs16 - divergence_negative_z","VOWELS_VMD_b0_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_VMD_b0_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_EWT_b10_DUAL_bs16 - divergence_negative_z","VOWELS_EWT_b10_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_EWT_b10_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_EWT_b0_DUAL_bs16 - divergence_negative_z","VOWELS_EWT_b0_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_EWT_b0_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_EWT_b1_DUAL_bs16 - divergence_negative_z","VOWELS_EWT_b1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_EWT_b1_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_EMD_b1_DUAL_bs16 - divergence_negative_z","VOWELS_EMD_b1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_EMD_b1_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_VMD_b1_DUAL_bs16 - divergence_negative_z","VOWELS_VMD_b1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_VMD_b1_DUAL_bs16 - divergence_negative_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_z__MAX"
"0","0.04253274202346802","0.04253274202346802","0.04253274202346802","0.044140927493572235","0.044140927493572235","0.044140927493572235","0.0658017098903656","0.0658017098903656","0.0658017098903656","0.06267910450696945","0.06267910450696945","0.06267910450696945","0.04015554487705231","0.04015554487705231","0.04015554487705231","0.04348399490118027","0.04348399490118027","0.04348399490118027","0.0711994394659996","0.0711994394659996","0.0711994394659996","0.061187222599983215","0.061187222599983215","0.061187222599983215","0.044850096106529236","0.044850096106529236","0.044850096106529236","0.04557531327009201","0.04557531327009201","0.04557531327009201","0.04389646649360657","0.04389646649360657","0.04389646649360657","0.041524358093738556","0.041524358093738556","0.041524358093738556"
"2","0.02659130096435547","0.02659130096435547","0.02659130096435547","0.027752017602324486","0.027752017602324486","0.027752017602324486","0.4397082030773163","0.4397082030773163","0.4397082030773163","0.46137309074401855","0.46137309074401855","0.46137309074401855","0.026139024645090103","0.026139024645090103","0.026139024645090103","0.027378711849451065","0.027378711849451065","0.027378711849451065","0.48405930399894714","0.48405930399894714","0.48405930399894714","0.14348666369915009","0.14348666369915009","0.14348666369915009","0.03177420794963837","0.03177420794963837","0.03177420794963837","0.03176863491535187","0.03176863491535187","0.03176863491535187","0.031152933835983276","0.031152933835983276","0.031152933835983276","0.03067619726061821","0.03067619726061821","0.03067619726061821"
"4","0.01637730561196804","0.01637730561196804","0.01637730561196804","0.015870461240410805","0.015870461240410805","0.015870461240410805","0.5733594298362732","0.5733594298362732","0.5733594298362732","0.6470993161201477","0.6470993161201477","0.6470993161201477","0.016537707298994064","0.016537707298994064","0.016537707298994064","0.017517972737550735","0.017517972737550735","0.017517972737550735","0.532245397567749","0.532245397567749","0.532245397567749","0.5310396552085876","0.5310396552085876","0.5310396552085876","0.023061348125338554","0.023061348125338554","0.023061348125338554","0.021661177277565002","0.021661177277565002","0.021661177277565002","0.022400327026844025","0.022400327026844025","0.022400327026844025","0.022691577672958374","0.022691577672958374","0.022691577672958374"
"6","0.011852639727294445","0.011852639727294445","0.011852639727294445","0.01037784107029438","0.01037784107029438","0.01037784107029438","0.7141897082328796","0.7141897082328796","0.7141897082328796","0.5897932052612305","0.5897932052612305","0.5897932052612305","0.012765638530254364","0.012765638530254364","0.012765638530254364","0.012778307311236858","0.012778307311236858","0.012778307311236858","0.40538474917411804","0.40538474917411804","0.40538474917411804","0.31771719455718994","0.31771719455718994","0.31771719455718994","0.0253265630453825","0.0253265630453825","0.0253265630453825","0.021641310304403305","0.021641310304403305","0.021641310304403305","0.02722114324569702","0.02722114324569702","0.02722114324569702","0.02587151899933815","0.02587151899933815","0.02587151899933815"
"8","0.012806917540729046","0.012806917540729046","0.012806917540729046","0.01413881964981556","0.01413881964981556","0.01413881964981556","0.5860833525657654","0.5860833525657654","0.5860833525657654","0.7022847533226013","0.7022847533226013","0.7022847533226013","0.011785331182181835","0.011785331182181835","0.011785331182181835","0.013101479969918728","0.013101479969918728","0.013101479969918728","0.6581651568412781","0.6581651568412781","0.6581651568412781","0.5367791652679443","0.5367791652679443","0.5367791652679443","0.07995310425758362","0.07995310425758362","0.07995310425758362","0.08608867973089218","0.08608867973089218","0.08608867973089218","0.1744847297668457","0.1744847297668457","0.1744847297668457","0.09397169947624207","0.09397169947624207","0.09397169947624207"
"10","0.02858741208910942","0.02858741208910942","0.02858741208910942","0.033681824803352356","0.033681824803352356","0.033681824803352356","0.7362281680107117","0.7362281680107117","0.7362281680107117","0.665583610534668","0.665583610534668","0.665583610534668","0.019741764292120934","0.019741764292120934","0.019741764292120934","0.02915812097489834","0.02915812097489834","0.02915812097489834","0.6989030838012695","0.6989030838012695","0.6989030838012695","0.6417630910873413","0.6417630910873413","0.6417630910873413","0.2575799822807312","0.2575799822807312","0.2575799822807312","0.25838667154312134","0.25838667154312134","0.25838667154312134","0.6853698492050171","0.6853698492050171","0.6853698492050171","0.5127254724502563","0.5127254724502563","0.5127254724502563"
"12","0.05252617225050926","0.05252617225050926","0.05252617225050926","0.05206393823027611","0.05206393823027611","0.05206393823027611","0.7123817205429077","0.7123817205429077","0.7123817205429077","0.7700268626213074","0.7700268626213074","0.7700268626213074","0.040093570947647095","0.040093570947647095","0.040093570947647095","0.04918719083070755","0.04918719083070755","0.04918719083070755","0.6508423686027527","0.6508423686027527","0.6508423686027527","0.7133549451828003","0.7133549451828003","0.7133549451828003","0.547292172908783","0.547292172908783","0.547292172908783","0.4761761426925659","0.4761761426925659","0.4761761426925659","0.740612268447876","0.740612268447876","0.740612268447876","0.7024911642074585","0.7024911642074585","0.7024911642074585"
"14","0.0792471170425415","0.0792471170425415","0.0792471170425415","0.07264198362827301","0.07264198362827301","0.07264198362827301","0.8167952299118042","0.8167952299118042","0.8167952299118042","0.7313946485519409","0.7313946485519409","0.7313946485519409","0.05914419889450073","0.05914419889450073","0.05914419889450073","0.0701495110988617","0.0701495110988617","0.0701495110988617","0.5029096007347107","0.5029096007347107","0.5029096007347107","0.7391731142997742","0.7391731142997742","0.7391731142997742","0.6442772150039673","0.6442772150039673","0.6442772150039673","0.5506921410560608","0.5506921410560608","0.5506921410560608","0.7911108732223511","0.7911108732223511","0.7911108732223511","0.7057706117630005","0.7057706117630005","0.7057706117630005"
"16","0.10433769226074219","0.10433769226074219","0.10433769226074219","0.09265416860580444","0.09265416860580444","0.09265416860580444","0.7779150009155273","0.7779150009155273","0.7779150009155273","0.7834677696228027","0.7834677696228027","0.7834677696228027","0.0764840692281723","0.0764840692281723","0.0764840692281723","0.08820581436157227","0.08820581436157227","0.08820581436157227","0.6791408061981201","0.6791408061981201","0.6791408061981201","0.7364482879638672","0.7364482879638672","0.7364482879638672","0.6823112368583679","0.6823112368583679","0.6823112368583679","0.611787736415863","0.611787736415863","0.611787736415863","0.7662358283996582","0.7662358283996582","0.7662358283996582","0.7166041135787964","0.7166041135787964","0.7166041135787964"
"18","0.12930721044540405","0.12930721044540405","0.12930721044540405","0.11827544867992401","0.11827544867992401","0.11827544867992401","0.8294989466667175","0.8294989466667175","0.8294989466667175","0.8165625333786011","0.8165625333786011","0.8165625333786011","0.09903441369533539","0.09903441369533539","0.09903441369533539","0.11239837110042572","0.11239837110042572","0.11239837110042572","0.7826417684555054","0.7826417684555054","0.7826417684555054","0.8152419924736023","0.8152419924736023","0.8152419924736023","0.7394016981124878","0.7394016981124878","0.7394016981124878","0.6520997881889343","0.6520997881889343","0.6520997881889343","0.7461246252059937","0.7461246252059937","0.7461246252059937","0.8280674815177917","0.8280674815177917","0.8280674815177917"
