"Step","VOWELS_VMD_b10_DUAL_bs16 - divergence_positive_s","VOWELS_VMD_b10_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - divergence_positive_s","VOWELS_EMD_b10_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - divergence_positive_s","VOWELS_EMD_b0_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - divergence_positive_s","VOWELS_VMD_b0_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - divergence_positive_s","VOWELS_EWT_b10_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - divergence_positive_s","VOWELS_EWT_b0_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - divergence_positive_s","VOWELS_EWT_b1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - divergence_positive_s","VOWELS_EMD_b1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - divergence_positive_s","VOWELS_VMD_b1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - divergence_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_s__MAX"
"0","0.0031411328818649054","0.0031411328818649054","0.0031411328818649054","0.004637311212718487","0.004637311212718487","0.004637311212718487","0.14099863171577454","0.14099863171577454","0.14099863171577454","0.0885763019323349","0.0885763019323349","0.0885763019323349","0.003695103107020259","0.003695103107020259","0.003695103107020259","0.0041054412722587585","0.0041054412722587585","0.0041054412722587585","0.1460760235786438","0.1460760235786438","0.1460760235786438","0.06602002680301666","0.06602002680301666","0.06602002680301666","0.0047644698061048985","0.0047644698061048985","0.0047644698061048985","0.005253709852695465","0.005253709852695465","0.005253709852695465","0.003673974424600601","0.003673974424600601","0.003673974424600601","0.0042967163026332855","0.0042967163026332855","0.0042967163026332855"
"2","0.000918569159694016","0.000918569159694016","0.000918569159694016","0.0017715294379740953","0.0017715294379740953","0.0017715294379740953","0.2523624897003174","0.2523624897003174","0.2523624897003174","0.1374952793121338","0.1374952793121338","0.1374952793121338","0.0009612495778128505","0.0009612495778128505","0.0009612495778128505","0.0018552349647507071","0.0018552349647507071","0.0018552349647507071","0.225774884223938","0.225774884223938","0.225774884223938","0.13796931505203247","0.13796931505203247","0.13796931505203247","0.003338651731610298","0.003338651731610298","0.003338651731610298","0.0024341540411114693","0.0024341540411114693","0.0024341540411114693","0.001437283819541335","0.001437283819541335","0.001437283819541335","0.0014734817668795586","0.0014734817668795586","0.0014734817668795586"
"4","0.0003731542674358934","0.0003731542674358934","0.0003731542674358934","0.0008047720184549689","0.0008047720184549689","0.0008047720184549689","0.29013949632644653","0.29013949632644653","0.29013949632644653","0.16823309659957886","0.16823309659957886","0.16823309659957886","0.00041934900218620896","0.00041934900218620896","0.00041934900218620896","0.000714882044121623","0.000714882044121623","0.000714882044121623","0.2278756946325302","0.2278756946325302","0.2278756946325302","0.2518824338912964","0.2518824338912964","0.2518824338912964","0.0024449832271784544","0.0024449832271784544","0.0024449832271784544","0.001287591876462102","0.001287591876462102","0.001287591876462102","0.0008019852684810758","0.0008019852684810758","0.0008019852684810758","0.0007807596120983362","0.0007807596120983362","0.0007807596120983362"
"6","0.00021344625565689057","0.00021344625565689057","0.00021344625565689057","0.00046815554378554225","0.00046815554378554225","0.00046815554378554225","0.3032186031341553","0.3032186031341553","0.3032186031341553","0.2564290761947632","0.2564290761947632","0.2564290761947632","0.00028299164841882885","0.00028299164841882885","0.00028299164841882885","0.000514129176735878","0.000514129176735878","0.000514129176735878","0.2796570658683777","0.2796570658683777","0.2796570658683777","0.27211469411849976","0.27211469411849976","0.27211469411849976","0.0033614239655435085","0.0033614239655435085","0.0033614239655435085","0.0009520328603684902","0.0009520328603684902","0.0009520328603684902","0.0008051178883761168","0.0008051178883761168","0.0008051178883761168","0.0007323349709622562","0.0007323349709622562","0.0007323349709622562"
"8","0.0001281091244891286","0.0001281091244891286","0.0001281091244891286","0.00029137858655303717","0.00029137858655303717","0.00029137858655303717","0.3086247444152832","0.3086247444152832","0.3086247444152832","0.2561919689178467","0.2561919689178467","0.2561919689178467","0.00014564073353540152","0.00014564073353540152","0.00014564073353540152","0.00035013965680263937","0.00035013965680263937","0.00035013965680263937","0.2971199154853821","0.2971199154853821","0.2971199154853821","0.2771325707435608","0.2771325707435608","0.2771325707435608","0.00515217799693346","0.00515217799693346","0.00515217799693346","0.0008709791000001132","0.0008709791000001132","0.0008709791000001132","0.0010008963290601969","0.0010008963290601969","0.0010008963290601969","0.0007236110395751894","0.0007236110395751894","0.0007236110395751894"
"10","0.00008136159158311784","0.00008136159158311784","0.00008136159158311784","0.0001968255965039134","0.0001968255965039134","0.0001968255965039134","0.31479668617248535","0.31479668617248535","0.31479668617248535","0.2961021959781647","0.2961021959781647","0.2961021959781647","0.00009566657536197454","0.00009566657536197454","0.00009566657536197454","0.00027262442745268345","0.00027262442745268345","0.00027262442745268345","0.29463422298431396","0.29463422298431396","0.29463422298431396","0.300704687833786","0.300704687833786","0.300704687833786","0.008327314630150795","0.008327314630150795","0.008327314630150795","0.0011433170875534415","0.0011433170875534415","0.0011433170875534415","0.0023641237057745457","0.0023641237057745457","0.0023641237057745457","0.0014470343012362719","0.0014470343012362719","0.0014470343012362719"
"12","0.00006881298759253696","0.00006881298759253696","0.00006881298759253696","0.0001368376542814076","0.0001368376542814076","0.0001368376542814076","0.30951106548309326","0.30951106548309326","0.30951106548309326","0.2959814667701721","0.2959814667701721","0.2959814667701721","0.00008406032429775223","0.00008406032429775223","0.00008406032429775223","0.00028590060537680984","0.00028590060537680984","0.00028590060537680984","0.29730677604675293","0.29730677604675293","0.29730677604675293","0.3001691699028015","0.3001691699028015","0.3001691699028015","0.01735766790807247","0.01735766790807247","0.01735766790807247","0.0031785559840500355","0.0031785559840500355","0.0031785559840500355","0.006683118641376495","0.006683118641376495","0.006683118641376495","0.0039467159658670425","0.0039467159658670425","0.0039467159658670425"
"14","0.00005982289439998567","0.00005982289439998567","0.00005982289439998567","0.00010154115443583578","0.00010154115443583578","0.00010154115443583578","0.31095802783966064","0.31095802783966064","0.31095802783966064","0.2971513271331787","0.2971513271331787","0.2971513271331787","0.00005630857413052581","0.00005630857413052581","0.00005630857413052581","0.00028690259205177426","0.00028690259205177426","0.00028690259205177426","0.30254971981048584","0.30254971981048584","0.30254971981048584","0.299007773399353","0.299007773399353","0.299007773399353","0.034743547439575195","0.034743547439575195","0.034743547439575195","0.01095626037567854","0.01095626037567854","0.01095626037567854","0.014881022274494171","0.014881022274494171","0.014881022274494171","0.00797930359840393","0.00797930359840393","0.00797930359840393"
"16","0.00005979424895485863","0.00005979424895485863","0.00005979424895485863","0.00009462617163080722","0.00009462617163080722","0.00009462617163080722","0.3151559829711914","0.3151559829711914","0.3151559829711914","0.2921622395515442","0.2921622395515442","0.2921622395515442","0.00005029487510910258","0.00005029487510910258","0.00005029487510910258","0.00033565887133590877","0.00033565887133590877","0.00033565887133590877","0.3097795248031616","0.3097795248031616","0.3097795248031616","0.30805352330207825","0.30805352330207825","0.30805352330207825","0.06619533151388168","0.06619533151388168","0.06619533151388168","0.030247606337070465","0.030247606337070465","0.030247606337070465","0.025728672742843628","0.025728672742843628","0.025728672742843628","0.015952493995428085","0.015952493995428085","0.015952493995428085"
"18","0.0000824832241050899","0.0000824832241050899","0.0000824832241050899","0.00008489941683365032","0.00008489941683365032","0.00008489941683365032","0.3144286572933197","0.3144286572933197","0.3144286572933197","0.3075413107872009","0.3075413107872009","0.3075413107872009","0.00005933034117333591","0.00005933034117333591","0.00005933034117333591","0.00041778472950682044","0.00041778472950682044","0.00041778472950682044","0.3051537871360779","0.3051537871360779","0.3051537871360779","0.3139292597770691","0.3139292597770691","0.3139292597770691","0.10467392206192017","0.10467392206192017","0.10467392206192017","0.04378112405538559","0.04378112405538559","0.04378112405538559","0.051523357629776","0.051523357629776","0.051523357629776","0.03168971836566925","0.03168971836566925","0.03168971836566925"
