"Step","VOWELS_VMD_b10_DUAL_bs16 - divergence_positive_z","VOWELS_VMD_b10_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_VMD_b10_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_EMD_b10_DUAL_bs16 - divergence_positive_z","VOWELS_EMD_b10_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_EMD_b10_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_EMD_b0_DUAL_bs16 - divergence_positive_z","VOWELS_EMD_b0_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_EMD_b0_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_VMD_b0_DUAL_bs16 - divergence_positive_z","VOWELS_VMD_b0_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_VMD_b0_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_EWT_b10_DUAL_bs16 - divergence_positive_z","VOWELS_EWT_b10_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_EWT_b10_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_EWT_b0_DUAL_bs16 - divergence_positive_z","VOWELS_EWT_b0_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_EWT_b0_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_EWT_b1_DUAL_bs16 - divergence_positive_z","VOWELS_EWT_b1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_EWT_b1_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_EMD_b1_DUAL_bs16 - divergence_positive_z","VOWELS_EMD_b1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_EMD_b1_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_VMD_b1_DUAL_bs16 - divergence_positive_z","VOWELS_VMD_b1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_VMD_b1_DUAL_bs16 - divergence_positive_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_positive_z__MAX"
"0","0.04414411634206772","0.04414411634206772","0.04414411634206772","0.0444948785007","0.0444948785007","0.0444948785007","0.06090226769447327","0.06090226769447327","0.06090226769447327","0.05956318974494934","0.05956318974494934","0.05956318974494934","0.04348182678222656","0.04348182678222656","0.04348182678222656","0.044560179114341736","0.044560179114341736","0.044560179114341736","0.06367641687393188","0.06367641687393188","0.06367641687393188","0.05860019847750664","0.05860019847750664","0.05860019847750664","0.04581793397665024","0.04581793397665024","0.04581793397665024","0.045849256217479706","0.045849256217479706","0.045849256217479706","0.04541661590337753","0.04541661590337753","0.04541661590337753","0.04469902440905571","0.04469902440905571","0.04469902440905571"
"2","0.0287276953458786","0.0287276953458786","0.0287276953458786","0.028777144849300385","0.028777144849300385","0.028777144849300385","0.31351396441459656","0.31351396441459656","0.31351396441459656","0.30143535137176514","0.30143535137176514","0.30143535137176514","0.029683267697691917","0.029683267697691917","0.029683267697691917","0.029381750151515007","0.029381750151515007","0.029381750151515007","0.2791186571121216","0.2791186571121216","0.2791186571121216","0.10836005210876465","0.10836005210876465","0.10836005210876465","0.033479105681180954","0.033479105681180954","0.033479105681180954","0.03260835260152817","0.03260835260152817","0.03260835260152817","0.03296903148293495","0.03296903148293495","0.03296903148293495","0.0339682474732399","0.0339682474732399","0.0339682474732399"
"4","0.01857113093137741","0.01857113093137741","0.01857113093137741","0.017175260931253433","0.017175260931253433","0.017175260931253433","0.35922741889953613","0.35922741889953613","0.35922741889953613","0.40397417545318604","0.40397417545318604","0.40397417545318604","0.020432397723197937","0.020432397723197937","0.020432397723197937","0.01995573192834854","0.01995573192834854","0.01995573192834854","0.3167610764503479","0.3167610764503479","0.3167610764503479","0.34656673669815063","0.34656673669815063","0.34656673669815063","0.024952050298452377","0.024952050298452377","0.024952050298452377","0.02263978123664856","0.02263978123664856","0.02263978123664856","0.023976776748895645","0.023976776748895645","0.023976776748895645","0.025887174531817436","0.025887174531817436","0.025887174531817436"
"6","0.01390048861503601","0.01390048861503601","0.01390048861503601","0.011799606494605541","0.011799606494605541","0.011799606494605541","0.4232650399208069","0.4232650399208069","0.4232650399208069","0.3737963140010834","0.3737963140010834","0.3737963140010834","0.015945574268698692","0.015945574268698692","0.015945574268698692","0.015041242353618145","0.015041242353618145","0.015041242353618145","0.2424086630344391","0.2424086630344391","0.2424086630344391","0.22100216150283813","0.22100216150283813","0.22100216150283813","0.02445214055478573","0.02445214055478573","0.02445214055478573","0.021354179829359055","0.021354179829359055","0.021354179829359055","0.024705957621335983","0.024705957621335983","0.024705957621335983","0.025080977007746696","0.025080977007746696","0.025080977007746696"
"8","0.013035213574767113","0.013035213574767113","0.013035213574767113","0.014003952965140343","0.014003952965140343","0.014003952965140343","0.34520193934440613","0.34520193934440613","0.34520193934440613","0.43677935004234314","0.43677935004234314","0.43677935004234314","0.01388037484139204","0.01388037484139204","0.01388037484139204","0.013965053483843803","0.013965053483843803","0.013965053483843803","0.3976198136806488","0.3976198136806488","0.3976198136806488","0.36409085988998413","0.36409085988998413","0.36409085988998413","0.05997101590037346","0.05997101590037346","0.05997101590037346","0.07171410322189331","0.07171410322189331","0.07171410322189331","0.10253773629665375","0.10253773629665375","0.10253773629665375","0.05980312079191208","0.05980312079191208","0.05980312079191208"
"10","0.023372065275907516","0.023372065275907516","0.023372065275907516","0.02964632958173752","0.02964632958173752","0.02964632958173752","0.43808862566947937","0.43808862566947937","0.43808862566947937","0.3949889540672302","0.3949889540672302","0.3949889540672302","0.017827145755290985","0.017827145755290985","0.017827145755290985","0.02459719404578209","0.02459719404578209","0.02459719404578209","0.41113683581352234","0.41113683581352234","0.41113683581352234","0.4230090379714966","0.4230090379714966","0.4230090379714966","0.18755695223808289","0.18755695223808289","0.18755695223808289","0.21392545104026794","0.21392545104026794","0.21392545104026794","0.3696327209472656","0.3696327209472656","0.3696327209472656","0.285863995552063","0.285863995552063","0.285863995552063"
"12","0.039114415645599365","0.039114415645599365","0.039114415645599365","0.04342363402247429","0.04342363402247429","0.04342363402247429","0.4162904620170593","0.4162904620170593","0.4162904620170593","0.454275906085968","0.454275906085968","0.454275906085968","0.029099829494953156","0.029099829494953156","0.029099829494953156","0.0384608656167984","0.0384608656167984","0.0384608656167984","0.37778449058532715","0.37778449058532715","0.37778449058532715","0.4433012008666992","0.4433012008666992","0.4433012008666992","0.37234073877334595","0.37234073877334595","0.37234073877334595","0.3661656379699707","0.3661656379699707","0.3661656379699707","0.3983207643032074","0.3983207643032074","0.3983207643032074","0.3805079162120819","0.3805079162120819","0.3805079162120819"
"14","0.05884304642677307","0.05884304642677307","0.05884304642677307","0.061380621045827866","0.061380621045827866","0.061380621045827866","0.46225661039352417","0.46225661039352417","0.46225661039352417","0.42062947154045105","0.42062947154045105","0.42062947154045105","0.04250159114599228","0.04250159114599228","0.04250159114599228","0.055520545691251755","0.055520545691251755","0.055520545691251755","0.3366134762763977","0.3366134762763977","0.3366134762763977","0.45547789335250854","0.45547789335250854","0.45547789335250854","0.43817752599716187","0.43817752599716187","0.43817752599716187","0.4218072295188904","0.4218072295188904","0.4218072295188904","0.42917031049728394","0.42917031049728394","0.42917031049728394","0.3898966312408447","0.3898966312408447","0.3898966312408447"
"16","0.07670190185308456","0.07670190185308456","0.07670190185308456","0.07681828737258911","0.07681828737258911","0.07681828737258911","0.42895278334617615","0.42895278334617615","0.42895278334617615","0.4607887268066406","0.4607887268066406","0.4607887268066406","0.052753955125808716","0.052753955125808716","0.052753955125808716","0.06961055099964142","0.06961055099964142","0.06961055099964142","0.3879532814025879","0.3879532814025879","0.3879532814025879","0.42929622530937195","0.42929622530937195","0.42929622530937195","0.4418966770172119","0.4418966770172119","0.4418966770172119","0.43861815333366394","0.43861815333366394","0.43861815333366394","0.41531914472579956","0.41531914472579956","0.41531914472579956","0.3858303427696228","0.3858303427696228","0.3858303427696228"
"18","0.09755454957485199","0.09755454957485199","0.09755454957485199","0.09663394093513489","0.09663394093513489","0.09663394093513489","0.4631083011627197","0.4631083011627197","0.4631083011627197","0.4610925614833832","0.4610925614833832","0.4610925614833832","0.07004912197589874","0.07004912197589874","0.07004912197589874","0.09054689109325409","0.09054689109325409","0.09054689109325409","0.44689518213272095","0.44689518213272095","0.44689518213272095","0.45431384444236755","0.45431384444236755","0.45431384444236755","0.4600265920162201","0.4600265920162201","0.4600265920162201","0.44550102949142456","0.44550102949142456","0.44550102949142456","0.3932185173034668","0.3932185173034668","0.3932185173034668","0.4419706463813782","0.4419706463813782","0.4419706463813782"
