"Step","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MAX"
"0","181.4861297607422","181.4861297607422","181.4861297607422","160.47698974609375","160.47698974609375","160.47698974609375","0","0","0","0","0","0","243.66465759277344","243.66465759277344","243.66465759277344","168.73074340820312","168.73074340820312","168.73074340820312","0","0","0","0","0","0","19.660680770874023","19.660680770874023","19.660680770874023","18.966760635375977","18.966760635375977","18.966760635375977","21.249332427978516","21.249332427978516","21.249332427978516","28.70149040222168","28.70149040222168","28.70149040222168"
"2","61.68159866333008","61.68159866333008","61.68159866333008","50.5511474609375","50.5511474609375","50.5511474609375","0","0","0","0","0","0","49.97807693481445","49.97807693481445","49.97807693481445","211.00759887695312","211.00759887695312","211.00759887695312","0","0","0","0","0","0","34.331878662109375","34.331878662109375","34.331878662109375","6.344637393951416","6.344637393951416","6.344637393951416","8.11111068725586","8.11111068725586","8.11111068725586","5.480450630187988","5.480450630187988","5.480450630187988"
"4","33.710121154785156","33.710121154785156","33.710121154785156","41.42275619506836","41.42275619506836","41.42275619506836","0","0","0","0","0","0","24.004995346069336","24.004995346069336","24.004995346069336","34.22248458862305","34.22248458862305","34.22248458862305","0","0","0","0","0","0","4.766604423522949","4.766604423522949","4.766604423522949","4.188627243041992","4.188627243041992","4.188627243041992","4.073414325714111","4.073414325714111","4.073414325714111","2.8575778007507324","2.8575778007507324","2.8575778007507324"
"6","20.05731964111328","20.05731964111328","20.05731964111328","43.294490814208984","43.294490814208984","43.294490814208984","0","0","0","0","0","0","38.28981399536133","38.28981399536133","38.28981399536133","32.90644454956055","32.90644454956055","32.90644454956055","0","0","0","0","0","0","4.44645881652832","4.44645881652832","4.44645881652832","5.159667015075684","5.159667015075684","5.159667015075684","2.145573616027832","2.145573616027832","2.145573616027832","2.8274803161621094","2.8274803161621094","2.8274803161621094"
"8","21.272600173950195","21.272600173950195","21.272600173950195","44.80552673339844","44.80552673339844","44.80552673339844","0","0","0","0","0","0","43.43461990356445","43.43461990356445","43.43461990356445","44.36826705932617","44.36826705932617","44.36826705932617","0","0","0","0","0","0","4.09720516204834","4.09720516204834","4.09720516204834","6.610927104949951","6.610927104949951","6.610927104949951","3.1066746711730957","3.1066746711730957","3.1066746711730957","2.245572090148926","2.245572090148926","2.245572090148926"
"10","13.694167137145996","13.694167137145996","13.694167137145996","40.96153259277344","40.96153259277344","40.96153259277344","0","0","0","0","0","0","47.3208122253418","47.3208122253418","47.3208122253418","47.734378814697266","47.734378814697266","47.734378814697266","0","0","0","0","0","0","2.1279633045196533","2.1279633045196533","2.1279633045196533","4.353174686431885","4.353174686431885","4.353174686431885","1.9717663526535034","1.9717663526535034","1.9717663526535034","3.6414413452148438","3.6414413452148438","3.6414413452148438"
"12","15.199750900268555","15.199750900268555","15.199750900268555","47.635047912597656","47.635047912597656","47.635047912597656","0","0","0","0","0","0","41.757137298583984","41.757137298583984","41.757137298583984","49.80155944824219","49.80155944824219","49.80155944824219","0","0","0","0","0","0","3.2506375312805176","3.2506375312805176","3.2506375312805176","3.816434860229492","3.816434860229492","3.816434860229492","2.7441115379333496","2.7441115379333496","2.7441115379333496","4.834053039550781","4.834053039550781","4.834053039550781"
"14","16.30294418334961","16.30294418334961","16.30294418334961","47.98737335205078","47.98737335205078","47.98737335205078","0","0","0","0","0","0","46.62367630004883","46.62367630004883","46.62367630004883","46.84427261352539","46.84427261352539","46.84427261352539","0","0","0","0","0","0","1.6581326723098755","1.6581326723098755","1.6581326723098755","2.347421646118164","2.347421646118164","2.347421646118164","2.1074323654174805","2.1074323654174805","2.1074323654174805","3.9996862411499023","3.9996862411499023","3.9996862411499023"
"16","14.346778869628906","14.346778869628906","14.346778869628906","49.604026794433594","49.604026794433594","49.604026794433594","0","0","0","0","0","0","44.33247375488281","44.33247375488281","44.33247375488281","47.90532684326172","47.90532684326172","47.90532684326172","0","0","0","0","0","0","3.9306819438934326","3.9306819438934326","3.9306819438934326","1.6517609357833862","1.6517609357833862","1.6517609357833862","3.087362766265869","3.087362766265869","3.087362766265869","2.81362247467041","2.81362247467041","2.81362247467041"
"18","11.503547668457031","11.503547668457031","11.503547668457031","45.53863525390625","45.53863525390625","45.53863525390625","0","0","0","0","0","0","42.73691940307617","42.73691940307617","42.73691940307617","46.784908294677734","46.784908294677734","46.784908294677734","0","0","0","0","0","0","1.747944951057434","1.747944951057434","1.747944951057434","2.022486925125122","2.022486925125122","2.022486925125122","2.8452844619750977","2.8452844619750977","2.8452844619750977","6.670811653137207","6.670811653137207","6.670811653137207"
