"Step","VOWELS_VMD_b10_DUAL_bs16 - loss","VOWELS_VMD_b10_DUAL_bs16 - loss__MIN","VOWELS_VMD_b10_DUAL_bs16 - loss__MAX","VOWELS_EMD_b10_DUAL_bs16 - loss","VOWELS_EMD_b10_DUAL_bs16 - loss__MIN","VOWELS_EMD_b10_DUAL_bs16 - loss__MAX","VOWELS_EMD_b0_DUAL_bs16 - loss","VOWELS_EMD_b0_DUAL_bs16 - loss__MIN","VOWELS_EMD_b0_DUAL_bs16 - loss__MAX","VOWELS_VMD_b0_DUAL_bs16 - loss","VOWELS_VMD_b0_DUAL_bs16 - loss__MIN","VOWELS_VMD_b0_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b10_DUAL_bs16 - loss","VOWELS_FILTER_b10_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b10_DUAL_bs16 - loss__MAX","VOWELS_EWT_b10_DUAL_bs16 - loss","VOWELS_EWT_b10_DUAL_bs16 - loss__MIN","VOWELS_EWT_b10_DUAL_bs16 - loss__MAX","VOWELS_EWT_b0_DUAL_bs16 - loss","VOWELS_EWT_b0_DUAL_bs16 - loss__MIN","VOWELS_EWT_b0_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b0_DUAL_bs16 - loss","VOWELS_FILTER_b0_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b0_DUAL_bs16 - loss__MAX","VOWELS_EWT_b1_DUAL_bs16 - loss","VOWELS_EWT_b1_DUAL_bs16 - loss__MIN","VOWELS_EWT_b1_DUAL_bs16 - loss__MAX","VOWELS_EMD_b1_DUAL_bs16 - loss","VOWELS_EMD_b1_DUAL_bs16 - loss__MIN","VOWELS_EMD_b1_DUAL_bs16 - loss__MAX","VOWELS_VMD_b1_DUAL_bs16 - loss","VOWELS_VMD_b1_DUAL_bs16 - loss__MIN","VOWELS_VMD_b1_DUAL_bs16 - loss__MAX","VOWELS_FILTER_b1_DUAL_bs16 - loss","VOWELS_FILTER_b1_DUAL_bs16 - loss__MIN","VOWELS_FILTER_b1_DUAL_bs16 - loss__MAX"
"0","646.11865234375","646.11865234375","646.11865234375","648.9027099609375","648.9027099609375","648.9027099609375","4.612107753753662","4.612107753753662","4.612107753753662","5.23725700378418","5.23725700378418","5.23725700378418","642.776611328125","642.776611328125","642.776611328125","635.9320068359375","635.9320068359375","635.9320068359375","5.2592010498046875","5.2592010498046875","5.2592010498046875","5.113673686981201","5.113673686981201","5.113673686981201","76.8705825805664","76.8705825805664","76.8705825805664","79.16149139404297","79.16149139404297","79.16149139404297","78.95489501953125","78.95489501953125","78.95489501953125","79.37565612792969","79.37565612792969","79.37565612792969"
"2","265.5914306640625","265.5914306640625","265.5914306640625","265.6299743652344","265.6299743652344","265.6299743652344","4.380125522613525","4.380125522613525","4.380125522613525","2.9499146938323975","2.9499146938323975","2.9499146938323975","227.9264678955078","227.9264678955078","227.9264678955078","409.77850341796875","409.77850341796875","409.77850341796875","2.9423179626464844","2.9423179626464844","2.9423179626464844","3.6977381706237793","3.6977381706237793","3.6977381706237793","68.80259704589844","68.80259704589844","68.80259704589844","42.84918975830078","42.84918975830078","42.84918975830078","44.35314178466797","44.35314178466797","44.35314178466797","38.44015121459961","38.44015121459961","38.44015121459961"
"4","115.21890258789062","115.21890258789062","115.21890258789062","123.71098327636719","123.71098327636719","123.71098327636719","3.9808502197265625","3.9808502197265625","3.9808502197265625","2.7907910346984863","2.7907910346984863","2.7907910346984863","98.03204345703125","98.03204345703125","98.03204345703125","116.9980239868164","116.9980239868164","116.9980239868164","2.5194220542907715","2.5194220542907715","2.5194220542907715","2.190185546875","2.190185546875","2.190185546875","26.49242401123047","26.49242401123047","26.49242401123047","27.001876831054688","27.001876831054688","27.001876831054688","27.092636108398438","27.092636108398438","27.092636108398438","24.488384246826172","24.488384246826172","24.488384246826172"
"6","61.16911315917969","61.16911315917969","61.16911315917969","81.28825378417969","81.28825378417969","81.28825378417969","1.7674179077148438","1.7674179077148438","1.7674179077148438","2.087655544281006","2.087655544281006","2.087655544281006","80.65231323242188","80.65231323242188","80.65231323242188","74.67235565185547","74.67235565185547","74.67235565185547","2.1732966899871826","2.1732966899871826","2.1732966899871826","2.3710615634918213","2.3710615634918213","2.3710615634918213","20.219533920288086","20.219533920288086","20.219533920288086","21.592288970947266","21.592288970947266","21.592288970947266","18.738601684570312","18.738601684570312","18.738601684570312","19.28535270690918","19.28535270690918","19.28535270690918"
"8","47.1568489074707","47.1568489074707","47.1568489074707","68.44810485839844","68.44810485839844","68.44810485839844","1.7919788360595703","1.7919788360595703","1.7919788360595703","2.074276924133301","2.074276924133301","2.074276924133301","68.69691467285156","68.69691467285156","68.69691467285156","69.1173324584961","69.1173324584961","69.1173324584961","1.9764139652252197","1.9764139652252197","1.9764139652252197","1.9714715480804443","1.9714715480804443","1.9714715480804443","15.74589729309082","15.74589729309082","15.74589729309082","18.803844451904297","18.803844451904297","18.803844451904297","14.789054870605469","14.789054870605469","14.789054870605469","14.279983520507812","14.279983520507812","14.279983520507812"
"10","32.9470329284668","32.9470329284668","32.9470329284668","59.45453643798828","59.45453643798828","59.45453643798828","1.7443552017211914","1.7443552017211914","1.7443552017211914","1.8189940452575684","1.8189940452575684","1.8189940452575684","66.91001892089844","66.91001892089844","66.91001892089844","65.99739837646484","65.99739837646484","65.99739837646484","1.8756580352783203","1.8756580352783203","1.8756580352783203","1.9204742908477783","1.9204742908477783","1.9204742908477783","11.450578689575195","11.450578689575195","11.450578689575195","13.885502815246582","13.885502815246582","13.885502815246582","10.254709243774414","10.254709243774414","10.254709243774414","12.305374145507812","12.305374145507812","12.305374145507812"
"12","31.774351119995117","31.774351119995117","31.774351119995117","63.758453369140625","63.758453369140625","63.758453369140625","1.6808712482452393","1.6808712482452393","1.6808712482452393","1.8077082633972168","1.8077082633972168","1.8077082633972168","58.136775970458984","58.136775970458984","58.136775970458984","65.11395263671875","65.11395263671875","65.11395263671875","1.7975964546203613","1.7975964546203613","1.7975964546203613","1.8557541370391846","1.8557541370391846","1.8557541370391846","11.021284103393555","11.021284103393555","11.021284103393555","11.12893295288086","11.12893295288086","11.12893295288086","9.352750778198242","9.352750778198242","9.352750778198242","11.794628143310547","11.794628143310547","11.794628143310547"
"14","31.267723083496094","31.267723083496094","31.267723083496094","62.53270721435547","62.53270721435547","62.53270721435547","1.6267399787902832","1.6267399787902832","1.6267399787902832","1.7008094787597656","1.7008094787597656","1.7008094787597656","62.20197677612305","62.20197677612305","62.20197677612305","60.96888732910156","60.96888732910156","60.96888732910156","2.011650562286377","2.011650562286377","2.011650562286377","3.891309976577759","3.891309976577759","3.891309976577759","8.225436210632324","8.225436210632324","8.225436210632324","8.149895668029785","8.149895668029785","8.149895668029785","7.789987564086914","7.789987564086914","7.789987564086914","11.860906600952148","11.860906600952148","11.860906600952148"
"16","28.130661010742188","28.130661010742188","28.130661010742188","63.810455322265625","63.810455322265625","63.810455322265625","1.6077675819396973","1.6077675819396973","1.6077675819396973","1.7583844661712646","1.7583844661712646","1.7583844661712646","59.13832473754883","59.13832473754883","59.13832473754883","61.00798797607422","61.00798797607422","61.00798797607422","1.7872952222824097","1.7872952222824097","1.7872952222824097","1.7246342897415161","1.7246342897415161","1.7246342897415161","9.705741882324219","9.705741882324219","9.705741882324219","6.0817670822143555","6.0817670822143555","6.0817670822143555","7.960206031799316","7.960206031799316","7.960206031799316","7.867684841156006","7.867684841156006","7.867684841156006"
"18","24.404666900634766","24.404666900634766","24.404666900634766","58.97378921508789","58.97378921508789","58.97378921508789","1.5964829921722412","1.5964829921722412","1.5964829921722412","1.626716136932373","1.626716136932373","1.626716136932373","56.40620803833008","56.40620803833008","56.40620803833008","60.092445373535156","60.092445373535156","60.092445373535156","1.7771731615066528","1.7771731615066528","1.7771731615066528","1.6176494359970093","1.6176494359970093","1.6176494359970093","6.582417964935303","6.582417964935303","6.582417964935303","6.22945499420166","6.22945499420166","6.22945499420166","6.942336082458496","6.942336082458496","6.942336082458496","10.65640640258789","10.65640640258789","10.65640640258789"
